N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	8
9	8
10	9
11	10
12	11
13	12
14	13
15	14
16	15
17	16
18	17
19	18
20	19
21	20
22	20
23	21
24	22
25	23
26	24
27	25
28	26
29	27
30	28
31	29
32	30
33	31
34	31
35	32
36	33
37	34
38	35
39	36
40	37
41	38
42	38
43	38
44	39
45	40
46	41
47	42
48	42
49	43
50	44
51	44
52	45
53	46
54	47
55	48
56	49
57	50
58	51
59	52
60	53
61	54
62	55
63	56
64	56
65	57
66	58
67	59
68	60
69	61
70	62
71	63
72	64
73	64
74	65
75	66
76	66
77	67
78	67
79	68
80	69
81	70
82	70
83	71
84	72
85	73
86	74
87	75
88	76
89	76
90	76
91	77
92	78
93	79
94	80
95	80
96	81
97	82
98	83
99	84
100	84
101	85
102	86
103	87
104	88
105	89
106	89
107	90
108	90
109	90
110	91
111	91
112	92
113	93
114	94
115	94
116	94
117	94
118	94
119	95
120	96
121	96
122	96
123	96
124	96
125	97
126	98
127	99
128	100
129	101
130	102
131	102
132	103
133	103
134	104
135	105
136	105
137	105
138	106
139	107
140	108
141	108
142	109
143	110
144	110
145	110
146	111
147	112
148	113
149	114
150	115
151	116
152	117
153	118
154	119
155	120
156	121
157	122
158	123
159	123
160	124
161	125
162	126
163	127
164	128
165	128
166	128
167	128
168	128
169	129
170	130
171	131
172	132
173	133
174	134
175	134
176	135
177	136
178	136
179	137
180	138
181	138
182	139
183	139
184	140
185	141
186	142
187	142
188	142
189	143
190	143
191	144
192	145
193	146
194	146
195	147
196	148
197	149
198	150
199	150
200	150
201	151
202	152
203	153
204	154
205	155
206	156
207	157
208	158
209	159
210	160
211	161
212	162
213	163
214	164
215	165
216	165
217	166
218	167
219	168
220	168
221	169
222	169
223	169
224	170
225	170
226	171
227	172
228	173
229	174
230	175
231	176
232	177
233	177
234	177
235	177
236	177
237	177
238	177
239	177
240	178
241	178
242	178
243	179
244	180
245	181
246	182
247	183
248	184
249	185
250	185
251	185
252	185
253	186
254	187
255	188
256	189
257	190
258	191
259	191
260	192
261	193
262	194
263	195
264	195
265	196
266	197
267	198
268	198
269	198
270	198
271	199
272	199
273	199
274	200
275	201
276	202
277	203
278	203
279	203
280	204
281	205
282	206
283	207
284	207
285	207
286	208
287	208
288	208
289	209
290	210
291	211
292	212
293	213
294	214
295	215
296	216
297	216
298	217
299	218
300	218
301	219
302	220
303	221
304	222
305	223
306	224
307	224
308	225
309	226
310	227
311	228
312	229
313	230
314	231
315	232
316	232
317	232
318	232
319	232
320	232
321	233
322	234
323	235
324	236
325	236
326	237
327	238
328	239
329	240
330	241
331	242
332	242
333	243
334	244
335	244
336	244
337	245
338	246
339	247
340	248
341	249
342	250
343	251
344	252
345	253
346	254
347	255
348	256
349	257
350	258
351	258
352	259
353	259
354	259
355	260
356	261
357	262
358	263
359	264
360	264
361	264
362	265
363	265
364	265
365	266
366	267
367	268
368	269
369	269
370	270
371	271
372	272
373	273
374	274
375	274
376	275
377	275
378	276
379	276
380	276
381	277
382	278
383	278
384	278
385	279
386	279
387	279
388	279
389	280
390	281
391	282
392	283
393	284
394	285
395	286
396	287
397	288
398	289
399	290
400	290
401	290
402	290
403	290
404	291
405	291
406	291
407	291
408	292
409	293
410	294
411	294
412	295
413	296
414	297
415	297
416	298
417	299
418	300
419	301
420	302
421	303
422	304
423	305
424	305
425	306
426	306
427	307
428	308
429	309
430	310
431	310
432	311
433	312
434	313
435	313
436	314
437	315
438	316
439	317
440	318
441	318
442	319
443	319
444	319
445	320
446	320
447	321
448	322
449	322
450	323
451	323
452	324
453	325
454	326
455	327
456	327
457	327
458	328
459	328
460	329
461	330
462	330
463	330
464	330
465	331
466	332
467	333
468	334
469	334
470	334
471	334
472	335
473	335
474	336
475	336
476	337
477	337
478	337
479	338
480	338
481	338
482	338
483	338
484	339
485	340
486	341
487	342
488	343
489	343
490	343
491	344
492	344
493	345
494	345
495	346
496	346
497	347
498	348
499	349
500	349
501	350
502	351
503	351
504	352
505	353
506	353
507	353
508	354
509	354
510	354
511	355
512	356
513	356
514	357
515	357
516	358
517	359
518	360
519	361
520	362
521	362
522	362
523	363
524	364
525	365
526	365
527	366
528	367
529	368
530	368
531	369
532	370
533	371
534	372
535	373
536	373
537	374
538	375
539	376
540	376
541	377
542	378
543	379
544	380
545	380
546	380
547	381
548	381
549	382
550	382
551	383
552	384
553	384
554	385
555	385
556	386
557	386
558	387
559	388
560	388
561	389
562	390
563	391
564	392
565	393
566	394
567	395
568	396
569	396
570	397
571	398
572	399
573	400
574	400
575	401
576	402
577	403
578	403
579	404
580	404
581	404
582	405
583	406
584	407
585	408
586	408
587	408
588	409
589	410
590	411
591	412
592	413
593	414
594	415
595	415
596	415
597	415
598	416
599	417
600	417
601	418
602	418
603	419
604	420
605	421
606	422
607	422
608	423
609	424
610	425
611	425
612	426
613	426
614	427
615	428
616	429
617	429
618	429
619	429
620	429
621	430
622	430
623	430
624	431
625	431
626	432
627	432
628	432
629	433
630	433
631	434
632	435
633	436
634	437
635	437
636	438
637	439
638	440
639	441
640	442
641	442
642	443
643	444
644	445
645	446
646	447
647	448
648	449
649	449
650	450
651	451
652	452
653	453
654	454
655	454
656	455
657	455
658	455
659	455
660	455
661	455
662	456
663	456
664	456
665	456
666	457
667	458
668	459
669	459
670	460
671	461
672	461
673	461
674	461
675	462
676	462
677	462
678	462
679	462
680	462
681	463
682	464
683	464
684	465
685	465
686	465
687	465
688	466
689	467
690	468
691	469
692	469
693	469
694	469
695	470
696	470
697	470
698	470
699	471
700	472
701	473
702	474
703	474
704	475
705	476
706	476
707	476
708	476
709	477
710	477
711	478
712	478
713	479
714	479
715	480
716	481
717	481
718	482
719	483
720	484
721	485
722	485
723	486
724	487
725	488
726	489
727	490
728	491
729	492
730	493
731	493
732	493
733	494
734	494
735	495
736	495
737	495
738	495
739	496
740	496
741	497
742	498
743	498
744	499
745	500
746	500
747	500
748	500
749	501
750	501
751	502
752	503
753	503
754	504
755	504
756	505
757	505
758	505
759	505
760	505
761	506
762	506
763	506
764	506
765	506
766	507
767	507
768	508
769	509
770	509
771	510
772	511
773	512
774	512
775	512
776	512
777	513
778	513
779	514
780	515
781	515
782	516
783	517
784	518
785	519
786	520
787	521
788	521
789	521
790	521
791	522
792	523
793	523
794	524
795	524
796	524
797	524
798	524
799	524
800	525
801	526
802	526
803	526
804	526
805	526
806	526
807	527
808	528
809	528
810	529
811	530
812	530
813	530
814	530
815	531
816	531
817	531
818	531
819	532
820	533
821	533
822	533
823	533
824	533
825	533
826	533
827	534
828	534
829	535
830	535
831	535
832	535
833	536
834	536
835	537
836	538
837	539
838	540
839	540
840	540
841	541
842	542
843	543
844	544
845	544
846	545
847	545
848	546
849	547
850	547
851	547
852	547
853	548
854	548
855	548
856	548
857	549
858	550
859	550
860	551
861	552
862	552
863	552
864	553
865	553
866	553
867	553
868	553
869	553
870	553
871	553
872	553
873	553
874	554
875	554
876	555
877	555
878	555
879	555
880	555
881	555
882	556
883	557
884	558
885	559
886	559
887	560
888	560
889	560
890	560
891	561
892	562
893	562
894	562
895	563
896	564
897	564
898	564
899	565
900	566
901	566
902	566
903	567
904	567
905	567
906	567
907	567
908	568
909	568
910	568
911	568
912	569
913	569
914	569
915	570
916	570
917	570
918	571
919	571
920	571
921	572
922	572
923	572
924	573
925	574
926	575
927	576
928	576
929	577
930	578
931	578
932	579
933	580
934	581
935	581
936	582
937	582
938	582
939	582
940	582
941	583
942	584
943	584
944	584
945	585
946	585
947	585
948	586
949	586
950	587
951	587
952	587
953	587
954	587
955	587
956	587
957	587
958	587
959	588
960	588
961	588
962	588
963	589
