N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	29
30	30
31	31
32	32
33	33
34	34
35	34
36	35
37	35
38	36
39	37
40	38
41	39
42	39
43	40
44	41
45	42
46	43
47	43
48	44
49	45
50	46
51	47
52	48
53	49
54	50
55	51
56	52
57	53
58	54
59	55
60	56
61	57
62	57
63	58
64	59
65	60
66	61
67	62
68	63
69	64
70	65
71	66
72	67
73	68
74	69
75	70
76	71
77	72
78	73
79	74
80	75
81	76
82	77
83	78
84	79
85	79
86	80
87	81
88	82
89	83
90	83
91	84
92	85
93	86
94	87
95	88
96	89
97	90
98	91
99	92
100	92
101	93
102	93
103	94
104	95
105	96
106	97
107	98
108	99
109	100
110	101
111	102
112	103
113	103
114	104
115	105
116	106
117	107
118	108
119	109
120	110
121	111
122	112
123	113
124	114
125	115
126	116
127	117
128	118
129	119
130	120
131	121
132	121
133	122
134	123
135	124
136	125
137	126
138	126
139	127
140	128
141	129
142	130
143	130
144	131
145	132
146	132
147	133
148	134
149	135
150	135
151	136
152	137
153	138
154	139
155	140
156	140
157	141
158	142
159	143
160	143
161	143
162	144
163	145
164	145
165	146
166	147
167	148
168	148
169	148
170	149
171	149
172	150
173	150
174	151
175	152
176	153
177	154
178	155
179	156
180	157
181	158
182	159
183	160
184	161
185	161
186	162
187	163
188	164
189	165
190	166
191	167
192	168
193	169
194	170
195	171
196	171
197	172
198	173
199	174
200	175
201	176
202	177
203	178
204	178
205	179
206	180
207	181
208	182
209	183
210	183
211	184
212	184
213	185
214	185
215	185
216	186
217	187
218	188
219	189
220	189
221	189
222	189
223	189
224	189
225	190
226	190
227	190
228	190
229	190
230	190
231	191
232	192
233	193
234	193
235	194
236	195
237	195
238	195
239	196
240	196
241	197
242	197
243	198
244	198
245	199
246	200
247	201
248	201
249	201
250	202
251	202
252	203
253	203
254	204
255	205
256	206
257	207
258	208
259	209
260	210
261	210
262	210
263	211
264	212
265	213
266	213
267	213
268	214
269	215
270	216
271	216
272	217
273	218
274	219
275	219
276	220
277	221
278	222
279	223
280	224
281	225
282	226
283	226
284	227
285	228
286	229
287	229
288	230
289	230
290	231
291	231
292	232
293	233
294	234
295	235
296	236
297	237
298	237
299	238
300	239
301	239
302	240
303	241
304	242
305	243
306	244
307	245
308	245
309	246
310	247
311	248
312	248
313	248
314	248
315	249
316	250
317	251
318	252
319	253
320	254
321	255
322	256
323	257
324	258
325	258
326	259
327	259
328	260
329	261
330	262
331	263
332	263
333	264
334	265
335	266
336	267
337	267
338	268
339	269
340	270
341	271
342	272
343	272
344	273
345	273
346	274
347	275
348	275
349	276
350	276
351	276
352	277
353	277
354	278
355	278
356	279
357	279
358	279
359	280
360	281
361	282
362	283
363	283
364	283
365	283
366	284
367	285
368	286
369	287
370	288
371	288
372	289
373	290
374	291
375	292
376	293
377	294
378	295
379	296
380	297
381	298
382	299
383	300
384	300
385	301
386	301
387	301
388	302
389	302
390	302
391	302
392	303
393	304
394	305
395	306
396	307
397	308
398	308
399	309
400	309
401	310
402	311
403	312
404	312
405	313
406	314
407	315
408	316
409	317
410	318
411	319
412	320
413	321
414	322
415	323
416	324
417	324
418	325
419	326
420	327
421	328
422	329
423	330
424	330
425	331
426	331
427	332
428	333
429	334
430	335
431	336
432	337
433	338
434	338
435	339
436	339
437	340
438	341
439	342
440	343
441	343
442	344
443	344
444	345
445	345
446	346
447	347
448	348
449	349
450	350
451	351
452	351
453	351
454	352
455	353
456	354
457	355
458	356
459	357
460	358
461	359
462	359
463	360
464	360
465	361
466	362
467	363
468	364
469	364
470	365
471	366
472	366
473	367
474	368
475	368
476	369
477	370
478	370
479	371
480	372
481	373
482	373
483	374
484	374
485	375
486	376
487	377
488	377
489	378
490	378
491	378
492	379
493	380
494	380
495	381
496	381
497	381
498	382
499	383
500	383
501	384
502	385
503	386
504	386
505	387
506	387
507	387
508	388
509	388
510	389
511	390
512	391
513	392
514	393
515	393
516	394
517	395
518	396
519	397
520	398
521	399
522	400
523	401
524	401
525	402
526	402
527	403
528	404
529	404
530	404
531	405
532	405
533	405
534	406
535	406
536	406
537	407
538	408
539	408
540	409
541	409
542	409
543	409
544	410
545	410
546	411
547	412
548	413
549	413
550	414
551	415
552	416
553	417
554	418
555	419
556	420
557	420
558	421
559	421
560	422
561	422
562	422
563	423
564	423
565	423
566	424
567	424
568	425
569	425
570	425
571	425
572	426
573	427
574	428
575	429
576	430
577	431
578	431
579	432
580	433
581	433
582	434
583	434
584	435
585	436
586	436
587	436
588	437
589	438
590	439
591	440
592	440
593	440
594	441
595	442
596	443
597	444
598	444
599	445
600	446
601	447
602	447
603	447
604	448
605	448
606	449
607	449
608	449
609	449
610	450
611	451
612	452
613	452
614	452
615	453
616	454
617	454
618	455
619	456
620	457
621	457
622	457
623	457
624	457
625	458
626	458
627	459
628	459
629	459
630	460
631	460
632	461
633	462
634	463
635	464
636	464
637	464
638	465
639	466
640	466
641	466
642	467
643	468
644	469
645	470
646	470
647	471
648	471
649	472
650	472
651	473
652	474
653	475
654	476
655	476
656	476
657	477
658	478
659	479
660	479
661	480
662	480
663	480
664	481
665	481
666	482
667	482
668	483
669	484
670	485
671	485
672	486
673	486
674	486
675	487
676	488
677	488
678	489
679	490
680	490
681	490
682	491
683	492
684	492
685	492
686	493
687	493
688	493
689	494
690	495
691	496
692	496
693	496
694	496
695	497
696	497
697	498
698	498
699	498
700	499
701	500
702	501
703	502
704	503
705	504
706	505
707	506
708	506
709	507
710	507
711	508
712	509
713	510
714	510
715	511
716	511
717	511
718	512
719	513
720	514
721	514
722	515
723	516
724	516
725	516
726	516
727	516
728	516
729	516
730	517
731	517
732	517
733	518
734	518
735	519
736	520
737	520
738	521
739	521
740	522
741	522
742	523
743	523
744	524
745	525
746	526
747	526
748	527
749	528
750	529
751	530
752	530
753	530
754	531
755	532
756	533
757	534
758	534
759	535
760	535
761	535
762	536
763	537
764	538
765	539
766	539
767	539
768	539
769	540
770	541
771	542
772	543
773	544
774	544
775	544
776	545
777	545
778	546
779	547
780	548
781	549
782	550
783	551
784	552
785	552
786	553
787	554
788	555
789	556
790	556
791	557
792	558
793	558
794	558
795	558
796	558
797	558
798	558
799	559
800	560
801	560
802	560
803	560
804	560
805	561
806	561
807	561
808	561
809	562
810	563
811	563
812	563
813	564
814	565
815	566
816	567
817	567
818	567
819	568
820	568
821	568
822	568
823	569
824	570
825	570
826	570
827	571
828	572
829	573
830	574
831	574
832	574
833	574
834	574
835	575
836	575
837	575
838	576
839	576
840	576
841	577
842	578
843	579
844	580
845	581
846	581
847	581
848	581
849	581
850	582
851	583
852	583
853	583
854	584
855	585
856	586
857	586
858	587
859	587
860	587
861	588
862	589
863	590
864	591
865	591
866	591
867	592
868	593
869	594
870	594
871	595
872	596
873	597
874	598
875	599
876	600
877	600
878	601
879	601
880	601
881	602
882	602
883	603
884	604
885	605
886	606
887	606
888	607
889	608
890	608
891	608
892	608
893	608
894	609
895	609
896	610
897	610
898	611
899	611
900	611
901	611
902	612
903	613
904	614
905	615
906	616
907	617
908	618
909	618
910	619
911	619
912	619
913	620
914	620
915	620
916	621
917	621
918	621
919	621
920	621
921	622
922	622
923	623
924	624
925	625
926	626
927	626
928	626
929	626
930	626
931	627
932	627
933	627
934	628
935	628
936	629
937	629
938	630
939	631
940	632
941	633
942	634
943	634
944	635
945	636
946	637
947	637
948	637
949	638
950	638
951	639
952	639
953	639
954	639
955	639
956	639
957	639
958	639
959	639
960	639
961	639
962	639
963	639
