N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	30
31	30
32	31
33	31
34	32
35	33
36	34
37	35
38	35
39	35
40	35
41	35
42	36
43	37
44	38
45	39
46	40
47	41
48	42
49	43
50	43
51	44
52	45
53	46
54	47
55	48
56	49
57	49
58	50
59	51
60	51
61	52
62	52
63	53
64	54
65	55
66	56
67	57
68	58
69	59
70	60
71	61
72	61
73	62
74	63
75	63
76	64
77	65
78	66
79	66
80	67
81	68
82	69
83	70
84	71
85	71
86	72
87	73
88	74
89	75
90	76
91	77
92	78
93	79
94	79
95	79
96	80
97	80
98	81
99	82
100	83
101	83
102	83
103	83
104	84
105	85
106	86
107	87
108	88
109	89
110	90
111	91
112	92
113	92
114	92
115	93
116	94
117	95
118	96
119	97
120	98
121	99
122	100
123	101
124	102
125	103
126	104
127	105
128	106
129	107
130	108
131	109
132	110
133	111
134	112
135	113
136	114
137	114
138	115
139	115
140	116
141	117
142	118
143	119
144	120
145	121
146	121
147	122
148	123
149	124
150	124
151	124
152	125
153	126
154	127
155	128
156	128
157	128
158	128
159	129
160	129
161	129
162	129
163	130
164	131
165	132
166	132
167	132
168	133
169	134
170	134
171	135
172	136
173	137
174	137
175	137
176	138
177	138
178	138
179	139
180	140
181	141
182	142
183	143
184	143
185	144
186	144
187	144
188	145
189	145
190	145
191	146
192	147
193	148
194	148
195	149
196	150
197	151
198	151
199	152
200	152
201	153
202	154
203	154
204	155
205	156
206	157
207	158
208	159
209	160
210	161
211	162
212	163
213	164
214	165
215	165
216	165
217	166
218	167
219	168
220	169
221	169
222	170
223	171
224	172
225	173
226	174
227	175
228	176
229	177
230	178
231	179
232	180
233	181
234	181
235	182
236	182
237	183
238	183
239	183
240	183
241	184
242	185
243	186
244	186
245	186
246	186
247	186
248	186
249	186
250	186
251	187
252	187
253	188
254	189
255	190
256	191
257	191
258	192
259	193
260	193
261	193
262	194
263	195
264	196
265	197
266	198
267	199
268	200
269	201
270	202
271	203
272	204
273	205
274	206
275	207
276	208
277	208
278	209
279	210
280	210
281	211
282	211
283	211
284	212
285	213
286	213
287	213
288	214
289	214
290	215
291	216
292	217
293	218
294	219
295	220
296	221
297	222
298	223
299	223
300	224
301	224
302	225
303	225
304	225
305	225
306	226
307	226
308	226
309	227
310	228
311	229
312	229
313	229
314	230
315	230
316	231
317	232
318	232
319	233
320	234
321	235
322	236
323	237
324	237
325	238
326	239
327	240
328	240
329	240
330	240
331	241
332	242
333	243
334	243
335	244
336	245
337	245
338	246
339	247
340	248
341	248
342	249
343	250
344	251
345	251
346	251
347	252
348	252
349	253
350	253
351	254
352	255
353	256
354	257
355	258
356	259
357	259
358	260
359	260
360	260
361	260
362	260
363	261
364	261
365	262
366	263
367	263
368	264
369	264
370	265
371	266
372	267
373	267
374	268
375	269
376	270
377	270
378	271
379	272
380	273
381	274
382	274
383	275
384	275
385	276
386	276
387	277
388	278
389	279
390	280
391	281
392	282
393	282
394	282
395	282
396	283
397	284
398	284
399	284
400	285
401	286
402	287
403	287
404	288
405	288
406	288
407	288
408	289
409	290
410	290
411	290
412	291
413	291
414	292
415	293
416	293
417	294
418	295
419	296
420	296
421	296
422	297
423	297
424	297
425	297
426	298
427	299
428	300
429	301
430	301
431	302
432	302
433	303
434	304
435	304
436	304
437	305
438	305
439	305
440	306
441	307
442	308
443	309
444	309
445	310
446	311
447	311
448	312
449	313
450	313
451	313
452	314
453	314
454	314
455	314
456	314
457	315
458	316
459	316
460	316
461	316
462	317
463	317
464	318
465	319
466	319
467	320
468	321
469	322
470	323
471	324
472	325
473	325
474	326
475	327
476	328
477	329
478	330
479	331
480	332
481	332
482	332
483	332
484	332
485	333
486	333
487	333
488	334
489	335
490	336
491	337
492	337
493	337
494	337
495	338
496	339
497	340
498	340
499	341
500	341
501	341
502	341
503	341
504	341
505	341
506	342
507	342
508	342
509	343
510	343
511	343
512	344
513	344
514	344
515	345
516	346
517	347
518	347
519	348
520	348
521	349
522	350
523	351
524	352
525	352
526	353
527	353
528	353
529	353
530	354
531	354
532	354
533	354
534	355
535	356
536	357
537	358
538	359
539	359
540	359
541	360
542	361
543	361
544	362
545	363
546	363
547	364
548	365
549	366
550	366
551	366
552	367
553	368
554	368
555	368
556	368
557	369
558	369
559	370
560	370
561	370
562	370
563	370
564	370
565	370
566	371
567	372
568	372
569	372
570	372
571	372
572	373
573	373
574	374
575	375
576	375
577	375
578	376
579	376
580	377
581	377
582	378
583	379
584	380
585	380
586	381
587	382
588	383
589	383
590	383
591	384
592	385
593	386
594	386
595	386
596	387
597	388
598	389
599	390
600	390
601	391
602	391
603	391
604	392
605	393
606	393
607	393
608	394
609	395
610	395
611	396
612	397
613	398
614	398
615	399
616	400
617	400
618	401
619	402
620	403
621	403
622	403
623	404
624	404
625	405
626	406
627	407
628	407
629	407
630	408
631	408
632	408
633	408
634	409
635	409
636	409
637	409
638	410
639	411
640	411
641	412
642	413
643	414
644	415
645	415
646	416
647	416
648	417
649	417
650	417
651	418
652	418
653	418
654	419
655	420
656	420
657	421
658	421
659	422
660	422
661	423
662	424
663	424
664	425
665	425
666	426
667	426
668	426
669	427
670	427
671	427
672	427
673	427
674	428
675	428
676	428
677	428
678	429
679	429
680	429
681	430
682	430
683	430
684	430
685	431
686	431
687	432
688	433
689	433
690	433
691	433
692	434
693	435
694	435
695	435
696	435
697	435
698	436
699	436
700	437
701	437
702	437
703	437
704	437
705	437
706	437
707	437
708	437
709	437
710	437
711	437
712	437
713	438
714	439
715	440
716	441
717	441
718	441
719	441
720	442
721	443
722	443
723	444
724	445
725	446
726	447
727	447
728	447
729	447
730	448
731	449
732	450
733	451
734	452
735	452
736	453
737	454
738	454
739	454
740	455
741	456
742	456
743	456
744	456
745	456
746	457
747	458
748	458
749	458
750	459
751	460
752	461
753	461
754	462
755	462
756	462
757	462
758	463
759	463
760	463
761	464
762	465
763	466
764	467
765	468
766	468
767	469
768	469
769	470
770	470
771	471
772	472
773	473
774	474
775	475
776	475
777	475
778	475
779	475
780	476
781	477
782	477
783	477
784	477
785	478
786	479
787	479
788	479
789	480
790	481
791	481
792	482
793	483
794	483
795	484
796	485
797	486
798	487
799	488
800	489
801	490
802	490
803	490
804	490
805	490
806	491
807	492
808	492
809	493
810	494
811	495
812	496
813	497
814	497
815	498
816	499
817	500
818	500
819	500
820	501
821	502
822	502
823	503
824	504
825	505
826	505
827	505
828	505
829	505
830	506
831	506
832	507
833	508
834	508
835	509
836	509
837	509
838	510
839	510
840	511
841	512
842	513
843	513
844	514
845	514
846	514
847	514
848	515
849	516
850	517
851	518
852	519
853	520
854	520
855	520
856	521
857	521
858	521
859	521
860	521
861	522
862	523
863	524
864	525
865	525
866	525
867	525
868	526
869	526
870	526
871	527
872	528
873	528
874	528
875	528
876	529
877	530
878	531
879	531
880	532
881	532
882	533
883	534
884	534
885	535
886	536
887	536
888	537
889	537
890	538
891	539
892	540
893	541
894	541
895	541
896	541
897	541
898	541
899	542
900	543
901	543
902	543
903	543
904	543
905	544
906	544
907	544
908	544
909	545
910	545
911	546
912	547
913	548
914	548
915	549
916	550
917	550
918	550
919	551
920	552
921	553
922	553
923	554
924	555
925	555
926	556
927	556
928	556
929	556
930	556
931	556
932	556
933	557
934	558
935	559
936	560
937	561
938	561
939	562
940	563
941	564
942	564
943	565
944	566
945	566
946	566
947	566
948	567
949	568
950	568
951	568
952	568
953	569
954	570
955	570
956	570
957	570
958	570
959	570
960	570
961	570
962	570
963	570
