N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	19
20	19
21	20
22	21
23	22
24	22
25	23
26	24
27	25
28	26
29	27
30	28
31	29
32	30
33	31
34	31
35	32
36	33
37	34
38	35
39	35
40	35
41	35
42	36
43	37
44	38
45	38
46	39
47	40
48	41
49	42
50	43
51	44
52	45
53	46
54	47
55	47
56	48
57	49
58	49
59	50
60	51
61	52
62	53
63	53
64	54
65	55
66	56
67	57
68	58
69	59
70	60
71	61
72	62
73	62
74	63
75	64
76	65
77	65
78	66
79	67
80	68
81	69
82	70
83	71
84	72
85	73
86	74
87	75
88	76
89	77
90	77
91	77
92	78
93	79
94	80
95	80
96	80
97	80
98	81
99	82
100	83
101	84
102	85
103	85
104	86
105	87
106	88
107	89
108	89
109	89
110	89
111	89
112	90
113	91
114	92
115	93
116	93
117	94
118	95
119	96
120	97
121	98
122	98
123	99
124	100
125	100
126	101
127	102
128	103
129	104
130	104
131	104
132	105
133	106
134	107
135	107
136	107
137	107
138	108
139	109
140	110
141	111
142	112
143	113
144	113
145	114
146	115
147	116
148	117
149	118
150	118
151	118
152	119
153	120
154	121
155	122
156	123
157	124
158	125
159	126
160	126
161	127
162	128
163	129
164	130
165	130
166	131
167	132
168	133
169	134
170	135
171	136
172	137
173	138
174	139
175	140
176	140
177	141
178	142
179	143
180	144
181	145
182	146
183	147
184	147
185	148
186	149
187	149
188	150
189	151
190	152
191	153
192	154
193	155
194	155
195	155
196	155
197	155
198	156
199	157
200	157
201	157
202	157
203	157
204	158
205	159
206	160
207	161
208	162
209	163
210	164
211	165
212	166
213	167
214	167
215	168
216	169
217	170
218	171
219	172
220	172
221	172
222	172
223	173
224	174
225	175
226	175
227	176
228	177
229	177
230	178
231	178
232	178
233	178
234	179
235	180
236	181
237	182
238	182
239	182
240	182
241	183
242	183
243	184
244	184
245	185
246	186
247	186
248	186
249	186
250	186
251	187
252	187
253	188
254	188
255	188
256	188
257	189
258	190
259	191
260	192
261	193
262	194
263	194
264	195
265	196
266	197
267	197
268	198
269	199
270	199
271	199
272	200
273	201
274	202
275	203
276	203
277	204
278	205
279	206
280	206
281	207
282	207
283	208
284	209
285	210
286	211
287	212
288	213
289	214
290	215
291	215
292	215
293	215
294	216
295	217
296	218
297	219
298	220
299	220
300	221
301	221
302	222
303	222
304	223
305	224
306	225
307	226
308	227
309	227
310	228
311	228
312	228
313	228
314	228
315	228
316	229
317	229
318	230
319	231
320	232
321	233
322	233
323	233
324	234
325	234
326	235
327	236
328	237
329	237
330	238
331	239
332	240
333	241
334	241
335	242
336	243
337	243
338	244
339	244
340	244
341	245
342	246
343	246
344	247
345	248
346	249
347	249
348	249
349	249
350	250
351	251
352	252
353	252
354	253
355	254
356	255
357	256
358	257
359	258
360	259
361	260
362	261
363	261
364	261
365	262
366	263
367	263
368	263
369	264
370	265
371	266
372	266
373	266
374	267
375	268
376	269
377	270
378	271
379	272
380	272
381	273
382	274
383	274
384	274
385	274
386	275
387	276
388	276
389	276
390	276
391	277
392	278
393	279
394	280
395	280
396	281
397	282
398	283
399	284
400	285
401	285
402	286
403	287
404	287
405	288
406	289
407	290
408	291
409	291
410	292
411	292
412	292
413	292
414	293
415	293
416	294
417	295
418	295
419	295
420	296
421	297
422	297
423	298
424	298
425	299
426	300
427	301
428	302
429	303
430	304
431	304
432	305
433	306
434	307
435	308
436	309
437	310
438	311
439	312
440	312
441	313
442	314
443	314
444	314
445	315
446	316
447	316
448	316
449	316
450	317
451	318
452	319
453	319
454	320
455	321
456	321
457	321
458	321
459	321
460	321
461	322
462	322
463	322
464	322
465	322
466	322
467	323
468	323
469	324
470	325
471	326
472	327
473	327
474	328
475	328
476	328
477	328
478	329
479	330
480	331
481	331
482	332
483	332
484	333
485	334
486	335
487	336
488	337
489	338
490	339
491	340
492	340
493	341
494	341
495	342
496	343
497	343
498	343
499	344
500	344
501	345
502	346
503	347
504	347
505	347
506	348
507	349
508	350
509	351
510	352
511	353
512	354
513	355
514	356
515	357
516	358
517	359
518	360
519	360
520	360
521	361
522	362
523	363
524	364
525	364
526	365
527	365
528	366
529	367
530	368
531	369
532	369
533	369
534	369
535	369
536	369
537	369
538	369
539	370
540	370
541	371
542	372
543	373
544	373
545	374
546	374
547	375
548	375
549	376
550	377
551	378
552	379
553	380
554	380
555	380
556	381
557	382
558	383
559	383
560	384
561	385
562	386
563	387
564	388
565	389
566	389
567	389
568	390
569	391
570	392
571	393
572	394
573	394
574	394
575	394
576	395
577	395
578	395
579	395
580	396
581	397
582	398
583	398
584	399
585	400
586	400
587	401
588	401
589	402
590	403
591	404
592	405
593	406
594	406
595	407
596	408
597	408
598	408
599	408
600	409
601	410
602	410
603	410
604	411
605	412
606	412
607	413
608	414
609	414
610	415
611	416
612	416
613	416
614	416
615	417
616	418
617	418
618	419
619	419
620	419
621	419
622	420
623	420
624	421
625	421
626	422
627	423
628	423
629	423
630	424
631	424
632	424
633	424
634	425
635	426
636	426
637	427
638	428
639	429
640	429
641	430
642	430
643	431
644	431
645	432
646	433
647	433
648	433
649	434
650	434
651	434
652	435
653	436
654	436
655	436
656	437
657	438
658	439
659	440
660	441
661	441
662	442
663	443
664	444
665	444
666	445
667	446
668	447
669	448
670	448
671	448
672	449
673	450
674	451
675	451
676	451
677	452
678	453
679	453
680	454
681	454
682	454
683	454
684	455
685	456
686	456
687	457
688	457
689	457
690	458
691	458
692	459
693	459
694	459
695	460
696	461
697	462
698	463
699	463
700	463
701	464
702	464
703	464
704	465
705	465
706	466
707	467
708	468
709	469
710	470
711	470
712	470
713	471
714	472
715	473
716	473
717	473
718	473
719	473
720	473
721	473
722	473
723	473
724	474
725	474
726	474
727	474
728	474
729	474
730	474
731	474
732	475
733	475
734	476
735	476
736	477
737	477
738	478
739	478
740	478
741	478
742	479
743	480
744	481
745	482
746	482
747	483
748	483
749	484
750	485
751	486
752	487
753	488
754	488
755	489
756	489
757	490
758	490
759	490
760	490
761	490
762	491
763	491
764	491
765	491
766	492
767	492
768	492
769	493
770	494
771	494
772	494
773	494
774	495
775	495
776	496
777	497
778	498
779	498
780	499
781	500
782	500
783	500
784	500
785	500
786	501
787	502
788	503
789	503
790	504
791	504
792	504
793	505
794	506
795	507
796	507
797	508
798	508
799	508
800	509
801	510
802	510
803	510
804	510
805	511
806	511
807	512
808	512
809	513
810	513
811	513
812	514
813	514
814	514
815	514
816	515
817	515
818	516
819	517
820	517
821	518
822	518
823	519
824	520
825	520
826	521
827	521
828	522
829	523
830	523
831	524
832	524
833	524
834	524
835	524
836	525
837	525
838	526
839	527
840	528
841	529
842	529
843	529
844	530
845	530
846	530
847	531
848	531
849	532
850	532
851	533
852	533
853	534
854	535
855	535
856	536
857	536
858	536
859	536
860	536
861	537
862	537
863	537
864	538
865	538
866	539
867	540
868	541
869	541
870	542
871	543
872	543
873	543
874	543
875	543
876	544
877	545
878	545
879	546
880	547
