N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	12
14	13
15	13
16	14
17	15
18	16
19	17
20	18
21	19
22	20
23	21
24	22
25	22
26	22
27	22
28	23
29	24
30	24
31	25
32	26
33	27
34	28
35	29
36	30
37	31
38	32
39	33
40	34
41	34
42	35
43	35
44	36
45	37
46	38
47	39
48	40
49	40
50	41
51	42
52	43
53	44
54	45
55	46
56	47
57	47
58	48
59	49
60	50
61	51
62	52
63	52
64	53
65	54
66	55
67	56
68	57
69	58
70	59
71	60
72	61
73	62
74	63
75	64
76	65
77	66
78	67
79	68
80	69
81	70
82	71
83	72
84	73
85	74
86	75
87	75
88	76
89	77
90	78
91	79
92	80
93	81
94	82
95	83
96	84
97	85
98	86
99	87
100	88
101	89
102	90
103	91
104	92
105	93
106	94
107	95
108	95
109	96
110	96
111	96
112	96
113	97
114	97
115	97
116	97
117	98
118	99
119	99
120	99
121	99
122	100
123	101
124	102
125	103
126	104
127	105
128	106
129	106
130	107
131	108
132	109
133	110
134	111
135	112
136	113
137	114
138	115
139	116
140	116
141	117
142	118
143	119
144	119
145	119
146	120
147	121
148	122
149	123
150	124
151	125
152	126
153	126
154	126
155	127
156	128
157	129
158	130
159	131
160	132
161	133
162	133
163	134
164	135
165	136
166	137
167	138
168	139
169	140
170	141
171	142
172	142
173	143
174	144
175	145
176	146
177	147
178	148
179	149
180	150
181	151
182	152
183	153
184	154
185	154
186	155
187	156
188	157
189	158
190	159
191	160
192	161
193	162
194	163
195	163
196	163
197	163
198	163
199	163
200	163
201	164
202	165
203	166
204	166
205	166
206	167
207	168
208	168
209	169
210	170
211	171
212	172
213	173
214	174
215	175
216	176
217	176
218	176
219	176
220	176
221	176
222	177
223	178
224	179
225	180
226	181
227	181
228	182
229	183
230	184
231	185
232	185
233	185
234	186
235	186
236	187
237	188
238	188
239	189
240	190
241	191
242	192
243	192
244	192
245	193
246	194
247	194
248	195
249	195
250	195
251	196
252	197
253	198
254	199
255	199
256	199
257	200
258	201
259	202
260	202
261	202
262	203
263	203
264	203
265	203
266	204
267	205
268	206
269	207
270	208
271	208
272	208
273	208
274	209
275	210
276	211
277	212
278	212
279	213
280	214
281	215
282	216
283	217
284	218
285	219
286	220
287	221
288	222
289	222
290	223
291	223
292	223
293	224
294	224
295	225
296	226
297	227
298	228
299	228
300	228
301	229
302	230
303	230
304	231
305	231
306	232
307	233
308	234
309	234
310	235
311	236
312	236
313	237
314	237
315	238
316	239
317	240
318	241
319	241
320	242
321	243
322	244
323	245
324	246
325	246
326	247
327	247
328	247
329	247
330	248
331	248
332	249
333	250
334	251
335	252
336	252
337	253
338	253
339	254
340	254
341	255
342	256
343	256
344	256
345	257
346	258
347	259
348	260
349	261
350	262
351	263
352	264
353	265
354	266
355	266
356	267
357	268
358	269
359	270
360	271
361	272
362	272
363	272
364	272
365	273
366	273
367	273
368	274
369	275
370	276
371	277
372	278
373	279
374	279
375	280
376	281
377	282
378	283
379	284
380	285
381	286
382	286
383	287
384	288
385	289
386	290
387	291
388	292
389	293
390	293
391	293
392	293
393	294
394	294
395	295
396	295
397	295
398	296
399	297
400	298
401	298
402	299
403	299
404	300
405	301
406	302
407	303
408	303
409	304
410	304
411	305
412	306
413	307
414	308
415	309
416	310
417	311
418	312
419	312
420	312
421	313
422	314
423	314
424	315
425	316
426	317
427	318
428	318
429	318
430	318
431	318
432	318
433	318
434	319
435	320
436	320
437	320
438	320
439	320
440	320
441	321
442	321
443	322
444	323
445	324
446	325
447	325
448	325
449	326
450	327
451	328
452	329
453	330
454	330
455	330
456	331
457	332
458	333
459	333
460	333
461	334
462	334
463	335
464	336
465	337
466	338
467	338
468	339
469	339
470	340
471	341
472	341
473	342
474	343
475	343
476	343
477	344
478	345
479	345
480	346
481	347
482	348
483	349
484	350
485	351
486	351
487	351
488	352
489	353
490	354
491	355
492	356
493	356
494	356
495	357
496	358
497	359
498	359
499	359
500	360
501	360
502	360
503	361
504	362
505	363
506	363
507	363
508	363
509	364
510	364
511	364
512	365
513	366
514	367
515	368
516	369
517	369
518	370
519	371
520	372
521	373
522	374
523	375
524	375
525	376
526	376
527	377
528	377
529	378
530	379
531	380
532	380
533	380
534	380
535	380
536	381
537	382
538	382
539	383
540	384
541	385
542	385
543	385
544	385
545	385
546	386
547	387
548	388
549	388
550	388
551	389
552	390
553	391
554	392
555	392
556	393
557	393
558	394
559	395
560	396
561	397
562	398
563	398
564	398
565	399
566	400
567	400
568	401
569	402
570	402
571	403
572	403
573	404
574	405
575	406
576	407
577	407
578	408
579	409
580	409
581	410
582	410
583	411
584	412
585	413
586	413
587	414
588	415
589	415
590	415
591	415
592	415
593	416
594	416
595	417
596	418
597	418
598	419
599	419
600	419
601	420
602	421
603	421
604	422
605	423
606	423
607	424
608	425
609	426
610	426
611	426
612	427
613	427
614	427
615	428
616	428
617	429
618	429
619	429
620	429
621	430
622	430
623	430
624	431
625	431
626	431
627	432
628	433
629	434
630	435
631	436
632	437
633	438
634	438
635	438
636	438
637	439
638	439
639	439
640	440
641	440
642	441
643	441
644	442
645	442
646	443
647	444
648	444
649	445
650	445
651	446
652	447
653	447
654	447
655	448
656	449
657	449
658	450
659	451
660	452
661	452
662	453
663	453
664	454
665	455
666	456
667	456
668	456
669	457
670	458
671	459
672	459
673	460
674	461
675	461
676	462
677	463
678	464
679	464
680	465
681	466
682	466
683	466
684	467
685	468
686	468
687	469
688	469
689	470
690	470
691	470
692	471
693	472
694	473
695	474
696	474
697	474
698	474
699	475
700	476
701	477
702	477
703	477
704	477
705	477
706	478
707	479
708	479
709	480
710	480
711	480
712	480
713	480
714	480
715	480
716	481
717	481
718	481
719	481
720	481
721	482
722	482
723	482
724	483
725	484
726	485
727	485
728	486
729	487
730	488
731	489
732	489
733	490
734	491
735	492
736	493
737	493
738	493
739	494
740	495
741	495
742	495
743	496
744	497
745	498
746	499
747	499
748	500
749	500
750	500
751	501
752	502
753	502
754	503
755	504
756	504
757	504
758	505
759	505
760	505
761	506
762	506
763	506
764	506
765	507
766	507
767	507
768	508
769	509
770	510
771	511
772	511
773	512
774	513
775	514
776	514
777	515
778	516
779	517
780	518
781	519
782	520
783	520
784	520
785	521
786	522
787	523
788	524
789	525
790	525
791	526
792	527
793	528
794	528
795	528
796	529
797	529
798	530
799	531
800	532
801	533
802	533
803	534
804	535
805	536
806	537
807	537
808	537
809	538
810	539
811	540
812	540
813	541
814	542
815	543
816	544
817	545
818	545
819	545
820	546
821	547
822	548
823	549
824	550
825	550
826	551
827	551
828	552
829	552
830	552
831	552
832	553
833	553
834	553
835	553
836	553
837	553
838	553
839	553
840	553
841	554
842	554
843	555
844	555
845	555
846	556
847	557
848	557
849	557
850	558
851	558
852	558
853	558
854	558
855	558
856	558
857	558
858	559
859	559
860	560
861	561
862	561
863	561
864	562
865	562
866	563
867	563
868	564
869	565
