N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	12
13	13
14	14
15	15
16	16
17	17
18	17
19	17
20	17
21	18
22	19
23	20
24	21
25	22
26	23
27	24
28	25
29	26
30	27
31	28
32	28
33	29
34	30
35	30
36	31
37	32
38	32
39	32
40	33
41	34
42	34
43	35
44	35
45	36
46	37
47	38
48	38
49	38
50	38
51	38
52	38
53	39
54	40
55	40
56	41
57	41
58	41
59	42
60	42
61	43
62	43
63	44
64	44
65	45
66	46
67	46
68	46
69	47
70	47
71	48
72	48
73	49
74	50
75	50
76	50
77	51
78	52
79	53
80	54
81	54
82	54
83	55
84	56
85	57
86	57
87	57
88	57
89	57
90	58
91	58
92	59
93	60
94	61
95	62
96	63
97	63
98	63
99	64
100	65
101	65
102	66
103	66
104	67
105	67
106	68
107	68
108	68
109	69
110	70
111	71
112	72
113	72
114	73
115	74
116	74
117	74
118	74
119	74
120	75
121	75
122	76
123	77
124	78
125	78
126	79
127	80
128	80
129	80
130	80
131	80
132	81
133	82
134	82
135	83
136	84
137	85
138	85
139	85
140	86
141	87
142	88
143	88
144	88
145	89
146	89
147	89
148	89
149	89
150	90
151	91
152	91
153	92
154	92
155	92
156	92
157	92
158	92
159	92
160	93
161	93
162	93
163	93
164	94
165	94
166	94
167	94
168	94
169	95
170	95
171	96
172	96
173	96
174	96
175	97
176	98
177	98
178	98
179	98
180	99
181	99
182	99
183	100
184	100
185	100
186	100
187	101
188	101
189	101
190	101
191	101
192	102
193	102
194	102
195	102
196	103
197	103
198	103
199	103
200	103
201	103
202	103
203	103
204	103
205	103
206	103
207	103
208	103
209	103
210	104
211	105
212	105
213	106
214	107
215	107
216	108
217	108
218	109
219	109
220	109
221	110
222	111
223	111
224	111
225	112
226	112
227	112
228	113
229	114
230	115
231	115
232	115
233	115
234	116
235	117
236	117
237	118
238	118
239	118
240	118
241	118
242	119
243	120
244	120
245	120
246	120
247	120
248	120
249	121
250	122
251	123
252	123
253	123
254	123
255	123
256	124
257	125
258	125
259	125
260	125
261	125
262	125
263	126
264	127
265	128
266	128
267	128
268	128
269	129
270	129
271	129
272	129
273	129
274	129
275	130
276	131
277	131
278	131
279	131
280	131
281	131
282	131
283	131
284	131
285	131
286	131
287	131
288	131
289	131
290	131
291	131
292	131
293	131
294	131
295	131
296	131
297	131
298	131
299	131
300	131
301	131
302	131
303	131
304	131
305	131
306	131
307	131
308	132
309	133
310	133
311	134
312	134
313	134
314	134
315	134
316	135
317	135
318	135
319	135
320	136
321	136
322	136
323	136
324	136
325	137
326	137
327	138
328	138
329	138
330	139
331	139
332	140
333	140
334	140
335	141
336	141
337	141
338	141
339	142
340	143
341	144
342	144
343	145
344	145
345	145
346	145
347	145
348	146
349	146
350	146
351	146
352	147
353	147
354	147
355	148
356	149
357	149
358	149
359	149
360	149
361	149
362	149
363	150
364	150
365	150
366	150
367	150
368	151
369	151
370	151
371	152
372	152
373	153
374	153
375	153
376	153
377	153
378	153
379	153
380	154
381	155
382	156
383	157
384	157
385	157
386	157
387	157
388	157
389	158
390	158
391	159
392	159
393	159
394	159
395	159
396	160
397	161
398	161
399	162
400	162
401	162
402	163
403	163
404	163
405	164
406	164
407	164
408	164
409	164
410	164
411	164
412	164
413	165
414	166
415	167
416	168
417	168
418	169
419	169
420	169
421	170
422	170
423	170
424	170
425	171
426	171
427	171
428	172
429	172
430	172
431	172
432	173
433	174
434	174
435	175
436	175
437	175
438	176
439	176
440	176
441	177
442	178
443	178
444	178
445	178
446	179
447	180
448	180
449	181
450	182
451	182
452	182
453	182
454	182
455	183
456	183
457	184
458	185
459	185
460	185
461	185
462	185
463	185
464	185
465	186
466	186
467	186
468	186
469	186
470	186
471	187
472	187
473	187
474	187
475	187
476	187
477	187
478	187
479	188
480	188
481	189
482	189
483	189
484	190
485	190
486	191
487	191
488	192
489	192
490	192
491	193
492	193
493	194
494	194
495	194
496	194
497	194
498	194
499	194
500	194
501	194
502	194
503	194
504	194
505	194
506	194
507	195
508	195
509	196
510	196
511	196
512	196
513	196
514	196
515	196
516	196
517	196
518	196
519	196
520	196
521	196
522	196
523	196
524	196
525	196
526	196
527	196
528	196
529	196
530	196
531	197
532	197
533	197
534	197
535	197
536	197
537	197
538	197
539	197
540	197
541	197
542	197
543	197
544	197
545	197
546	197
547	197
548	197
549	197
550	198
551	198
552	199
553	199
554	199
555	199
556	199
557	199
558	199
559	199
560	199
561	199
562	199
563	199
564	199
565	199
566	199
567	199
568	199
569	199
570	199
571	199
572	199
573	199
574	199
575	199
576	199
577	199
578	199
579	199
580	199
581	199
582	199
583	199
584	199
585	199
586	199
587	199
588	199
589	200
590	200
591	200
592	200
593	200
594	200
595	200
596	200
597	200
598	201
599	201
600	202
601	202
602	202
603	202
604	202
605	202
606	202
607	202
608	202
609	203
610	203
611	203
612	203
613	203
614	203
615	204
616	205
617	206
618	206
619	206
620	206
621	207
622	207
623	207
624	208
625	208
626	208
627	208
628	208
629	208
630	208
631	208
632	208
633	208
634	208
635	208
636	208
637	208
638	208
639	208
640	208
641	208
642	208
643	208
644	208
645	208
646	208
647	208
648	208
649	208
650	208
651	208
652	208
653	209
654	209
655	210
656	211
657	211
658	211
659	211
660	211
661	211
662	211
663	212
664	213
665	213
666	214
667	214
668	214
669	214
670	215
671	215
672	215
673	215
674	215
675	215
676	215
677	215
678	215
679	215
680	215
681	215
682	215
683	215
684	215
685	215
686	215
687	215
688	215
689	215
690	215
691	215
692	215
693	215
694	215
695	215
696	215
697	215
698	215
699	216
700	216
701	217
702	218
703	219
704	219
705	219
706	219
707	219
708	219
709	219
710	219
711	219
712	219
713	219
714	219
715	219
716	219
717	219
718	219
719	219
720	219
721	220
722	221
723	222
724	222
725	222
726	223
727	224
728	224
729	224
730	224
731	224
732	224
733	225
734	225
735	225
736	226
737	226
738	226
739	226
740	227
741	227
742	227
743	227
744	228
745	228
746	228
747	228
748	228
749	229
750	230
751	230
752	230
753	230
754	231
755	231
756	231
757	231
758	232
759	233
760	234
761	234
762	234
763	234
764	234
765	234
766	234
767	234
768	234
769	234
770	234
771	234
772	234
773	234
774	234
775	234
776	234
777	235
778	235
779	235
780	235
781	235
782	235
783	235
784	235
785	236
786	236
787	236
788	236
789	236
790	236
791	236
792	237
793	237
794	237
795	237
796	237
797	237
798	237
799	237
800	237
801	237
802	237
803	237
804	237
805	237
806	237
807	237
808	237
809	237
810	237
811	238
812	238
813	239
814	239
815	239
816	239
817	239
818	239
819	239
820	239
821	239
822	239
823	239
824	239
825	239
826	239
827	240
828	240
829	240
830	240
831	240
832	240
833	240
834	240
835	240
836	240
837	240
838	240
839	240
840	240
841	241
842	241
843	242
844	242
845	243
846	243
847	243
848	243
849	243
850	243
851	243
852	243
853	243
854	243
855	243
856	243
857	243
858	243
859	244
860	244
861	244
862	244
863	244
864	244
865	244
866	244
867	244
868	244
869	244
870	244
871	244
872	244
873	244
874	244
875	244
876	244
877	244
878	244
879	244
880	244
881	245
882	245
883	245
884	245
885	245
886	245
887	245
888	245
889	245
890	245
891	246
892	246
893	246
894	247
895	247
896	247
897	248
898	248
899	248
900	248
901	248
902	248
903	248
904	249
905	250
906	250
907	251
908	251
909	251
910	251
911	252
912	252
913	253
914	253
915	253
916	254
917	254
918	254
919	254
920	254
921	255
922	255
923	255
924	255
925	256
926	256
927	256
928	256
929	256
930	256
931	256
932	256
933	256
934	256
935	256
936	256
937	256
938	256
939	256
940	256
941	256
942	256
943	256
944	256
945	256
946	256
947	256
948	256
949	256
950	257
951	257
952	257
953	257
954	257
955	258
956	259
957	260
958	260
959	260
960	260
961	260
962	260
963	260
