N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	13
15	14
16	15
17	16
18	17
19	18
20	19
21	19
22	20
23	20
24	21
25	22
26	23
27	24
28	24
29	24
30	25
31	26
32	27
33	28
34	29
35	30
36	31
37	31
38	31
39	32
40	33
41	33
42	34
43	35
44	36
45	37
46	38
47	39
48	39
49	39
50	39
51	40
52	40
53	40
54	41
55	42
56	43
57	44
58	45
59	46
60	46
61	46
62	47
63	47
64	48
65	49
66	50
67	51
68	52
69	52
70	53
71	53
72	53
73	53
74	54
75	54
76	54
77	55
78	55
79	56
80	57
81	58
82	59
83	60
84	61
85	61
86	62
87	62
88	62
89	62
90	63
91	63
92	64
93	65
94	65
95	65
96	65
97	66
98	67
99	67
100	68
101	69
102	69
103	69
104	70
105	71
106	72
107	72
108	72
109	73
110	74
111	75
112	75
113	76
114	76
115	76
116	77
117	78
118	78
119	79
120	80
121	80
122	80
123	80
124	80
125	80
126	81
127	82
128	82
129	83
130	84
131	85
132	86
133	86
134	86
135	87
136	88
137	89
138	89
139	90
140	91
141	92
142	92
143	93
144	94
145	94
146	95
147	96
148	97
149	98
150	99
151	99
152	99
153	99
154	99
155	99
156	100
157	100
158	101
159	102
160	103
161	104
162	105
163	106
164	106
165	107
166	108
167	109
168	109
169	109
170	110
171	111
172	111
173	112
174	112
175	113
176	113
177	114
178	114
179	114
180	115
181	116
182	116
183	116
184	116
185	116
186	116
187	116
188	117
189	118
190	118
191	119
192	120
193	121
194	122
195	123
196	123
197	124
198	125
199	126
200	127
201	128
202	129
203	129
204	130
205	130
206	130
207	130
208	131
209	131
210	131
211	131
212	131
213	132
214	133
215	134
216	134
217	134
218	135
219	135
220	135
221	136
222	137
223	138
224	138
225	138
226	139
227	139
228	140
229	141
230	142
231	142
232	143
233	143
234	143
235	144
236	144
237	144
238	144
239	145
240	146
241	147
242	148
243	149
244	150
245	150
246	150
247	151
248	152
249	152
250	152
251	152
252	152
253	152
254	152
255	152
256	152
257	152
258	153
259	154
260	155
261	156
262	157
263	157
264	158
265	159
266	160
267	160
268	160
269	161
270	161
271	161
272	162
273	163
274	164
275	164
276	164
277	165
278	166
279	167
280	167
281	167
282	167
283	168
284	169
285	170
286	171
287	172
288	173
289	174
290	175
291	175
292	176
293	176
294	177
295	178
296	179
297	179
298	179
299	179
300	179
301	179
302	179
303	180
304	181
305	182
306	182
307	182
308	182
309	182
310	182
311	182
312	183
313	184
314	185
315	186
316	186
317	187
318	187
319	187
320	187
321	188
322	189
323	190
324	191
325	191
326	192
327	193
328	194
329	195
330	195
331	195
332	196
333	196
334	196
335	197
336	197
337	198
338	199
339	200
340	201
341	201
342	202
343	203
344	203
345	204
346	205
347	206
348	206
349	206
350	206
351	207
352	207
353	207
354	208
355	208
356	209
357	209
358	209
359	210
360	210
361	211
362	212
363	212
364	212
365	213
366	213
367	214
368	215
369	215
370	216
371	217
372	217
373	217
374	218
375	219
376	219
377	219
378	219
379	220
380	221
381	222
382	222
383	222
384	222
385	222
386	222
387	223
388	224
389	225
390	225
391	225
392	226
393	226
394	226
395	226
396	226
397	226
398	227
399	227
400	227
401	228
402	228
403	228
404	229
405	229
406	229
407	229
408	230
409	230
410	231
411	231
412	231
413	232
414	233
415	233
416	233
417	233
418	233
419	233
420	234
421	234
422	234
423	234
424	235
425	235
426	235
427	236
428	237
429	237
430	237
431	237
432	237
433	238
434	238
435	238
436	238
437	238
438	238
439	238
440	238
441	239
442	239
443	240
444	240
445	241
446	241
447	241
448	241
449	241
450	241
451	241
452	241
453	241
454	241
455	241
456	241
457	242
458	243
459	244
460	245
461	245
462	246
463	247
464	247
465	247
466	247
467	247
468	247
469	247
470	248
471	248
472	248
473	248
474	249
475	249
476	250
477	251
478	251
479	251
480	252
481	252
482	253
483	254
484	254
485	255
486	255
487	255
488	256
489	256
490	256
491	257
492	258
493	259
494	259
495	259
496	259
497	259
498	259
499	260
500	261
501	262
502	262
503	262
504	263
505	263
506	263
507	263
508	263
509	264
510	264
511	264
512	264
513	264
514	264
515	264
516	264
517	265
518	265
519	265
520	265
521	266
522	266
523	266
524	266
525	266
526	266
527	267
528	267
529	267
530	268
531	269
532	270
533	271
534	271
535	272
536	273
537	273
538	273
539	273
540	273
541	273
542	274
543	275
544	275
545	275
546	275
547	275
548	275
549	275
550	275
551	276
552	276
553	276
554	277
555	277
556	277
557	277
558	277
559	277
560	277
561	278
562	278
563	278
564	278
565	278
566	278
567	278
568	279
569	280
570	281
571	281
572	282
573	283
574	283
575	283
576	284
577	284
578	284
579	285
580	285
581	286
582	286
583	286
584	286
585	286
586	286
587	286
588	286
589	287
590	287
591	288
592	288
593	289
594	290
595	290
596	290
597	291
598	291
599	291
600	291
601	291
602	291
603	291
604	291
605	291
606	291
607	292
608	292
609	292
610	292
611	293
612	293
613	293
614	293
615	294
616	294
617	294
618	294
619	294
620	294
621	295
622	296
623	297
624	298
625	298
626	298
627	298
628	299
629	300
630	301
631	301
632	302
633	302
634	302
635	302
636	302
637	302
638	302
639	302
640	303
641	304
642	304
643	305
644	305
645	305
646	305
647	305
648	305
649	305
650	305
651	305
652	305
653	305
654	305
655	305
656	305
657	305
658	305
659	305
660	306
661	306
662	306
663	307
664	308
665	308
666	308
667	308
668	308
669	308
670	309
671	310
672	311
673	311
674	312
675	312
676	312
677	312
678	312
679	313
680	313
681	314
682	315
683	315
684	315
685	316
686	317
687	317
688	318
689	318
690	319
691	319
692	319
693	320
694	320
695	320
696	320
697	321
698	321
699	321
700	321
701	322
702	323
703	323
704	323
705	323
706	324
707	324
708	324
709	325
710	325
711	325
712	326
713	326
714	327
715	327
716	327
717	328
718	328
719	328
720	329
721	329
722	329
723	330
724	330
725	331
726	331
727	331
728	331
729	331
730	332
731	332
732	332
733	333
734	333
735	333
736	334
737	334
738	335
739	335
740	335
741	336
742	336
743	336
744	336
745	337
746	337
747	337
748	337
749	337
750	337
751	338
752	338
753	339
754	340
755	340
756	341
757	342
758	342
759	342
760	342
761	342
762	343
763	343
764	343
765	344
766	344
767	344
768	344
769	344
770	345
771	345
772	345
773	345
774	345
775	346
776	346
777	347
778	348
779	348
780	348
781	349
782	350
783	350
784	350
785	351
786	352
787	352
788	352
789	352
790	352
791	352
792	352
793	352
794	352
795	353
796	353
797	354
798	354
799	355
800	355
801	356
802	357
803	357
804	357
805	358
806	358
807	358
808	358
809	359
810	360
811	360
812	360
813	360
814	360
815	360
816	360
817	360
818	361
819	362
820	363
821	363
822	363
823	364
824	364
825	364
826	364
827	364
828	364
829	365
830	365
831	365
832	365
833	365
834	365
835	365
836	365
837	366
838	367
839	368
840	368
841	368
842	368
843	369
844	369
845	369
846	369
847	370
848	371
849	372
850	372
851	372
852	373
853	373
854	374
855	375
856	376
857	376
858	376
859	377
860	377
861	377
862	378
863	379
864	380
865	381
866	381
867	381
868	381
869	381
870	382
871	383
872	384
873	385
874	385
875	385
876	386
877	386
878	386
879	386
880	386
881	387
882	387
883	387
884	387
885	387
886	387
887	387
888	388
889	388
890	389
891	389
892	389
893	389
894	389
895	389
896	389
897	389
898	389
899	389
900	389
901	389
902	389
903	389
904	389
905	389
906	389
907	390
908	391
909	391
910	391
911	391
912	391
913	391
914	392
915	392
916	393
917	393
918	393
919	393
920	393
921	393
922	393
923	393
924	393
925	393
926	393
927	393
928	393
929	393
930	393
931	394
932	394
933	394
934	394
935	394
936	395
937	396
938	397
939	397
940	397
941	397
942	398
943	399
944	399
945	400
946	400
947	400
948	400
949	400
950	401
951	401
952	401
953	401
954	401
955	401
956	401
957	401
958	401
959	401
960	401
961	401
962	402
963	402
