N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	30
32	31
33	32
34	33
35	34
36	35
37	36
38	37
39	38
40	38
41	39
42	39
43	40
44	40
45	40
46	41
47	42
48	43
49	44
50	44
51	45
52	46
53	47
54	48
55	48
56	49
57	50
58	50
59	51
60	51
61	52
62	53
63	54
64	55
65	55
66	56
67	57
68	58
69	59
70	60
71	61
72	62
73	63
74	64
75	64
76	65
77	66
78	67
79	68
80	69
81	70
82	71
83	72
84	73
85	74
86	74
87	74
88	75
89	76
90	77
91	77
92	77
93	78
94	79
95	80
96	81
97	82
98	83
99	84
100	85
101	86
102	87
103	88
104	88
105	89
106	90
107	91
108	92
109	92
110	93
111	93
112	94
113	95
114	96
115	97
116	98
117	99
118	100
119	101
120	102
121	103
122	104
123	105
124	106
125	107
126	108
127	109
128	109
129	110
130	111
131	112
132	113
133	114
134	115
135	116
136	116
137	117
138	118
139	119
140	119
141	119
142	120
143	121
144	122
145	123
146	123
147	123
148	123
149	124
150	124
151	124
152	124
153	125
154	126
155	127
156	128
157	129
158	130
159	131
160	132
161	132
162	133
163	134
164	135
165	136
166	137
167	138
168	139
169	140
170	141
171	142
172	142
173	142
174	143
175	144
176	145
177	146
178	147
179	147
180	148
181	148
182	149
183	150
184	150
185	151
186	152
187	153
188	154
189	155
190	155
191	156
192	157
193	158
194	159
195	160
196	161
197	161
198	161
199	162
200	163
201	164
202	165
203	165
204	166
205	167
206	168
207	169
208	170
209	171
210	172
211	173
212	174
213	174
214	174
215	175
216	175
217	176
218	176
219	177
220	177
221	177
222	177
223	178
224	179
225	180
226	180
227	180
228	180
229	181
230	181
231	182
232	183
233	184
234	185
235	185
236	186
237	187
238	187
239	187
240	187
241	188
242	189
243	190
244	190
245	191
246	192
247	193
248	194
249	195
250	196
251	197
252	198
253	199
254	200
255	200
256	201
257	202
258	202
259	203
260	203
261	203
262	204
263	204
264	204
265	204
266	205
267	205
268	206
269	207
270	208
271	209
272	210
273	211
274	212
275	213
276	214
277	214
278	215
279	215
280	216
281	216
282	216
283	216
284	217
285	217
286	217
287	218
288	218
289	218
290	219
291	219
292	220
293	221
294	221
295	222
296	222
297	223
298	224
299	225
300	225
301	226
302	226
303	227
304	228
305	229
306	230
307	230
308	231
309	232
310	232
311	233
312	234
313	235
314	235
315	236
316	237
317	238
318	238
319	238
320	239
321	239
322	240
323	240
324	241
325	242
326	243
327	244
328	245
329	245
330	246
331	246
332	246
333	246
334	246
335	247
336	247
337	248
338	249
339	250
340	251
341	252
342	252
343	253
344	254
345	255
346	255
347	256
348	257
349	258
350	258
351	259
352	260
353	261
354	262
355	262
356	263
357	263
358	264
359	264
360	265
361	266
362	267
363	268
364	268
365	268
366	268
367	269
368	270
369	270
370	270
371	270
372	271
373	272
374	272
375	273
376	273
377	273
378	273
379	274
380	275
381	275
382	276
383	277
384	278
385	279
386	280
387	281
388	282
389	282
390	282
391	283
392	283
393	283
394	284
395	285
396	286
397	287
398	287
399	288
400	288
401	289
402	289
403	289
404	290
405	291
406	291
407	292
408	293
409	294
410	294
411	295
412	295
413	296
414	297
415	297
416	297
417	297
418	298
419	298
420	298
421	298
422	298
423	299
424	300
425	300
426	300
427	300
428	301
429	301
430	302
431	303
432	304
433	305
434	306
435	307
436	308
437	309
438	310
439	311
440	312
441	313
442	314
443	314
444	315
445	316
446	316
447	317
448	318
449	318
450	318
451	318
452	318
453	319
454	319
455	320
456	320
457	321
458	322
459	323
460	323
461	323
462	323
463	324
464	325
465	326
466	326
467	326
468	326
469	327
470	327
471	328
472	329
473	329
474	329
475	329
476	329
477	330
478	331
479	331
480	331
481	332
482	332
483	333
484	333
485	333
486	334
487	335
488	336
489	337
490	337
491	338
492	338
493	338
494	338
495	339
496	339
497	339
498	339
499	340
500	341
501	342
502	343
503	344
504	345
505	345
506	345
507	346
508	347
509	347
510	348
511	348
512	348
513	349
514	349
515	349
516	350
517	351
518	352
519	352
520	352
521	352
522	353
523	354
524	354
525	354
526	354
527	355
528	356
529	357
530	357
531	357
532	357
533	357
534	358
535	358
536	359
537	360
538	360
539	360
540	360
541	361
542	362
543	362
544	363
545	364
546	365
547	366
548	366
549	367
550	368
551	368
552	368
553	369
554	370
555	371
556	371
557	371
558	372
559	373
560	374
561	374
562	374
563	374
564	375
565	375
566	376
567	377
568	378
569	378
570	378
571	379
572	380
573	380
574	381
575	382
576	383
577	383
578	384
579	385
580	385
581	386
582	387
583	388
584	388
585	388
586	389
587	390
588	391
589	392
590	393
591	394
592	395
593	395
594	395
595	395
596	396
597	396
598	396
599	396
600	396
601	397
602	398
603	398
604	399
605	400
606	400
607	401
608	401
609	402
610	402
611	403
612	403
613	404
614	404
615	404
616	404
617	405
618	406
619	406
620	407
621	407
622	408
623	408
624	408
625	409
626	409
627	409
628	410
629	410
630	410
631	411
632	411
633	411
634	411
635	411
636	412
637	412
638	412
639	412
640	412
641	413
642	413
643	414
644	415
645	415
646	415
647	415
648	416
649	417
650	417
651	417
652	418
653	418
654	418
655	419
656	419
657	420
658	420
659	420
660	420
661	420
662	420
663	421
664	421
665	421
666	421
667	421
668	421
669	421
670	422
671	423
672	424
673	425
674	425
675	426
676	426
677	427
678	428
679	428
680	429
681	430
682	431
683	431
684	431
685	431
686	431
687	432
688	433
689	434
690	435
691	436
692	437
693	438
694	438
695	439
696	440
697	440
698	441
699	441
700	441
701	442
702	442
703	443
704	444
705	444
706	444
707	444
708	445
709	446
710	446
711	446
712	446
713	447
714	447
715	447
716	448
717	449
718	450
719	451
720	452
721	452
722	453
723	453
724	454
725	455
726	456
727	457
728	458
729	459
730	460
731	461
732	461
733	461
734	461
735	462
736	463
737	463
738	463
739	463
740	464
741	465
742	466
743	467
744	468
745	469
746	470
747	471
748	472
749	472
750	472
751	473
752	473
753	474
754	475
755	476
756	477
757	477
758	477
759	477
760	477
761	478
762	479
763	479
764	480
765	481
766	482
767	483
768	484
769	484
770	485
771	486
772	487
773	487
774	487
775	487
776	488
777	489
778	490
779	490
780	490
781	491
782	491
783	491
784	491
785	492
786	493
787	493
788	494
789	495
790	495
791	495
792	496
793	496
794	497
795	498
796	499
797	500
798	500
799	500
800	500
801	501
802	501
803	502
804	502
805	502
806	502
807	503
808	504
809	505
810	506
811	507
812	508
813	509
814	509
815	509
816	509
817	510
818	510
819	510
820	510
821	510
822	510
823	511
824	512
825	512
826	512
827	513
828	513
829	513
830	514
831	514
832	514
833	514
834	514
835	515
836	516
837	517
838	517
839	518
840	518
841	519
842	520
843	520
844	520
845	520
846	520
847	520
848	520
849	521
850	522
851	523
852	523
853	524
854	524
855	524
856	524
857	524
858	524
859	525
860	525
861	525
862	525
863	525
864	526
865	526
866	526
867	526
868	527
869	527
870	528
871	529
872	530
873	530
874	531
875	532
876	532
877	532
878	533
879	534
880	535
881	535
882	536
883	536
884	536
885	536
886	536
887	537
888	537
889	537
890	537
891	537
892	537
893	537
894	537
895	538
896	539
897	540
898	541
899	541
900	542
901	543
902	543
903	543
904	544
905	544
906	544
907	544
908	544
909	545
910	546
911	546
912	546
913	546
914	547
915	548
916	548
917	548
918	548
919	549
920	549
921	549
922	550
923	551
924	551
925	552
926	553
927	553
928	553
929	553
930	553
931	553
932	553
933	554
934	554
935	554
936	555
937	556
938	557
939	558
940	558
941	559
942	559
943	559
944	559
945	559
946	560
947	560
948	561
949	561
950	561
951	561
952	561
953	562
954	562
955	562
956	563
957	564
958	564
959	565
960	565
961	565
962	565
963	565
