N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	18
19	19
20	19
21	20
22	20
23	21
24	22
25	23
26	23
27	23
28	23
29	24
30	25
31	25
32	26
33	27
34	28
35	28
36	29
37	30
38	31
39	31
40	31
41	32
42	33
43	34
44	35
45	36
46	37
47	38
48	38
49	39
50	40
51	40
52	41
53	42
54	43
55	44
56	45
57	46
58	46
59	47
60	48
61	49
62	50
63	51
64	52
65	52
66	52
67	53
68	54
69	55
70	56
71	57
72	58
73	59
74	60
75	61
76	61
77	61
78	62
79	63
80	64
81	65
82	65
83	66
84	67
85	68
86	69
87	70
88	70
89	70
90	71
91	71
92	72
93	73
94	74
95	74
96	74
97	75
98	76
99	76
100	76
101	76
102	77
103	78
104	79
105	79
106	80
107	80
108	81
109	82
110	83
111	83
112	84
113	84
114	85
115	86
116	87
117	87
118	88
119	89
120	89
121	89
122	90
123	90
124	91
125	92
126	93
127	94
128	94
129	95
130	96
131	96
132	96
133	96
134	96
135	96
136	97
137	98
138	99
139	99
140	100
141	100
142	100
143	100
144	100
145	101
146	102
147	102
148	102
149	102
150	103
151	104
152	104
153	105
154	106
155	106
156	107
157	108
158	108
159	108
160	109
161	109
162	109
163	109
164	109
165	109
166	109
167	110
168	111
169	112
170	112
171	112
172	112
173	113
174	114
175	114
176	115
177	116
178	116
179	116
180	116
181	116
182	117
183	118
184	118
185	118
186	118
187	119
188	119
189	119
190	119
191	120
192	120
193	121
194	121
195	121
196	122
197	122
198	123
199	123
200	124
201	124
202	124
203	124
204	125
205	125
206	125
207	125
208	125
209	126
210	127
211	128
212	128
213	128
214	128
215	128
216	129
217	130
218	130
219	130
220	131
221	131
222	131
223	131
224	132
225	132
226	132
227	132
228	133
229	134
230	134
231	134
232	134
233	134
234	135
235	136
236	136
237	137
238	137
239	138
240	139
241	140
242	140
243	140
244	141
245	142
246	143
247	143
248	144
249	145
250	146
251	147
252	147
253	148
254	148
255	148
256	149
257	150
258	150
259	151
260	151
261	151
262	151
263	152
264	153
265	154
266	155
267	155
268	156
269	156
270	156
271	157
272	157
273	158
274	159
275	160
276	160
277	161
278	161
279	161
280	161
281	162
282	163
283	164
284	164
285	165
286	165
287	166
288	166
289	166
290	166
291	166
292	166
293	166
294	166
295	166
296	167
297	168
298	169
299	170
300	171
301	171
302	171
303	172
304	172
305	172
306	172
307	172
308	172
309	172
310	172
311	172
312	173
313	173
314	173
315	174
316	175
317	175
318	176
319	177
320	177
321	178
322	179
323	179
324	179
325	180
326	180
327	181
328	182
329	182
330	183
331	183
332	183
333	184
334	185
335	185
336	186
337	186
338	186
339	187
340	187
341	188
342	188
343	188
344	189
345	190
346	190
347	191
348	191
349	191
350	192
351	193
352	193
353	193
354	193
355	193
356	193
357	193
358	193
359	193
360	193
361	193
362	193
363	193
364	194
365	195
366	195
367	195
368	196
369	196
370	196
371	196
372	196
373	196
374	196
375	196
376	197
377	198
378	199
379	200
380	201
381	201
382	202
383	202
384	202
385	203
386	203
387	203
388	203
389	203
390	203
391	203
392	204
393	205
394	206
395	206
396	207
397	208
398	209
399	209
400	209
401	210
402	211
403	212
404	212
405	212
406	212
407	212
408	212
409	212
410	213
411	214
412	215
413	215
414	215
415	215
416	215
417	216
418	216
419	217
420	218
421	219
422	219
423	219
424	219
425	220
426	220
427	220
428	220
429	221
430	221
431	221
432	221
433	222
434	222
435	222
436	223
437	223
438	223
439	223
440	223
441	224
442	224
443	224
444	224
445	224
446	224
447	224
448	224
449	224
450	225
451	225
452	225
453	225
454	225
455	225
456	225
457	225
458	225
459	226
460	227
461	228
462	228
463	229
464	230
465	231
466	232
467	232
468	232
469	232
470	232
471	232
472	232
473	232
474	232
475	232
476	232
477	232
478	232
479	233
480	233
481	234
482	234
483	234
484	234
485	234
486	234
487	235
488	236
489	237
490	238
491	238
492	238
493	238
494	239
495	239
496	239
497	239
498	239
499	239
500	240
501	241
502	241
503	241
504	241
505	242
506	243
507	243
508	243
509	243
510	244
511	245
512	245
513	245
514	245
515	245
516	245
517	246
518	247
519	248
520	248
521	248
522	248
523	248
524	249
525	249
526	249
527	250
528	251
529	252
530	253
531	254
532	255
533	256
534	256
535	256
536	256
537	256
538	257
539	258
540	259
541	260
542	260
543	260
544	260
545	260
546	260
547	261
548	261
549	261
550	261
551	261
552	262
553	262
554	263
555	263
556	264
557	264
558	264
559	265
560	265
561	266
562	266
563	266
564	266
565	267
566	267
567	268
568	268
569	268
570	268
571	268
572	268
573	268
574	268
575	268
576	268
577	268
578	269
579	269
580	269
581	269
582	269
583	269
584	269
585	270
586	270
587	270
588	270
589	270
590	270
591	271
592	272
593	273
594	274
595	274
596	274
597	274
598	275
599	276
600	276
601	277
602	277
603	278
604	278
605	278
606	278
607	278
608	278
609	278
610	279
611	279
612	279
613	279
614	279
615	279
616	279
617	280
618	281
619	281
620	281
621	282
622	283
623	284
624	285
625	285
626	286
627	286
628	286
629	287
630	288
631	289
632	289
633	289
634	289
635	289
636	289
637	289
638	289
639	289
640	289
641	289
642	289
643	290
644	291
645	291
646	292
647	292
648	292
649	293
650	293
651	293
652	293
653	293
654	293
655	293
656	294
657	295
658	295
659	295
660	295
661	296
662	297
663	297
664	297
665	298
666	298
667	298
668	298
669	299
670	299
671	299
672	299
673	299
674	299
675	299
676	299
677	299
678	299
679	299
680	299
681	299
682	299
683	300
684	300
685	300
686	300
687	300
688	301
689	301
690	302
691	302
692	302
693	302
694	302
695	302
696	302
697	302
698	303
699	304
700	305
701	305
702	305
703	306
704	306
705	307
706	307
707	307
708	307
709	308
710	309
711	309
712	309
713	309
714	309
715	310
716	310
717	311
718	311
719	311
720	311
721	311
722	312
723	312
724	313
725	313
726	313
727	313
728	313
729	313
730	313
731	313
732	313
733	313
734	313
735	313
736	313
737	313
738	313
739	313
740	313
741	314
742	314
743	314
744	315
745	316
746	316
747	316
748	317
749	318
750	318
751	318
752	318
753	319
754	319
755	320
756	320
757	321
758	321
759	321
760	322
761	322
762	323
763	324
764	324
765	324
766	324
767	324
768	324
769	325
770	326
771	327
772	328
773	328
774	328
775	328
776	328
777	329
778	329
779	329
780	329
781	329
782	329
783	329
784	329
785	329
786	329
787	329
788	329
789	330
790	330
791	330
792	331
793	331
794	331
795	332
796	332
797	332
798	333
799	334
800	334
801	335
802	335
803	336
804	336
805	336
806	337
807	338
808	338
809	338
810	338
811	338
812	338
813	339
814	339
815	339
816	339
817	339
818	340
819	341
820	341
821	341
822	342
823	343
824	344
825	345
826	345
827	345
828	345
829	346
830	346
831	346
832	347
833	347
834	347
835	348
836	348
837	348
838	348
839	348
840	348
841	348
842	348
843	348
844	348
845	348
846	348
847	348
848	348
849	348
850	348
851	348
852	348
853	348
854	348
855	348
856	348
857	348
858	348
859	348
860	348
861	349
862	349
863	349
864	349
865	350
866	350
867	351
868	351
869	351
870	351
871	351
872	352
873	352
874	352
875	352
876	353
877	354
878	354
879	354
880	354
881	354
882	354
883	354
884	355
885	355
886	355
887	355
888	356
889	356
890	356
891	357
892	357
893	357
894	357
895	357
896	357
897	357
898	357
899	357
900	357
901	357
902	358
