N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	14
16	15
17	15
18	16
19	17
20	17
21	18
22	19
23	19
24	20
25	21
26	21
27	22
28	23
29	24
30	25
31	26
32	27
33	28
34	29
35	29
36	30
37	31
38	31
39	31
40	31
41	31
42	31
43	31
44	31
45	31
46	31
47	31
48	31
49	32
50	33
51	33
52	33
53	33
54	34
55	34
56	35
57	36
58	37
59	37
60	38
61	38
62	39
63	40
64	41
65	41
66	42
67	42
68	42
69	42
70	43
71	43
72	43
73	43
74	43
75	43
76	43
77	43
78	44
79	44
80	44
81	45
82	45
83	45
84	45
85	46
86	46
87	47
88	48
89	48
90	49
91	49
92	49
93	50
94	50
95	50
96	50
97	50
98	50
99	50
100	50
101	50
102	50
103	50
104	50
105	50
106	50
107	51
108	52
109	52
110	53
111	54
112	54
113	55
114	56
115	57
116	58
117	59
118	59
119	60
120	60
121	61
122	62
123	62
124	63
125	63
126	64
127	64
128	65
129	66
130	67
131	68
132	69
133	70
134	71
135	72
136	72
137	72
138	73
139	73
140	74
141	75
142	76
143	77
144	77
145	77
146	77
147	78
148	78
149	79
150	80
151	81
152	82
153	82
154	83
155	83
156	84
157	84
158	85
159	85
160	86
161	87
162	88
163	89
164	90
165	91
166	92
167	93
168	94
169	95
170	95
171	96
172	97
173	98
174	99
175	100
176	101
177	102
178	103
179	104
180	105
181	106
182	107
183	108
184	108
185	108
186	108
187	109
188	110
189	111
190	112
191	113
192	113
193	114
194	114
195	115
196	116
197	117
198	118
199	118
200	119
201	119
202	120
203	121
204	121
205	122
206	123
207	124
208	124
209	125
210	126
211	126
212	126
213	126
214	127
215	127
216	128
217	128
218	129
219	130
220	130
221	130
222	130
223	130
224	130
225	130
226	131
227	131
228	131
229	132
230	132
231	132
232	132
233	132
234	133
235	133
236	133
237	133
238	133
239	133
240	133
241	133
242	134
243	135
244	136
245	136
246	136
247	136
248	136
249	136
250	136
251	137
252	138
253	139
254	139
255	140
256	140
257	140
258	141
259	142
260	143
261	144
262	145
263	146
264	147
265	148
266	149
267	150
268	151
269	152
270	152
271	153
272	153
273	154
274	154
275	155
276	156
277	157
278	158
279	159
280	160
281	160
282	160
283	161
284	162
285	163
286	164
287	164
288	165
289	166
290	166
291	167
292	168
293	169
294	170
295	170
296	171
297	172
298	173
299	174
300	174
301	174
302	174
303	175
304	175
305	176
306	177
307	178
308	179
309	180
310	181
311	182
312	183
313	184
314	185
315	186
316	186
317	187
318	187
319	188
320	189
321	190
322	190
323	191
324	192
325	193
326	194
327	195
328	195
329	195
330	196
331	196
332	197
333	198
334	198
335	199
336	199
337	200
338	200
339	201
340	202
341	203
342	204
343	204
344	204
345	205
346	206
347	207
348	208
349	208
350	209
351	210
352	210
353	211
354	212
355	213
356	214
357	215
358	216
359	217
360	218
361	219
362	220
363	220
364	221
365	222
366	222
367	223
368	223
369	224
370	225
371	226
372	227
373	227
374	228
375	228
376	229
377	230
378	231
379	232
380	232
381	233
382	234
383	235
384	235
385	236
386	237
387	238
388	238
389	239
390	239
391	239
392	239
393	239
394	239
395	239
396	239
397	239
398	239
399	240
400	241
401	242
402	243
403	244
404	245
405	245
406	245
407	245
408	245
409	245
410	245
411	245
412	245
413	245
414	245
415	246
416	247
417	248
418	248
419	249
420	250
421	251
422	252
423	253
424	254
425	255
426	256
427	257
428	257
429	257
430	258
431	259
432	259
433	259
434	259
435	260
436	261
437	261
438	262
439	263
440	264
441	265
442	266
443	267
444	268
445	269
446	269
447	269
448	270
449	271
450	272
451	272
452	273
453	274
454	275
455	276
456	276
457	277
458	278
459	279
460	279
461	280
462	281
463	282
464	283
465	284
466	284
467	284
468	285
469	286
470	287
471	288
472	289
473	290
474	290
475	291
476	292
477	292
478	292
479	293
480	293
481	294
482	294
483	294
484	294
485	294
486	295
487	295
488	296
489	296
490	296
491	296
492	296
493	297
494	297
495	298
496	299
497	299
498	300
499	301
500	302
501	303
502	304
503	305
504	306
505	307
506	308
507	309
508	309
509	310
510	311
511	311
512	312
513	313
514	313
515	314
516	315
517	315
518	315
519	316
520	316
521	317
522	318
523	319
524	320
525	321
526	322
527	323
528	323
529	323
530	324
531	325
532	326
533	326
534	326
535	327
536	327
537	327
538	328
539	328
540	329
541	330
542	331
543	332
544	333
545	334
546	335
547	336
548	337
549	337
550	338
551	338
552	339
553	340
554	340
555	341
556	342
557	343
558	344
559	344
560	345
561	346
562	347
563	348
564	349
565	349
566	350
567	351
568	351
569	352
570	353
571	354
572	354
573	355
574	355
575	356
576	356
577	357
578	358
579	359
580	359
581	359
582	360
583	361
584	362
585	363
586	363
587	364
588	365
589	366
590	367
591	368
592	369
593	369
594	369
595	370
596	371
597	371
598	372
599	373
600	373
601	374
602	374
603	374
604	374
605	375
606	376
607	376
608	376
609	377
610	378
611	379
612	380
613	381
614	382
615	382
616	383
617	384
618	384
619	384
620	384
621	385
622	385
623	386
624	387
625	387
626	387
627	388
628	388
629	389
630	389
631	390
632	390
633	391
634	392
635	392
636	392
637	392
638	393
639	393
640	394
641	394
642	395
643	396
644	396
645	396
646	397
647	397
648	397
649	398
650	399
651	400
652	400
653	400
654	401
655	401
656	401
657	401
658	402
659	402
660	402
661	402
662	403
663	404
664	405
665	406
666	406
667	407
668	408
669	408
670	409
671	409
672	410
673	411
674	411
675	412
676	412
677	413
678	414
679	414
680	414
681	414
682	415
683	416
684	416
685	417
686	417
687	417
688	418
689	418
690	419
691	420
692	420
693	421
694	421
695	421
696	421
697	421
698	422
699	422
700	423
701	424
702	424
703	425
704	425
705	426
706	427
707	428
708	429
709	430
710	431
711	431
712	431
713	432
714	432
715	433
716	434
717	434
718	435
719	436
720	436
721	436
722	436
723	437
724	438
725	439
726	439
727	440
728	440
729	441
730	441
731	441
732	441
733	442
734	442
735	443
736	443
737	444
738	444
739	444
740	444
741	444
742	445
743	446
744	446
745	446
746	446
747	447
748	448
749	449
750	449
751	450
752	451
753	452
754	453
755	453
756	453
757	454
758	455
759	456
760	456
761	457
762	458
763	458
764	458
765	458
766	459
767	460
768	461
769	462
770	462
771	462
772	462
773	463
774	464
775	464
776	464
777	465
778	465
779	466
780	466
781	467
782	467
783	467
784	467
785	467
786	468
787	469
788	470
789	470
790	470
791	471
792	472
793	473
794	473
795	474
796	474
797	475
798	476
799	476
800	476
801	476
802	476
803	477
804	477
805	478
806	479
807	480
808	480
809	480
810	480
811	480
812	481
813	481
814	481
815	482
816	482
817	483
818	484
819	484
820	484
821	484
822	484
823	484
824	484
825	485
826	485
827	485
828	485
829	486
830	486
831	486
832	487
833	487
834	487
835	487
836	487
837	487
838	487
839	487
840	487
841	488
842	488
843	489
844	489
845	489
846	489
847	489
848	489
849	490
850	490
851	491
852	491
853	492
854	492
855	492
856	492
857	493
858	494
859	494
860	495
861	496
862	496
863	496
864	497
865	498
866	498
867	498
868	498
869	498
870	498
871	498
872	499
873	499
874	499
875	499
876	500
877	500
878	501
879	502
880	502
881	502
882	502
883	502
884	503
885	503
886	503
887	503
888	504
889	505
890	506
891	507
892	507
893	508
894	509
895	509
896	510
897	510
898	511
899	512
900	513
901	513
902	513
903	514
904	515
905	516
906	516
907	517
908	517
909	517
910	517
911	518
912	518
913	519
914	520
915	520
916	521
917	521
918	521
919	521
920	522
921	523
922	524
923	525
924	525
925	525
926	525
927	526
928	526
929	527
930	528
931	529
932	530
933	530
934	531
935	532
936	532
937	533
938	534
939	534
940	535
941	536
942	537
943	537
944	538
945	539
946	539
947	540
948	540
949	541
950	541
951	542
952	543
953	544
954	544
955	544
956	545
957	545
958	545
959	546
960	547
961	548
962	549
963	549
