N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	30
32	31
33	32
34	33
35	34
36	34
37	35
38	36
39	37
40	38
41	38
42	39
43	40
44	41
45	41
46	41
47	42
48	43
49	44
50	45
51	46
52	47
53	48
54	49
55	49
56	50
57	51
58	52
59	53
60	54
61	55
62	56
63	57
64	57
65	58
66	59
67	60
68	60
69	61
70	62
71	63
72	64
73	65
74	66
75	66
76	67
77	68
78	69
79	69
80	70
81	70
82	71
83	71
84	72
85	73
86	74
87	74
88	75
89	76
90	77
91	77
92	78
93	79
94	80
95	81
96	82
97	83
98	84
99	84
100	85
101	86
102	86
103	86
104	87
105	87
106	88
107	89
108	90
109	91
110	92
111	93
112	94
113	95
114	96
115	97
116	97
117	98
118	98
119	99
120	100
121	101
122	102
123	103
124	103
125	103
126	104
127	105
128	106
129	107
130	108
131	108
132	109
133	110
134	110
135	110
136	110
137	110
138	110
139	110
140	111
141	111
142	111
143	112
144	113
145	113
146	114
147	115
148	115
149	116
150	116
151	116
152	117
153	118
154	119
155	120
156	120
157	121
158	121
159	121
160	122
161	123
162	124
163	125
164	125
165	126
166	126
167	127
168	128
169	128
170	128
171	129
172	129
173	130
174	131
175	132
176	133
177	133
178	134
179	135
180	135
181	136
182	137
183	138
184	139
185	140
186	141
187	142
188	142
189	143
190	143
191	144
192	145
193	145
194	146
195	147
196	148
197	148
198	149
199	149
200	150
201	151
202	151
203	152
204	153
205	154
206	155
207	156
208	156
209	157
210	158
211	158
212	159
213	160
214	160
215	161
216	161
217	162
218	163
219	164
220	165
221	165
222	165
223	166
224	167
225	168
226	169
227	169
228	170
229	170
230	170
231	170
232	170
233	171
234	172
235	173
236	173
237	174
238	175
239	176
240	176
241	177
242	178
243	179
244	180
245	180
246	181
247	182
248	183
249	183
250	183
251	184
252	184
253	185
254	185
255	185
256	186
257	187
258	188
259	189
260	190
261	191
262	192
263	193
264	194
265	195
266	196
267	196
268	196
269	197
270	197
271	198
272	199
273	199
274	200
275	201
276	201
277	201
278	201
279	201
280	201
281	202
282	202
283	202
284	202
285	202
286	203
287	203
288	204
289	204
290	205
291	205
292	206
293	207
294	207
295	208
296	208
297	208
298	208
299	208
300	209
301	210
302	211
303	211
304	212
305	213
306	213
307	214
308	214
309	214
310	215
311	216
312	216
313	216
314	216
315	217
316	218
317	218
318	219
319	219
320	220
321	221
322	221
323	221
324	221
325	222
326	223
327	223
328	224
329	225
330	226
331	227
332	227
333	228
334	228
335	229
336	229
337	230
338	230
339	230
340	230
341	230
342	230
343	231
344	231
345	232
346	233
347	233
348	233
349	233
350	234
351	235
352	236
353	236
354	236
355	237
356	238
357	239
358	239
359	239
360	239
361	239
362	240
363	241
364	242
365	242
366	242
367	243
368	243
369	244
370	245
371	245
372	245
373	245
374	245
375	246
376	247
377	248
378	249
379	249
380	249
381	250
382	251
383	251
384	251
385	251
386	251
387	251
388	252
389	252
390	252
391	253
392	254
393	255
394	256
395	257
396	258
397	259
398	260
399	261
400	262
401	262
402	263
403	263
404	264
405	264
406	264
407	265
408	265
409	265
410	266
411	266
412	267
413	267
414	268
415	269
416	269
417	270
418	271
419	271
420	272
421	272
422	272
423	273
424	273
425	273
426	274
427	274
428	274
429	275
430	275
431	276
432	276
433	277
434	278
435	278
436	279
437	279
438	280
439	281
440	282
441	283
442	283
443	284
444	284
445	284
446	284
447	284
448	285
449	285
450	286
451	286
452	286
453	286
454	287
455	287
456	288
457	288
458	288
459	288
460	288
461	288
462	288
463	288
464	288
465	288
466	288
467	288
468	289
469	289
470	289
471	289
472	289
473	289
474	289
475	290
476	290
477	290
478	290
479	291
480	291
481	291
482	291
483	291
484	291
485	291
486	291
487	291
488	291
489	291
490	292
491	292
492	292
493	292
494	293
495	293
496	294
497	295
498	295
499	295
500	296
501	297
502	297
503	298
504	299
505	300
506	301
507	301
508	302
509	302
510	303
511	304
512	304
513	304
514	304
515	305
516	305
517	306
518	307
519	307
520	307
521	308
522	309
523	309
524	310
525	311
526	312
527	313
528	313
529	313
530	314
531	315
532	315
533	315
534	315
535	315
536	316
537	317
538	317
539	318
540	318
541	319
542	319
543	320
544	320
545	320
546	320
547	320
548	320
549	320
550	321
551	321
552	321
553	321
554	321
555	321
556	322
557	323
558	324
559	325
560	326
561	326
562	326
563	326
564	326
565	327
566	328
567	328
568	329
569	329
570	330
571	331
572	332
573	332
574	332
575	333
576	333
577	333
578	334
579	334
580	335
581	336
582	336
583	337
584	338
585	338
586	338
587	338
588	338
589	338
590	338
591	338
592	338
593	339
594	340
595	340
596	341
597	342
598	342
599	343
600	343
601	343
602	343
603	343
604	344
605	344
606	345
607	346
608	346
609	346
610	347
611	347
612	348
613	348
614	348
615	348
616	348
617	349
618	349
619	350
620	350
621	351
622	352
623	352
624	353
625	354
626	355
627	355
628	356
629	356
630	357
631	358
632	358
633	359
634	359
635	360
636	360
637	360
638	361
639	361
640	362
641	363
642	363
643	363
644	363
645	364
646	364
647	364
648	364
649	365
650	366
651	366
652	367
653	367
654	368
655	368
656	368
657	368
658	368
659	369
660	370
661	370
662	371
663	372
664	373
665	373
666	373
667	374
668	374
669	374
670	375
671	376
672	376
673	376
674	376
675	376
676	376
677	377
678	378
679	379
680	379
681	379
682	379
683	379
684	380
685	381
686	382
687	382
688	382
689	382
690	382
691	382
692	382
693	383
694	383
695	384
696	385
697	386
698	386
699	387
700	387
701	388
702	389
703	390
704	391
705	392
706	393
707	393
708	394
709	395
710	395
711	395
712	396
713	397
714	398
715	398
716	399
717	400
718	400
719	401
720	402
721	402
722	403
723	404
724	405
725	405
726	406
727	407
728	408
729	409
730	410
731	410
732	411
733	412
734	412
735	412
736	412
737	412
738	412
739	413
740	414
741	415
742	416
743	416
744	417
745	417
746	417
747	418
748	419
749	420
750	421
751	422
752	422
753	423
754	423
755	423
756	423
757	423
758	424
759	425
760	425
761	425
762	425
763	425
764	426
765	427
766	427
767	427
768	428
769	429
770	429
771	429
772	430
773	431
774	431
775	431
776	432
777	433
778	433
779	434
780	435
781	436
782	437
783	437
784	438
785	438
786	438
787	438
788	438
789	439
790	439
791	439
792	439
793	439
794	439
795	439
796	439
797	440
798	440
799	441
800	442
801	443
802	443
803	444
804	444
805	444
806	445
807	445
808	445
809	445
810	445
811	445
812	446
813	446
814	447
815	447
816	448
817	448
818	448
819	448
820	449
821	449
822	450
823	451
824	451
825	451
826	451
827	451
828	451
829	451
830	451
831	452
832	453
833	454
834	455
835	455
836	456
837	456
838	457
839	457
840	457
841	457
842	457
843	458
844	458
845	458
846	458
847	458
848	459
849	460
850	460
851	461
852	461
853	462
854	462
855	463
856	464
857	465
858	466
859	467
860	467
861	467
862	468
863	469
864	469
865	470
866	470
867	471
868	472
869	472
870	472
871	473
872	473
873	473
874	473
875	474
876	474
877	474
878	474
879	475
880	476
881	476
882	476
883	476
884	476
885	476
886	476
887	476
888	476
889	476
890	477
891	478
892	478
893	478
894	479
895	480
896	481
897	481
898	481
899	482
900	482
901	482
902	483
903	484
904	484
905	484
906	484
907	484
908	485
909	485
910	485
911	486
912	487
913	488
914	488
915	488
916	489
917	489
918	490
919	490
920	491
921	492
922	493
923	493
924	493
925	494
926	494
927	494
928	494
929	494
930	494
931	495
932	496
933	496
934	496
935	496
936	497
937	498
938	498
939	498
940	499
941	499
942	499
943	499
944	500
945	501
946	501
947	502
948	502
949	503
950	504
951	504
952	504
953	505
954	505
955	505
956	506
957	506
958	507
959	507
960	507
961	507
962	507
963	508
