N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	28
30	28
31	29
32	30
33	30
34	31
35	32
36	33
37	34
38	35
39	36
40	37
41	37
42	38
43	38
44	38
45	39
46	40
47	40
48	41
49	42
50	43
51	44
52	45
53	46
54	47
55	48
56	49
57	49
58	50
59	51
60	52
61	53
62	53
63	53
64	54
65	55
66	56
67	57
68	58
69	59
70	60
71	61
72	61
73	62
74	63
75	64
76	65
77	66
78	67
79	68
80	69
81	70
82	70
83	71
84	72
85	73
86	74
87	75
88	76
89	77
90	78
91	79
92	79
93	80
94	81
95	82
96	83
97	84
98	85
99	86
100	87
101	87
102	88
103	89
104	90
105	91
106	92
107	93
108	94
109	95
110	96
111	97
112	98
113	99
114	99
115	100
116	101
117	101
118	102
119	103
120	104
121	105
122	106
123	107
124	108
125	109
126	110
127	111
128	111
129	112
130	113
131	114
132	115
133	116
134	117
135	117
136	118
137	118
138	119
139	120
140	121
141	122
142	123
143	123
144	124
145	125
146	125
147	126
148	127
149	127
150	128
151	129
152	130
153	131
154	132
155	133
156	133
157	134
158	135
159	136
160	137
161	138
162	139
163	139
164	140
165	141
166	142
167	143
168	143
169	144
170	145
171	146
172	146
173	146
174	146
175	146
176	146
177	147
178	148
179	149
180	150
181	151
182	152
183	152
184	153
185	154
186	155
187	156
188	157
189	157
190	158
191	159
192	160
193	161
194	161
195	162
196	163
197	164
198	164
199	165
200	166
201	167
202	167
203	167
204	168
205	168
206	169
207	170
208	171
209	172
210	173
211	173
212	174
213	174
214	175
215	176
216	176
217	177
218	178
219	179
220	180
221	181
222	181
223	182
224	183
225	184
226	184
227	185
228	186
229	187
230	187
231	188
232	188
233	189
234	189
235	190
236	191
237	192
238	193
239	194
240	195
241	196
242	197
243	198
244	199
245	199
246	200
247	201
248	202
249	203
250	204
251	204
252	205
253	206
254	206
255	207
256	208
257	209
258	209
259	210
260	211
261	212
262	213
263	214
264	214
265	214
266	215
267	215
268	215
269	216
270	217
271	217
272	218
273	219
274	220
275	221
276	221
277	222
278	222
279	223
280	224
281	225
282	226
283	227
284	228
285	229
286	230
287	230
288	230
289	231
290	232
291	233
292	233
293	233
294	234
295	235
296	235
297	236
298	237
299	237
300	238
301	239
302	239
303	239
304	240
305	241
306	242
307	243
308	244
309	245
310	245
311	246
312	247
313	247
314	248
315	248
316	249
317	250
318	250
319	251
320	252
321	252
322	253
323	253
324	253
325	254
326	254
327	255
328	256
329	257
330	258
331	259
332	259
333	260
334	261
335	262
336	262
337	263
338	264
339	265
340	265
341	265
342	266
343	267
344	267
345	268
346	268
347	269
348	270
349	271
350	272
351	273
352	273
353	273
354	274
355	275
356	275
357	275
358	275
359	275
360	276
361	277
362	278
363	279
364	279
365	279
366	280
367	280
368	281
369	282
370	283
371	284
372	284
373	284
374	285
375	286
376	286
377	286
378	286
379	287
380	288
381	289
382	290
383	290
384	291
385	292
386	293
387	294
388	295
389	295
390	296
391	297
392	298
393	299
394	299
395	300
396	300
397	301
398	301
399	302
400	303
401	304
402	305
403	305
404	305
405	306
406	307
407	308
408	309
409	310
410	310
411	310
412	311
413	312
414	312
415	313
416	314
417	315
418	316
419	316
420	317
421	318
422	319
423	319
424	320
425	321
426	322
427	322
428	322
429	323
430	324
431	324
432	325
433	326
434	327
435	327
436	328
437	329
438	330
439	330
440	331
441	331
442	332
443	333
444	334
445	335
446	336
447	337
448	337
449	338
450	339
451	340
452	340
453	341
454	342
455	342
456	343
457	344
458	345
459	345
460	346
461	346
462	346
463	347
464	348
465	349
466	349
467	349
468	350
469	351
470	352
471	353
472	353
473	354
474	354
475	355
476	355
477	356
478	357
479	357
480	357
481	358
482	359
483	359
484	360
485	361
486	362
487	363
488	363
489	364
490	364
491	365
492	366
493	367
494	367
495	368
496	368
497	369
498	370
499	371
500	372
501	372
502	372
503	372
504	372
505	372
506	373
507	374
508	375
509	375
510	375
511	376
512	377
513	377
514	377
515	378
516	378
517	378
518	379
519	379
520	380
521	380
522	380
523	381
524	382
525	383
526	384
527	385
528	386
529	386
530	386
531	387
532	388
533	389
534	390
535	390
536	390
537	391
538	391
539	391
540	391
541	391
542	392
543	393
544	393
545	394
546	394
547	394
548	395
549	396
550	396
551	397
552	398
553	399
554	400
555	401
556	402
557	402
558	403
559	404
560	405
561	405
562	406
563	406
564	406
565	407
566	407
567	407
568	408
569	409
570	410
571	411
572	411
573	412
574	412
575	413
576	414
577	414
578	415
579	415
580	416
581	417
582	418
583	418
584	419
585	419
586	420
587	420
588	421
589	422
590	423
591	423
592	424
593	425
594	425
595	425
596	426
597	427
598	428
599	429
600	430
601	430
602	430
603	430
604	431
605	432
606	432
607	433
608	434
609	435
610	435
611	435
612	435
613	436
614	437
615	438
616	439
617	440
618	441
619	441
620	442
621	442
622	443
623	443
624	443
625	444
626	445
627	446
628	447
629	448
630	448
631	448
632	449
633	450
634	450
635	450
636	451
637	452
638	453
639	454
640	455
641	456
642	457
643	458
644	458
645	458
646	459
647	460
648	461
649	462
650	463
651	463
652	464
653	464
654	464
655	464
656	464
657	465
658	466
659	467
660	468
661	469
662	470
663	471
664	472
665	473
666	474
667	474
668	475
669	476
670	476
671	477
672	477
673	478
674	478
675	478
676	478
677	478
678	479
679	480
680	481
681	481
682	482
683	482
684	483
685	483
686	484
687	485
688	486
689	486
690	486
691	487
692	488
693	489
694	490
695	491
696	492
697	493
698	493
699	494
700	495
701	496
702	497
703	498
704	499
705	500
706	501
707	502
708	502
709	503
710	504
711	504
712	505
713	505
714	506
715	506
716	506
717	506
718	507
719	507
720	507
721	507
722	508
723	509
724	509
725	509
726	509
727	510
728	511
729	512
730	512
731	512
732	513
733	514
734	515
735	515
736	515
737	515
738	516
739	516
740	517
741	518
742	519
743	519
744	519
745	520
746	521
747	521
748	522
749	523
750	524
751	524
752	524
753	525
754	526
755	526
756	527
757	528
758	528
759	529
760	529
761	530
762	531
763	532
764	533
765	534
766	534
767	535
768	535
769	536
770	537
771	538
772	538
773	538
774	538
775	539
776	540
777	541
778	542
779	543
780	544
781	545
782	546
783	547
784	547
785	548
786	549
787	549
788	549
789	549
790	550
791	551
792	552
793	552
794	553
795	554
796	555
797	556
798	557
799	558
800	559
801	559
802	560
803	560
804	560
805	561
806	562
807	563
808	564
809	565
810	565
811	566
812	566
813	566
814	567
815	568
816	568
817	569
818	570
819	570
820	570
821	570
822	571
823	572
824	573
825	573
826	574
827	574
828	574
829	575
830	575
831	575
832	576
833	576
834	576
835	577
836	578
837	578
838	579
839	579
840	579
841	579
842	580
843	581
844	581
845	581
846	581
847	581
848	582
849	582
850	583
851	583
852	584
853	585
854	586
855	587
856	588
857	589
858	590
859	590
860	591
861	591
862	592
863	593
864	593
865	594
866	595
867	596
868	596
869	597
870	598
871	599
872	599
873	600
874	601
875	602
876	603
877	604
878	605
879	606
880	607
881	608
882	608
883	609
884	610
885	611
886	612
887	613
888	614
889	615
890	615
891	616
892	617
893	617
894	618
895	619
896	620
897	620
898	621
899	622
900	622
901	623
902	624
903	624
904	624
905	625
906	625
907	625
908	626
909	627
910	627
911	627
912	628
913	628
914	628
915	629
916	630
917	631
918	631
919	631
920	632
921	632
922	633
923	633
924	633
925	633
926	634
927	634
928	634
929	635
930	636
931	636
932	636
933	637
934	638
935	639
936	640
937	640
938	641
939	642
940	643
941	644
942	644
943	645
944	646
945	647
946	648
947	648
948	649
949	650
950	651
951	651
952	651
953	652
954	653
955	653
956	654
957	655
958	655
959	655
960	656
961	657
962	657
963	658
