N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	39
41	40
42	40
43	41
44	42
45	43
46	44
47	45
48	46
49	47
50	48
51	48
52	48
53	49
54	50
55	51
56	51
57	52
58	53
59	54
60	55
61	56
62	57
63	58
64	59
65	60
66	60
67	61
68	61
69	62
70	63
71	64
72	65
73	65
74	66
75	66
76	67
77	68
78	69
79	70
80	71
81	72
82	73
83	74
84	75
85	76
86	77
87	78
88	79
89	80
90	80
91	81
92	82
93	83
94	84
95	85
96	86
97	86
98	86
99	86
100	87
101	87
102	87
103	87
104	88
105	89
106	89
107	90
108	91
109	92
110	92
111	92
112	93
113	94
114	94
115	95
116	95
117	96
118	97
119	98
120	99
121	99
122	99
123	100
124	101
125	102
126	103
127	104
128	104
129	105
130	106
131	106
132	107
133	108
134	109
135	110
136	111
137	112
138	113
139	114
140	114
141	114
142	114
143	115
144	116
145	117
146	117
147	118
148	119
149	120
150	121
151	122
152	122
153	122
154	123
155	124
156	125
157	126
158	127
159	128
160	129
161	129
162	130
163	131
164	132
165	132
166	133
167	134
168	134
169	134
170	135
171	136
172	137
173	138
174	138
175	138
176	138
177	139
178	140
179	141
180	141
181	142
182	143
183	144
184	144
185	145
186	146
187	147
188	148
189	149
190	150
191	151
192	151
193	152
194	153
195	153
196	153
197	153
198	154
199	155
200	156
201	157
202	158
203	159
204	160
205	160
206	161
207	161
208	162
209	162
210	163
211	163
212	164
213	164
214	165
215	166
216	166
217	167
218	168
219	169
220	170
221	171
222	172
223	172
224	173
225	174
226	175
227	176
228	177
229	178
230	178
231	178
232	179
233	179
234	179
235	180
236	181
237	182
238	183
239	184
240	184
241	184
242	184
243	184
244	185
245	186
246	186
247	187
248	188
249	189
250	190
251	190
252	190
253	190
254	190
255	191
256	192
257	193
258	194
259	194
260	194
261	195
262	195
263	195
264	195
265	195
266	196
267	197
268	198
269	199
270	200
271	200
272	201
273	201
274	202
275	203
276	203
277	204
278	205
279	206
280	206
281	207
282	207
283	208
284	209
285	210
286	210
287	210
288	210
289	210
290	211
291	212
292	213
293	214
294	214
295	215
296	215
297	216
298	217
299	217
300	217
301	218
302	219
303	220
304	221
305	222
306	222
307	223
308	224
309	224
310	225
311	226
312	226
313	226
314	227
315	228
316	228
317	229
318	229
319	230
320	231
321	231
322	232
323	233
324	233
325	234
326	235
327	236
328	237
329	237
330	238
331	238
332	238
333	238
334	238
335	239
336	240
337	241
338	242
339	243
340	243
341	243
342	244
343	244
344	245
345	245
346	246
347	247
348	248
349	248
350	248
351	248
352	248
353	249
354	250
355	251
356	252
357	253
358	253
359	253
360	253
361	254
362	255
363	256
364	257
365	258
366	259
367	259
368	260
369	260
370	261
371	262
372	262
373	263
374	263
375	264
376	264
377	265
378	265
379	265
380	265
381	265
382	266
383	266
384	266
385	266
386	267
387	268
388	269
389	269
390	270
391	270
392	271
393	272
394	273
395	274
396	275
397	275
398	276
399	276
400	277
401	278
402	279
403	279
404	280
405	281
406	281
407	281
408	281
409	282
410	283
411	284
412	285
413	286
414	287
415	288
416	288
417	289
418	290
419	291
420	292
421	293
422	293
423	294
424	294
425	295
426	295
427	296
428	296
429	297
430	298
431	299
432	300
433	301
434	302
435	303
436	304
437	304
438	305
439	306
440	307
441	308
442	309
443	310
444	311
445	311
446	312
447	312
448	312
449	313
450	314
451	314
452	315
453	316
454	317
455	317
456	317
457	318
458	318
459	318
460	318
461	319
462	319
463	320
464	321
465	322
466	323
467	324
468	325
469	325
470	325
471	326
472	327
473	327
474	328
475	329
476	329
477	329
478	330
479	331
480	331
481	331
482	332
483	332
484	333
485	333
486	333
487	333
488	333
489	333
490	334
491	335
492	336
493	337
494	338
495	339
496	340
497	340
498	341
499	341
500	341
501	342
502	343
503	344
504	344
505	344
506	344
507	344
508	345
509	346
510	347
511	348
512	349
513	349
514	349
515	350
516	350
517	351
518	352
519	353
520	353
521	354
522	355
523	356
524	357
525	358
526	358
527	358
528	359
529	359
530	360
531	361
532	362
533	363
534	363
535	364
536	365
537	366
538	367
539	367
540	367
541	367
542	368
543	368
544	368
545	368
546	368
547	368
548	368
549	369
550	369
551	369
552	370
553	371
554	372
555	372
556	372
557	372
558	372
559	373
560	374
561	375
562	375
563	376
564	377
565	378
566	378
567	379
568	380
569	380
570	381
571	382
572	383
573	384
574	385
575	386
576	387
577	387
578	387
579	388
580	389
581	390
582	391
583	391
584	392
585	393
586	394
587	395
588	396
589	396
590	397
591	398
592	398
593	399
594	399
595	400
596	401
597	401
598	402
599	402
600	403
601	404
602	404
603	404
604	405
605	405
606	406
607	407
608	407
609	408
610	409
611	410
612	410
613	411
614	411
615	412
616	412
617	412
618	412
619	412
620	412
621	412
622	413
623	414
624	414
625	415
626	415
627	415
628	415
629	415
630	416
631	417
632	418
633	418
634	418
635	418
636	418
637	419
638	419
639	420
640	421
641	421
642	421
643	422
644	422
645	423
646	423
647	423
648	423
649	424
650	425
651	425
652	425
653	425
654	426
655	426
656	427
657	427
658	427
659	427
660	428
661	428
662	429
663	429
664	430
665	431
666	432
667	433
668	434
669	434
670	435
671	436
672	436
673	436
674	437
675	438
676	439
677	440
678	441
679	441
680	442
681	442
682	442
683	442
684	443
685	443
686	444
687	445
688	446
689	447
690	448
691	448
692	449
693	449
694	450
695	451
696	452
697	453
698	453
699	453
700	453
701	454
702	454
703	454
704	454
705	455
706	456
707	456
708	457
709	457
710	458
711	458
712	459
713	460
714	460
715	461
716	461
717	461
718	461
719	461
720	462
721	463
722	464
723	465
724	465
725	466
726	466
727	466
728	467
729	467
730	468
731	468
732	468
733	468
734	468
735	469
736	469
737	469
738	469
739	469
740	469
741	469
742	469
743	469
744	470
745	471
746	471
747	471
748	471
749	471
750	471
751	472
752	473
753	474
754	475
755	475
756	475
757	475
758	475
759	476
760	476
761	477
762	478
763	478
764	478
765	478
766	478
767	478
768	479
769	480
770	481
771	482
772	483
773	484
774	484
775	485
776	485
777	486
778	486
779	487
780	487
781	488
782	488
783	488
784	489
785	490
786	491
787	491
788	492
789	493
790	493
791	493
792	493
793	494
794	495
795	496
796	496
797	497
798	498
799	498
800	499
801	500
802	500
803	501
804	501
805	501
806	502
807	502
808	502
809	502
810	503
811	503
812	504
813	504
814	505
815	506
816	507
817	507
818	507
819	508
820	508
821	509
822	510
823	511
824	512
825	512
826	512
827	513
828	514
829	515
830	516
831	517
832	517
833	517
834	517
835	517
836	518
837	519
838	520
839	521
840	521
841	522
842	523
843	524
844	524
845	525
846	526
847	527
848	528
849	528
850	529
851	530
852	531
853	532
854	532
855	532
856	532
857	533
858	534
859	535
860	536
861	537
862	538
863	538
864	538
865	538
866	538
867	539
868	540
869	540
870	540
871	541
872	541
873	542
874	542
875	542
876	543
877	543
878	543
879	543
880	543
881	544
882	545
883	545
884	545
885	545
886	546
887	547
888	547
889	547
890	548
891	548
892	548
893	549
894	550
895	550
896	550
897	550
898	550
899	550
900	550
901	551
902	552
903	553
904	553
905	554
906	555
907	556
908	557
909	558
910	559
911	559
912	560
913	560
914	561
915	561
916	562
917	563
918	563
919	564
920	564
921	565
922	566
923	567
924	567
925	568
926	569
927	569
928	570
929	571
930	572
931	572
932	572
933	572
934	573
935	573
936	574
937	575
938	575
939	575
940	575
941	576
942	576
943	576
944	577
945	577
946	578
947	579
948	580
949	581
950	582
951	583
952	583
953	583
954	584
955	585
956	586
957	586
958	587
959	588
960	588
961	589
962	589
963	589
