N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	36
37	37
38	37
39	38
40	39
41	40
42	41
43	42
44	43
45	44
46	45
47	46
48	47
49	48
50	49
51	50
52	51
53	52
54	53
55	54
56	55
57	56
58	57
59	58
60	59
61	60
62	61
63	62
64	63
65	64
66	65
67	66
68	67
69	68
70	69
71	70
72	71
73	72
74	73
75	74
76	75
77	75
78	76
79	77
80	78
81	79
82	80
83	81
84	82
85	83
86	84
87	85
88	86
89	86
90	86
91	87
92	88
93	88
94	88
95	88
96	89
97	90
98	91
99	92
100	93
101	93
102	94
103	95
104	96
105	97
106	98
107	98
108	99
109	100
110	101
111	102
112	103
113	104
114	105
115	106
116	107
117	107
118	107
119	108
120	109
121	110
122	111
123	112
124	113
125	113
126	114
127	115
128	116
129	117
130	117
131	117
132	118
133	119
134	119
135	119
136	120
137	121
138	122
139	123
140	124
141	125
142	126
143	127
144	128
145	129
146	130
147	131
148	132
149	133
150	134
151	135
152	136
153	136
154	137
155	137
156	137
157	138
158	139
159	139
160	140
161	141
162	142
163	143
164	144
165	145
166	146
167	146
168	146
169	147
170	148
171	148
172	149
173	149
174	150
175	151
176	151
177	152
178	153
179	154
180	155
181	156
182	157
183	158
184	158
185	158
186	159
187	160
188	161
189	162
190	163
191	164
192	165
193	166
194	167
195	167
196	168
197	169
198	170
199	171
200	172
201	173
202	174
203	175
204	176
205	177
206	177
207	178
208	179
209	179
210	180
211	181
212	182
213	183
214	184
215	185
216	186
217	187
218	188
219	189
220	190
221	191
222	191
223	192
224	192
225	193
226	193
227	194
228	195
229	196
230	197
231	198
232	199
233	200
234	201
235	202
236	202
237	203
238	203
239	204
240	205
241	206
242	207
243	208
244	209
245	210
246	211
247	211
248	212
249	213
250	214
251	214
252	215
253	216
254	217
255	218
256	219
257	219
258	220
259	221
260	222
261	223
262	224
263	224
264	225
265	225
266	226
267	227
268	227
269	227
270	228
271	229
272	230
273	230
274	230
275	230
276	231
277	232
278	232
279	232
280	232
281	233
282	233
283	234
284	234
285	234
286	235
287	236
288	237
289	238
290	239
291	240
292	241
293	242
294	243
295	243
296	244
297	244
298	244
299	245
300	246
301	246
302	246
303	247
304	248
305	248
306	249
307	249
308	249
309	250
310	251
311	252
312	252
313	252
314	252
315	252
316	253
317	253
318	253
319	254
320	255
321	256
322	257
323	257
324	257
325	257
326	258
327	258
328	259
329	260
330	261
331	261
332	261
333	262
334	262
335	262
336	263
337	263
338	263
339	264
340	265
341	266
342	267
343	268
344	269
345	269
346	270
347	271
348	272
349	273
350	274
351	275
352	275
353	275
354	275
355	275
356	275
357	276
358	277
359	278
360	278
361	279
362	279
363	280
364	281
365	282
366	283
367	283
368	284
369	284
370	285
371	286
372	287
373	288
374	289
375	290
376	291
377	292
378	292
379	293
380	294
381	294
382	295
383	295
384	295
385	296
386	296
387	297
388	298
389	299
390	300
391	300
392	301
393	302
394	303
395	303
396	303
397	303
398	303
399	303
400	304
401	305
402	306
403	307
404	308
405	308
406	309
407	310
408	311
409	312
410	313
411	313
412	314
413	314
414	314
415	314
416	315
417	316
418	316
419	316
420	316
421	316
422	317
423	317
424	318
425	319
426	320
427	320
428	320
429	320
430	321
431	321
432	322
433	323
434	324
435	324
436	325
437	325
438	325
439	326
440	327
441	328
442	328
443	328
444	328
445	329
446	329
447	329
448	329
449	329
450	330
451	331
452	331
453	332
454	332
455	332
456	332
457	333
458	333
459	333
460	333
461	334
462	335
463	336
464	337
465	337
466	337
467	337
468	338
469	339
470	339
471	340
472	340
473	340
474	340
475	341
476	342
477	342
478	342
479	343
480	343
481	344
482	345
483	345
484	345
485	346
486	347
487	348
488	348
489	349
490	349
491	350
492	351
493	351
494	351
495	352
496	353
497	354
498	354
499	355
500	356
501	356
502	356
503	357
504	358
505	358
506	358
507	358
508	359
509	359
510	359
511	359
512	360
513	361
514	362
515	362
516	363
517	364
518	365
519	366
520	366
521	366
522	366
523	367
524	368
525	368
526	368
527	368
528	369
529	370
530	371
531	372
532	373
533	373
534	374
535	375
536	376
537	377
538	377
539	378
540	379
541	380
542	380
543	381
544	382
545	382
546	383
547	383
548	384
549	384
550	385
551	386
552	386
553	386
554	386
555	386
556	386
557	386
558	387
559	387
560	388
561	389
562	390
563	390
564	390
565	390
566	391
567	392
568	393
569	394
570	394
571	395
572	395
573	396
574	396
575	396
576	397
577	397
578	397
579	398
580	399
581	400
582	400
583	401
584	402
585	402
586	403
587	403
588	404
589	405
590	405
591	406
592	406
593	407
594	407
595	407
596	408
597	409
598	409
599	410
600	411
601	411
602	412
603	412
604	412
605	412
606	413
607	414
608	414
609	414
610	414
611	415
612	415
613	415
614	415
615	416
616	417
617	417
618	418
619	419
620	420
621	421
622	422
623	423
624	423
625	423
626	423
627	423
628	423
629	424
630	424
631	424
632	424
633	424
634	424
635	425
636	426
637	427
638	428
639	428
640	429
641	429
642	430
643	430
644	431
645	432
646	432
647	433
648	433
649	434
650	434
651	434
652	434
653	435
654	436
655	436
656	436
657	437
658	438
659	438
660	438
661	438
662	438
663	438
664	439
665	440
666	440
667	441
668	442
669	442
670	443
671	444
672	445
673	445
674	445
675	445
676	445
677	446
678	447
679	448
680	449
681	450
682	451
683	452
684	452
685	453
686	454
687	455
688	456
689	457
690	457
691	458
692	459
693	460
694	460
695	461
696	462
697	463
698	463
699	463
700	464
701	465
702	466
703	467
704	467
705	467
706	468
707	469
708	469
709	470
710	471
711	472
712	473
713	473
714	474
715	475
716	476
717	476
718	477
719	477
720	478
721	479
722	480
723	481
724	481
725	481
726	482
727	483
728	484
729	485
730	485
731	486
732	487
733	487
734	487
735	488
736	489
737	489
738	490
739	491
740	491
741	491
742	492
743	493
744	494
745	495
746	495
747	496
748	496
749	497
750	497
751	498
752	498
753	499
754	499
755	499
756	499
757	500
758	500
759	501
760	502
761	502
762	502
763	503
764	504
765	504
766	504
767	505
768	506
769	507
770	507
771	507
772	508
773	509
774	510
775	511
776	512
777	512
778	513
779	513
780	514
781	515
782	516
783	517
784	518
785	518
786	518
787	518
788	519
789	520
790	520
791	520
792	520
793	520
794	521
795	521
796	521
797	521
798	521
799	521
800	522
801	522
802	523
803	524
804	525
805	525
806	525
807	525
808	525
809	526
810	527
811	527
812	528
813	529
814	529
815	529
816	530
817	530
818	531
819	531
820	531
821	531
822	532
823	533
824	533
825	534
826	535
827	535
828	535
829	535
830	536
831	536
832	536
833	536
834	536
835	536
836	536
837	536
838	537
839	537
840	537
841	538
842	538
843	538
844	539
845	540
846	541
847	542
848	543
849	543
850	543
851	544
852	545
853	545
854	545
855	545
856	546
857	547
858	548
859	549
860	549
861	549
862	549
863	549
864	549
865	550
866	551
867	551
868	552
869	552
870	553
871	553
872	554
873	555
874	556
875	556
876	557
877	558
878	558
879	559
880	560
881	561
882	561
883	562
884	562
885	563
886	564
887	564
888	564
889	564
890	564
891	564
892	565
893	565
894	566
895	567
896	567
897	567
898	567
899	567
900	567
901	567
902	567
903	568
904	569
905	569
906	569
907	570
908	571
909	572
910	572
911	572
912	572
913	572
914	573
915	574
916	574
917	574
918	574
919	575
920	576
921	576
922	576
923	577
924	577
925	577
926	578
927	579
928	579
929	579
930	579
931	580
932	580
933	580
934	581
935	581
936	581
937	582
938	583
939	584
940	584
941	585
942	585
943	585
944	586
945	586
946	586
947	587
948	588
949	588
950	589
951	589
952	590
953	590
954	591
955	592
956	592
957	593
958	593
959	594
960	595
961	596
962	597
963	598
