N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	15
16	15
17	15
18	16
19	17
20	18
21	19
22	20
23	21
24	22
25	23
26	24
27	25
28	26
29	27
30	28
31	29
32	30
33	30
34	31
35	32
36	33
37	34
38	35
39	36
40	37
41	38
42	39
43	40
44	41
45	42
46	43
47	44
48	45
49	46
50	47
51	48
52	49
53	50
54	51
55	52
56	53
57	54
58	55
59	56
60	57
61	57
62	58
63	59
64	59
65	60
66	60
67	61
68	62
69	63
70	64
71	64
72	65
73	66
74	67
75	68
76	68
77	69
78	70
79	71
80	72
81	73
82	74
83	75
84	76
85	76
86	77
87	78
88	79
89	79
90	80
91	81
92	82
93	82
94	82
95	82
96	83
97	83
98	84
99	85
100	86
101	87
102	87
103	88
104	89
105	90
106	91
107	92
108	93
109	94
110	95
111	95
112	95
113	96
114	97
115	98
116	98
117	98
118	98
119	99
120	100
121	100
122	101
123	102
124	103
125	104
126	104
127	104
128	105
129	106
130	106
131	107
132	107
133	108
134	109
135	110
136	110
137	111
138	111
139	112
140	112
141	113
142	114
143	114
144	114
145	115
146	115
147	115
148	116
149	116
150	117
151	118
152	119
153	120
154	120
155	120
156	120
157	121
158	122
159	123
160	124
161	125
162	125
163	126
164	127
165	128
166	129
167	130
168	131
169	132
170	132
171	133
172	134
173	135
174	136
175	136
176	137
177	138
178	139
179	140
180	141
181	142
182	142
183	142
184	143
185	144
186	144
187	145
188	146
189	147
190	148
191	149
192	150
193	151
194	151
195	152
196	153
197	153
198	153
199	154
200	154
201	154
202	154
203	155
204	155
205	155
206	156
207	157
208	157
209	158
210	158
211	158
212	159
213	159
214	160
215	161
216	162
217	162
218	163
219	164
220	165
221	166
222	166
223	166
224	166
225	167
226	168
227	168
228	169
229	169
230	169
231	169
232	169
233	169
234	170
235	171
236	171
237	171
238	172
239	173
240	174
241	175
242	175
243	175
244	175
245	175
246	175
247	175
248	176
249	176
250	176
251	177
252	177
253	177
254	177
255	177
256	178
257	178
258	178
259	178
260	178
261	179
262	179
263	179
264	179
265	179
266	179
267	179
268	179
269	179
270	179
271	179
272	179
273	179
274	179
275	180
276	181
277	182
278	183
279	184
280	185
281	186
282	186
283	187
284	187
285	187
286	187
287	188
288	189
289	190
290	191
291	192
292	193
293	194
294	195
295	196
296	197
297	197
298	198
299	199
300	199
301	199
302	200
303	200
304	201
305	202
306	203
307	204
308	205
309	206
310	207
311	208
312	208
313	208
314	208
315	208
316	208
317	208
318	209
319	210
320	211
321	212
322	212
323	212
324	212
325	213
326	214
327	215
328	215
329	216
330	217
331	218
332	219
333	219
334	220
335	221
336	222
337	223
338	224
339	224
340	225
341	226
342	226
343	226
344	227
345	228
346	229
347	230
348	230
349	230
350	230
351	231
352	232
353	232
354	232
355	232
356	232
357	232
358	232
359	233
360	233
361	233
362	233
363	233
364	233
365	233
366	234
367	234
368	235
369	236
370	237
371	238
372	238
373	239
374	239
375	239
376	239
377	239
378	239
379	240
380	240
381	241
382	242
383	242
384	243
385	244
386	244
387	245
388	246
389	247
390	248
391	249
392	250
393	250
394	251
395	251
396	251
397	251
398	251
399	252
400	253
401	254
402	255
403	255
404	256
405	256
406	256
407	256
408	256
409	257
410	257
411	257
412	258
413	258
414	259
415	260
416	260
417	260
418	261
419	261
420	261
421	262
422	263
423	264
424	265
425	265
426	266
427	267
428	267
429	268
430	269
431	269
432	270
433	270
434	271
435	272
436	273
437	274
438	274
439	275
440	276
441	276
442	277
443	278
444	279
445	280
446	281
447	282
448	283
449	284
450	284
451	285
452	286
453	287
454	288
455	289
456	289
457	289
458	290
459	290
460	291
461	292
462	292
463	292
464	293
465	294
466	295
467	296
468	297
469	297
470	298
471	298
472	298
473	298
474	299
475	300
476	301
477	302
478	303
479	303
480	304
481	305
482	305
483	305
484	306
485	307
486	307
487	307
488	308
489	308
490	309
491	310
492	311
493	312
494	312
495	312
496	313
497	313
498	313
499	314
500	315
501	315
502	316
503	317
504	317
505	318
506	319
507	320
508	321
509	321
510	322
511	323
512	323
513	323
514	324
515	325
516	326
517	327
518	328
519	329
520	329
521	330
522	330
523	331
524	332
525	333
526	334
527	335
528	335
529	335
530	336
531	337
532	338
533	339
534	339
535	340
536	341
537	342
538	342
539	342
540	343
541	343
542	344
543	345
544	346
545	347
546	348
547	348
548	348
549	348
550	348
551	349
552	350
553	351
554	351
555	352
556	352
557	352
558	353
559	354
560	355
561	355
562	356
563	357
564	358
565	358
566	358
567	359
568	360
569	361
570	362
571	362
572	362
573	363
574	364
575	365
576	365
577	366
578	366
579	366
580	366
581	367
582	367
583	367
584	367
585	368
586	369
587	369
588	369
589	369
590	369
591	370
592	371
593	372
594	372
595	373
596	374
597	374
598	374
599	374
600	374
601	375
602	375
603	375
604	376
605	376
606	377
607	378
608	379
609	380
610	381
611	382
612	382
613	382
614	382
615	383
616	384
617	385
618	386
619	387
620	388
621	389
622	389
623	390
624	391
625	391
626	392
627	393
628	393
629	394
630	395
631	396
632	397
633	398
634	399
635	400
636	401
637	401
638	401
639	402
640	403
641	404
642	404
643	404
644	405
645	405
646	406
647	406
648	406
649	406
650	406
651	406
652	406
653	406
654	407
655	408
656	409
657	410
658	410
659	410
660	411
661	412
662	413
663	413
664	414
665	414
666	414
667	415
668	416
669	416
670	416
671	416
672	417
673	417
674	418
675	418
676	418
677	418
678	418
679	418
680	419
681	420
682	421
683	421
684	422
685	422
686	422
687	422
688	423
689	424
690	424
691	425
692	425
693	426
694	427
695	427
696	428
697	429
698	430
699	431
700	432
701	433
702	433
703	433
704	433
705	434
706	435
707	435
708	436
709	437
710	438
711	438
712	439
713	439
714	440
715	441
716	442
717	442
718	443
719	443
720	443
721	443
722	443
723	444
724	444
725	444
726	444
727	444
728	444
729	445
730	445
731	445
732	445
733	445
734	445
735	445
736	445
737	445
738	445
739	445
740	445
741	445
742	445
743	446
744	446
745	446
746	446
747	446
748	446
749	447
750	448
751	449
752	450
753	450
754	450
755	450
756	450
757	450
758	450
759	450
760	450
761	450
762	450
763	450
764	450
765	450
766	450
767	450
768	451
769	451
770	452
771	453
772	454
773	455
774	455
775	455
776	455
777	455
778	455
779	455
780	455
781	456
782	456
783	457
784	457
785	458
786	458
787	459
788	459
789	459
790	459
791	459
792	460
793	461
794	461
795	462
796	462
797	463
798	463
799	463
800	464
801	465
802	466
803	467
804	467
805	467
806	468
807	469
808	470
809	470
810	471
811	471
812	472
813	473
814	473
815	473
816	474
817	475
818	476
819	477
820	478
821	479
822	479
823	479
824	479
825	479
826	479
827	480
828	481
829	482
830	482
831	483
832	483
833	483
834	484
835	485
836	486
837	487
838	487
839	487
840	488
841	489
842	489
843	490
844	491
845	491
846	492
847	492
848	493
849	494
850	494
851	494
852	495
853	496
854	497
855	498
856	499
857	499
858	499
859	499
860	500
861	500
862	500
863	500
864	500
865	501
866	501
867	502
868	502
869	502
870	503
871	504
872	505
873	506
874	507
875	508
876	508
877	508
878	509
879	509
880	509
881	510
882	511
883	512
884	512
885	513
886	513
887	513
888	514
889	515
890	515
891	515
892	516
893	517
894	517
895	518
896	519
897	520
898	521
899	522
900	523
901	524
902	525
903	526
904	527
905	528
906	529
907	529
908	529
909	530
910	531
911	532
912	532
913	533
914	533
915	534
916	534
917	534
918	534
919	534
920	534
921	535
922	535
923	536
924	537
925	537
926	537
927	537
928	537
929	537
930	537
931	538
932	539
933	539
934	540
935	541
936	542
937	542
938	542
939	543
940	544
941	545
942	546
943	547
944	547
945	547
946	548
947	549
948	549
949	550
950	551
951	551
952	552
953	553
954	554
955	554
956	555
957	555
958	556
959	557
960	557
961	558
962	559
963	560
