N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	13
14	14
15	15
16	15
17	16
18	17
19	18
20	19
21	19
22	19
23	20
24	21
25	22
26	23
27	23
28	24
29	25
30	26
31	27
32	28
33	29
34	30
35	31
36	32
37	32
38	33
39	34
40	35
41	36
42	37
43	38
44	39
45	40
46	41
47	42
48	43
49	44
50	45
51	46
52	47
53	48
54	49
55	50
56	51
57	51
58	52
59	53
60	54
61	55
62	56
63	57
64	58
65	59
66	60
67	60
68	61
69	61
70	62
71	63
72	63
73	64
74	65
75	66
76	66
77	67
78	68
79	69
80	70
81	71
82	72
83	73
84	74
85	75
86	76
87	77
88	78
89	79
90	79
91	80
92	81
93	81
94	82
95	83
96	84
97	85
98	85
99	86
100	87
101	88
102	89
103	90
104	91
105	92
106	93
107	94
108	95
109	96
110	96
111	96
112	97
113	98
114	99
115	100
116	101
117	102
118	102
119	103
120	104
121	105
122	105
123	106
124	107
125	108
126	109
127	110
128	111
129	112
130	113
131	114
132	115
133	116
134	117
135	118
136	119
137	120
138	121
139	121
140	121
141	122
142	123
143	123
144	124
145	125
146	126
147	127
148	128
149	128
150	129
151	129
152	130
153	130
154	131
155	132
156	133
157	134
158	135
159	136
160	137
161	137
162	138
163	138
164	139
165	139
166	140
167	141
168	142
169	143
170	143
171	144
172	144
173	145
174	146
175	147
176	148
177	149
178	150
179	151
180	152
181	152
182	152
183	153
184	154
185	155
186	155
187	156
188	156
189	157
190	158
191	158
192	159
193	160
194	160
195	161
196	162
197	162
198	163
199	163
200	164
201	165
202	166
203	166
204	167
205	167
206	168
207	168
208	169
209	170
210	171
211	172
212	172
213	173
214	174
215	175
216	175
217	176
218	177
219	177
220	178
221	179
222	179
223	180
224	181
225	182
226	182
227	183
228	184
229	184
230	185
231	186
232	187
233	188
234	189
235	190
236	191
237	192
238	193
239	193
240	194
241	194
242	194
243	195
244	196
245	196
246	197
247	198
248	199
249	200
250	201
251	202
252	202
253	203
254	204
255	204
256	205
257	205
258	206
259	207
260	207
261	208
262	209
263	210
264	211
265	211
266	212
267	213
268	213
269	213
270	213
271	214
272	215
273	215
274	216
275	217
276	217
277	217
278	218
279	219
280	219
281	220
282	221
283	222
284	222
285	223
286	223
287	224
288	225
289	226
290	226
291	227
292	228
293	228
294	229
295	229
296	230
297	230
298	231
299	231
300	232
301	233
302	233
303	233
304	233
305	234
306	235
307	235
308	235
309	235
310	236
311	237
312	238
313	239
314	240
315	241
316	242
317	242
318	243
319	244
320	244
321	245
322	245
323	246
324	246
325	247
326	248
327	249
328	249
329	250
330	251
331	252
332	253
333	254
334	254
335	255
336	256
337	257
338	258
339	259
340	259
341	260
342	260
343	261
344	262
345	263
346	264
347	264
348	264
349	264
350	265
351	265
352	266
353	267
354	268
355	269
356	270
357	270
358	271
359	272
360	273
361	274
362	275
363	276
364	277
365	278
366	278
367	279
368	280
369	281
370	282
371	282
372	283
373	284
374	285
375	286
376	287
377	288
378	288
379	288
380	289
381	289
382	289
383	289
384	290
385	291
386	292
387	293
388	293
389	294
390	294
391	295
392	295
393	295
394	296
395	297
396	298
397	298
398	299
399	300
400	301
401	302
402	303
403	303
404	304
405	305
406	306
407	307
408	307
409	308
410	309
411	309
412	310
413	310
414	311
415	312
416	313
417	314
418	314
419	314
420	315
421	316
422	317
423	318
424	319
425	320
426	321
427	321
428	322
429	322
430	322
431	323
432	323
433	323
434	323
435	324
436	325
437	325
438	325
439	325
440	326
441	326
442	326
443	327
444	327
445	327
446	327
447	327
448	327
449	327
450	328
451	329
452	329
453	329
454	330
455	331
456	331
457	332
458	333
459	333
460	333
461	333
462	334
463	335
464	336
465	337
466	338
467	339
468	340
469	341
470	342
471	343
472	343
473	343
474	343
475	343
476	344
477	345
478	346
479	347
480	347
481	348
482	348
483	349
484	349
485	350
486	351
487	351
488	351
489	352
490	353
491	353
492	353
493	354
494	355
495	356
496	357
497	357
498	358
499	358
500	358
501	359
502	360
503	361
504	361
505	362
506	363
507	363
508	363
509	363
510	364
511	364
512	364
513	364
514	365
515	366
516	367
517	368
518	368
519	369
520	370
521	371
522	372
523	372
524	372
525	373
526	374
527	375
528	375
529	375
530	375
531	376
532	376
533	376
534	377
535	377
536	377
537	377
538	377
539	378
540	379
541	379
542	379
543	379
544	379
545	380
546	381
547	382
548	383
549	383
550	383
551	383
552	383
553	384
554	384
555	385
556	385
557	386
558	386
559	387
560	388
561	389
562	390
563	390
564	391
565	392
566	392
567	393
568	394
569	395
570	396
571	396
572	397
573	398
574	399
575	400
576	401
577	402
578	403
579	403
580	404
581	405
582	406
583	407
584	407
585	407
586	407
587	407
588	408
589	408
590	408
591	408
592	408
593	408
594	408
595	408
596	408
597	409
598	409
599	409
600	410
601	411
602	412
603	413
604	413
605	414
606	415
607	416
608	416
609	417
610	418
611	418
612	419
613	420
614	420
615	420
616	421
617	422
618	423
619	424
620	424
621	424
622	425
623	426
624	426
625	427
626	427
627	427
628	427
629	427
630	427
631	428
632	428
633	428
634	428
635	428
636	428
637	428
638	428
639	428
640	428
641	429
642	430
643	430
644	430
645	430
646	431
647	431
648	432
649	432
650	433
651	434
652	434
653	434
654	435
655	436
656	436
657	437
658	437
659	437
660	437
661	437
662	438
663	439
664	439
665	440
666	440
667	441
668	441
669	441
670	441
671	441
672	441
673	441
674	442
675	443
676	443
677	444
678	445
679	446
680	447
681	447
682	447
683	448
684	449
685	450
686	451
687	452
688	453
689	454
690	455
691	456
692	457
693	458
694	459
695	460
696	461
697	462
698	463
699	464
700	465
701	465
702	466
703	467
704	468
705	469
706	470
707	470
708	471
709	472
710	473
711	474
712	475
713	476
714	476
715	476
716	477
717	477
718	478
719	479
720	480
721	480
722	481
723	482
724	482
725	483
726	483
727	484
728	485
729	486
730	487
731	487
732	487
733	487
734	488
735	488
736	489
737	489
738	489
739	490
740	491
741	492
742	493
743	493
744	494
745	494
746	494
747	495
748	495
749	495
750	495
751	496
752	497
753	498
754	498
755	499
756	499
757	500
758	500
759	501
760	502
761	503
762	503
763	503
764	504
765	505
766	505
767	506
768	507
769	508
770	508
771	508
772	508
773	509
774	509
775	510
776	510
777	511
778	511
779	512
780	512
781	513
782	513
783	513
784	513
785	513
786	513
787	513
788	514
789	515
790	515
791	515
792	515
793	516
794	517
795	517
796	517
797	518
798	519
799	519
800	520
801	520
802	521
803	522
804	523
805	523
806	524
807	524
808	525
809	525
810	525
811	525
812	525
813	526
814	527
815	528
816	528
817	528
818	529
819	529
820	530
821	530
822	530
823	531
824	531
825	532
826	533
827	533
828	533
829	534
830	535
831	536
832	536
833	536
834	536
835	537
836	538
837	538
838	538
839	539
840	540
841	540
842	540
843	540
844	541
845	542
846	543
847	543
848	544
849	544
850	545
851	546
852	546
853	547
854	547
855	547
856	547
857	547
858	548
859	548
860	548
861	549
862	549
863	549
864	549
865	549
866	550
867	551
868	551
869	552
870	553
871	554
872	554
873	554
874	555
875	556
876	557
877	558
878	558
879	559
880	560
881	561
882	561
883	561
884	561
885	562
886	563
887	564
888	565
889	565
890	565
891	566
892	567
893	567
894	567
895	568
896	569
897	569
898	569
899	570
900	571
901	571
902	572
903	573
904	574
905	575
906	576
907	577
908	578
909	578
910	579
911	579
912	580
913	581
914	582
915	582
916	582
917	582
918	583
919	584
920	584
921	584
922	584
923	584
924	584
925	584
926	584
927	585
928	586
929	586
930	587
931	587
932	588
933	589
934	590
935	591
936	591
937	592
938	593
939	594
940	594
941	594
942	595
943	595
944	596
945	597
946	598
947	598
948	598
949	599
950	599
951	599
952	600
953	601
954	601
955	601
956	602
957	603
958	603
959	603
960	604
961	604
962	605
963	606
