N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	22
24	22
25	23
26	24
27	25
28	26
29	26
30	27
31	27
32	28
33	29
34	30
35	31
36	31
37	31
38	32
39	33
40	34
41	35
42	36
43	37
44	38
45	39
46	39
47	40
48	41
49	42
50	42
51	42
52	43
53	43
54	44
55	45
56	45
57	46
58	46
59	47
60	47
61	48
62	49
63	50
64	51
65	52
66	53
67	53
68	53
69	54
70	55
71	55
72	56
73	56
74	56
75	56
76	56
77	56
78	56
79	57
80	57
81	57
82	58
83	58
84	59
85	60
86	60
87	61
88	62
89	63
90	64
91	65
92	66
93	67
94	67
95	68
96	68
97	68
98	69
99	70
100	70
101	71
102	72
103	73
104	74
105	74
106	75
107	75
108	76
109	76
110	77
111	78
112	78
113	79
114	79
115	80
116	80
117	80
118	81
119	81
120	82
121	83
122	84
123	84
124	85
125	86
126	87
127	87
128	88
129	89
130	90
131	90
132	90
133	91
134	92
135	92
136	92
137	93
138	94
139	94
140	95
141	95
142	95
143	95
144	95
145	96
146	97
147	98
148	99
149	99
150	99
151	99
152	99
153	100
154	101
155	101
156	102
157	102
158	103
159	103
160	103
161	104
162	104
163	104
164	104
165	105
166	105
167	106
168	107
169	107
170	107
171	108
172	108
173	108
174	109
175	109
176	110
177	111
178	111
179	112
180	112
181	112
182	112
183	112
184	113
185	114
186	114
187	114
188	114
189	114
190	114
191	114
192	115
193	115
194	115
195	116
196	116
197	116
198	117
199	118
200	118
201	119
202	120
203	121
204	121
205	122
206	122
207	122
208	122
209	123
210	123
211	124
212	125
213	126
214	126
215	127
216	128
217	128
218	128
219	129
220	129
221	129
222	129
223	129
224	130
225	130
226	130
227	130
228	131
229	131
230	131
231	132
232	132
233	133
234	133
235	133
236	133
237	134
238	134
239	134
240	135
241	135
242	136
243	137
244	137
245	138
246	139
247	140
248	140
249	141
250	141
251	141
252	141
253	142
254	143
255	143
256	143
257	144
258	144
259	144
260	145
261	145
262	146
263	146
264	147
265	147
266	147
267	147
268	147
269	148
270	148
271	149
272	149
273	149
274	149
275	149
276	149
277	150
278	150
279	150
280	150
281	151
282	151
283	151
284	151
285	151
286	152
287	152
288	152
289	152
290	152
291	152
292	152
293	152
294	153
295	154
296	154
297	155
298	156
299	157
300	158
301	159
302	160
303	160
304	160
305	160
306	160
307	161
308	161
309	161
310	162
311	163
312	164
313	164
314	164
315	164
316	165
317	165
318	165
319	166
320	167
321	167
322	167
323	167
324	168
325	168
326	169
327	169
328	169
329	169
330	170
331	170
332	170
333	170
334	170
335	170
336	170
337	170
338	170
339	170
340	170
341	170
342	170
343	170
344	171
345	171
346	172
347	172
348	173
349	173
350	174
351	174
352	174
353	175
354	175
355	175
356	176
357	176
358	176
359	177
360	177
361	177
362	178
363	178
364	178
365	178
366	178
367	179
368	180
369	180
370	180
371	181
372	181
373	181
374	181
375	181
376	182
377	182
378	182
379	183
380	184
381	184
382	184
383	185
384	185
385	185
386	185
387	186
388	186
389	186
390	187
391	187
392	188
393	188
394	188
395	189
396	189
397	189
398	190
399	190
400	190
401	190
402	190
403	190
404	190
405	190
406	191
407	191
408	192
409	192
410	192
411	193
412	193
413	193
414	193
415	193
416	193
417	193
418	194
419	194
420	195
421	195
422	195
423	195
424	195
425	196
426	196
427	196
428	197
429	198
430	198
431	199
432	199
433	199
434	199
435	200
436	200
437	200
438	200
439	200
440	200
441	201
442	201
443	202
444	202
445	203
446	203
447	203
448	204
449	204
450	205
451	205
452	206
453	207
454	207
455	208
456	209
457	209
458	209
459	210
460	210
461	211
462	211
463	211
464	211
465	212
466	212
467	212
468	212
469	213
470	214
471	214
472	215
473	215
474	216
475	216
476	216
477	216
478	216
479	216
480	216
481	217
482	217
483	218
484	218
485	218
486	218
487	218
488	218
489	219
490	219
491	220
492	221
493	221
494	222
495	222
496	222
497	222
498	222
499	222
500	223
501	224
502	225
503	225
504	225
505	225
506	226
507	227
508	227
509	227
510	227
511	227
512	227
513	227
514	228
515	228
516	229
517	229
518	230
519	231
520	232
521	232
522	232
523	232
524	232
525	233
526	234
527	234
528	234
529	235
530	236
531	236
532	236
533	237
534	237
535	237
536	237
537	238
538	238
539	238
540	239
541	240
542	240
543	240
544	241
545	242
546	242
547	242
548	243
549	243
550	244
551	244
552	245
553	246
554	246
555	247
556	247
557	247
558	247
559	247
560	247
561	248
562	249
563	249
564	249
565	249
566	250
567	250
568	250
569	250
570	250
571	250
572	250
573	251
574	251
575	252
576	252
577	253
578	253
579	253
580	254
581	255
582	255
583	255
584	256
585	256
586	256
587	256
588	256
589	257
590	257
591	257
592	257
593	258
594	258
595	258
596	258
597	259
598	259
599	260
600	260
601	260
602	261
603	261
604	262
605	262
606	262
607	263
608	263
609	263
610	263
611	264
612	265
613	265
614	265
615	265
616	265
617	265
618	265
619	265
620	266
621	267
622	267
623	267
624	267
625	267
626	268
627	269
628	270
629	270
630	271
631	271
632	272
633	272
634	272
635	272
636	272
637	272
638	272
639	272
640	272
641	272
642	272
643	272
644	272
645	272
646	272
647	273
648	273
649	273
650	273
651	273
652	273
653	273
654	273
655	274
656	274
657	274
658	274
659	274
660	274
661	274
662	274
663	274
664	274
665	274
666	275
667	275
668	275
669	275
670	275
671	275
672	275
673	275
674	276
675	276
676	276
677	276
678	276
679	276
680	277
681	277
682	277
683	277
684	277
685	277
686	277
687	277
688	278
689	278
690	278
691	279
692	279
693	279
694	279
695	279
696	280
697	281
698	282
699	282
700	283
701	283
702	284
703	284
704	285
705	285
706	285
707	286
708	286
709	286
710	286
711	286
712	286
713	286
714	286
715	286
716	286
717	286
718	286
719	286
720	286
721	286
722	286
723	287
724	287
725	287
726	287
727	287
728	287
729	287
730	287
731	287
732	287
733	287
734	287
735	287
736	287
737	287
738	287
739	288
740	288
741	288
742	288
743	288
744	289
745	289
746	289
747	289
748	289
749	289
750	289
751	289
752	289
753	289
754	289
755	289
756	289
757	289
758	290
759	290
760	291
761	291
762	291
763	291
764	292
765	292
766	292
767	292
768	293
769	293
770	293
771	293
772	293
773	293
774	293
775	293
776	293
777	293
778	293
779	293
780	293
781	293
782	293
783	293
784	293
785	294
786	294
787	294
788	294
789	294
790	294
791	295
792	295
793	295
794	295
795	295
796	295
797	296
798	296
799	296
800	296
801	296
802	296
803	296
804	296
805	296
806	296
807	296
808	296
809	296
810	297
811	297
812	297
813	297
814	297
815	297
816	298
817	298
818	298
819	299
820	299
821	299
822	299
823	299
824	299
825	300
826	301
827	301
828	301
829	302
830	302
831	303
832	303
833	303
834	303
835	303
836	304
837	304
838	304
839	304
840	304
841	304
842	304
843	304
844	304
845	305
846	306
847	306
848	306
849	307
850	307
851	307
852	307
853	307
854	307
855	307
856	307
857	307
858	307
859	307
860	308
861	309
862	309
863	310
864	311
865	311
866	311
867	311
868	312
869	312
870	312
871	312
872	312
873	312
874	312
875	312
876	312
877	312
878	312
879	312
880	312
881	312
882	312
883	312
884	312
885	313
886	313
887	313
888	313
889	314
890	314
891	314
892	314
893	314
894	315
895	315
896	315
897	316
898	316
899	316
900	316
901	317
902	317
903	318
904	318
905	318
906	318
907	318
908	318
909	318
910	318
911	318
912	318
913	318
914	318
915	318
916	318
917	319
918	319
919	319
920	319
921	320
922	321
923	321
924	322
925	322
926	322
927	322
928	322
929	322
930	322
931	322
932	322
933	322
934	322
935	323
936	324
937	324
938	324
939	324
940	324
941	324
942	324
943	325
944	325
945	325
946	325
947	325
948	325
949	325
950	325
951	325
952	325
953	326
954	326
955	326
956	326
957	326
958	326
959	327
960	327
961	328
962	328
963	328
