N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	34
36	35
37	36
38	37
39	38
40	39
41	40
42	41
43	42
44	43
45	43
46	44
47	45
48	46
49	47
50	48
51	49
52	50
53	51
54	52
55	53
56	54
57	55
58	56
59	57
60	58
61	59
62	60
63	60
64	61
65	61
66	61
67	61
68	62
69	63
70	64
71	65
72	66
73	66
74	66
75	66
76	67
77	67
78	68
79	69
80	69
81	70
82	70
83	71
84	72
85	73
86	74
87	75
88	76
89	77
90	78
91	79
92	80
93	80
94	80
95	80
96	81
97	82
98	82
99	83
100	84
101	84
102	85
103	86
104	87
105	88
106	89
107	89
108	89
109	90
110	91
111	91
112	92
113	92
114	93
115	94
116	95
117	96
118	96
119	96
120	96
121	97
122	98
123	99
124	100
125	101
126	102
127	102
128	103
129	104
130	104
131	105
132	105
133	106
134	107
135	107
136	108
137	109
138	109
139	109
140	110
141	110
142	111
143	112
144	112
145	113
146	113
147	113
148	113
149	113
150	114
151	115
152	116
153	116
154	117
155	118
156	119
157	120
158	121
159	122
160	123
161	123
162	124
163	125
164	126
165	127
166	128
167	129
168	129
169	130
170	131
171	132
172	132
173	132
174	133
175	134
176	135
177	136
178	136
179	137
180	138
181	139
182	139
183	140
184	141
185	142
186	143
187	144
188	145
189	146
190	147
191	148
192	148
193	148
194	149
195	150
196	151
197	152
198	153
199	154
200	154
201	154
202	154
203	155
204	156
205	157
206	157
207	158
208	159
209	160
210	160
211	160
212	160
213	161
214	162
215	163
216	163
217	164
218	164
219	165
220	165
221	166
222	167
223	168
224	168
225	168
226	168
227	169
228	169
229	170
230	171
231	171
232	171
233	171
234	172
235	172
236	172
237	172
238	173
239	173
240	174
241	174
242	174
243	174
244	175
245	175
246	176
247	177
248	178
249	179
250	180
251	181
252	181
253	182
254	183
255	183
256	183
257	184
258	184
259	185
260	185
261	186
262	186
263	186
264	186
265	186
266	186
267	186
268	187
269	187
270	188
271	189
272	189
273	190
274	191
275	192
276	192
277	192
278	192
279	192
280	193
281	194
282	195
283	196
284	197
285	198
286	199
287	200
288	201
289	202
290	203
291	204
292	205
293	205
294	206
295	206
296	207
297	208
298	209
299	210
300	211
301	212
302	212
303	212
304	213
305	214
306	215
307	216
308	216
309	217
310	218
311	219
312	219
313	219
314	219
315	220
316	220
317	221
318	222
319	222
320	223
321	224
322	225
323	225
324	226
325	227
326	228
327	229
328	230
329	231
330	232
331	233
332	234
333	234
334	235
335	236
336	236
337	237
338	238
339	239
340	240
341	240
342	241
343	241
344	241
345	241
346	241
347	241
348	242
349	242
350	242
351	242
352	243
353	243
354	244
355	244
356	244
357	244
358	244
359	244
360	245
361	246
362	247
363	248
364	249
365	250
366	251
367	252
368	252
369	253
370	253
371	254
372	254
373	255
374	255
375	255
376	256
377	257
378	257
379	258
380	259
381	260
382	261
383	261
384	262
385	263
386	264
387	264
388	264
389	265
390	266
391	267
392	268
393	269
394	269
395	270
396	271
397	272
398	272
399	272
400	272
401	273
402	274
403	275
404	276
405	276
406	277
407	277
408	278
409	278
410	279
411	280
412	281
413	282
414	283
415	284
416	285
417	285
418	285
419	285
420	286
421	287
422	288
423	288
424	289
425	290
426	290
427	291
428	291
429	292
430	293
431	293
432	294
433	294
434	295
435	295
436	295
437	295
438	295
439	295
440	296
441	297
442	297
443	297
444	297
445	298
446	298
447	298
448	299
449	299
450	300
451	301
452	302
453	303
454	304
455	305
456	306
457	306
458	306
459	307
460	308
461	309
462	309
463	310
464	311
465	312
466	312
467	313
468	313
469	314
470	315
471	316
472	317
473	317
474	318
475	319
476	319
477	320
478	320
479	320
480	321
481	321
482	322
483	323
484	324
485	325
486	325
487	326
488	327
489	328
490	328
491	329
492	330
493	331
494	332
495	332
496	332
497	333
498	334
499	335
500	336
501	337
502	338
503	339
504	340
505	341
506	341
507	342
508	343
509	344
510	345
511	346
512	347
513	347
514	347
515	347
516	347
517	348
518	349
519	349
520	350
521	351
522	351
523	352
524	353
525	353
526	353
527	354
528	355
529	355
530	356
531	357
532	358
533	358
534	359
535	359
536	360
537	361
538	362
539	363
540	364
541	364
542	365
543	366
544	366
545	367
546	368
547	369
548	369
549	370
550	370
551	371
552	372
553	372
554	373
555	373
556	373
557	373
558	374
559	374
560	375
561	375
562	375
563	376
564	377
565	377
566	377
567	378
568	379
569	380
570	380
571	381
572	382
573	383
574	384
575	384
576	385
577	385
578	386
579	386
580	387
581	387
582	387
583	388
584	388
585	389
586	390
587	391
588	391
589	392
590	392
591	392
592	393
593	394
594	394
595	395
596	395
597	395
598	395
599	395
600	396
601	397
602	398
603	398
604	399
605	399
606	399
607	399
608	399
609	400
610	401
611	402
612	403
613	403
614	403
615	403
616	403
617	404
618	404
619	404
620	405
621	406
622	407
623	408
624	408
625	409
626	409
627	410
628	411
629	412
630	412
631	413
632	414
633	414
634	415
635	415
636	416
637	417
638	418
639	418
640	418
641	419
642	420
643	421
644	422
645	423
646	423
647	424
648	425
649	425
650	426
651	426
652	427
653	427
654	427
655	427
656	428
657	429
658	429
659	429
660	430
661	431
662	432
663	432
664	433
665	433
666	433
667	433
668	433
669	433
670	434
671	435
672	436
673	437
674	437
675	438
676	439
677	439
678	440
679	441
680	442
681	442
682	442
683	442
684	442
685	443
686	443
687	444
688	445
689	446
690	446
691	447
692	448
693	449
694	449
695	449
696	449
697	450
698	450
699	450
700	450
701	450
702	450
703	451
704	451
705	452
706	453
707	454
708	455
709	456
710	456
711	457
712	458
713	459
714	460
715	461
716	461
717	462
718	463
719	463
720	464
721	464
722	464
723	464
724	465
725	466
726	467
727	468
728	469
729	470
730	470
731	471
732	472
733	473
734	474
735	475
736	476
737	476
738	476
739	476
740	476
741	477
742	477
743	477
744	478
745	479
746	480
747	480
748	481
749	482
750	483
751	484
752	485
753	485
754	485
755	486
756	486
757	487
758	488
759	489
760	490
761	491
762	491
763	491
764	491
765	492
766	493
767	494
768	495
769	496
770	497
771	498
772	499
773	499
774	500
775	501
776	501
777	501
778	501
779	502
780	503
781	503
782	503
783	503
784	503
785	503
786	503
787	503
788	503
789	504
790	505
791	506
792	506
793	507
794	508
795	508
796	508
797	508
798	509
799	509
800	510
801	510
802	510
803	511
804	512
805	513
806	513
807	513
808	514
809	515
810	515
811	515
812	515
813	516
814	516
815	516
816	517
817	518
818	519
819	520
820	521
821	521
822	522
823	523
824	523
825	524
826	525
827	525
828	525
829	526
830	526
831	526
832	527
833	528
834	528
835	529
836	529
837	529
838	529
839	530
840	530
841	531
842	531
843	531
844	531
845	531
846	531
847	531
848	531
849	532
850	532
851	532
852	533
853	534
854	535
855	535
856	536
857	537
858	538
859	538
860	538
861	538
862	539
863	540
864	541
865	541
866	541
867	541
868	541
869	541
870	541
871	542
872	542
873	542
874	543
875	543
876	544
877	544
878	544
879	544
880	545
881	546
882	547
883	547
884	547
885	547
886	547
887	548
888	548
889	548
890	549
891	549
892	549
893	549
894	549
895	549
896	549
897	550
898	550
899	550
900	551
901	551
902	551
903	552
904	552
905	553
906	554
907	554
908	555
909	556
910	557
911	557
912	558
913	558
914	559
915	560
916	560
917	561
918	561
919	562
920	562
921	562
922	562
923	563
924	564
925	565
926	566
927	566
928	567
929	568
930	569
931	570
932	570
933	571
934	571
935	572
936	572
937	572
938	572
939	573
940	573
941	574
942	575
943	576
944	576
945	577
946	577
947	578
948	578
949	578
950	578
951	578
952	578
953	578
954	578
955	578
956	579
957	580
958	581
959	581
960	582
961	582
962	583
963	584
