N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	7
8	7
9	7
10	7
11	7
12	7
13	8
14	9
15	10
16	11
17	12
18	12
19	13
20	14
21	15
22	16
23	17
24	17
25	18
26	19
27	20
28	21
29	21
30	22
31	23
32	24
33	25
34	26
35	26
36	27
37	28
38	29
39	29
40	30
41	31
42	32
43	32
44	33
45	34
46	35
47	36
48	36
49	37
50	38
51	39
52	39
53	39
54	40
55	41
56	41
57	42
58	43
59	43
60	44
61	44
62	45
63	46
64	46
65	47
66	47
67	48
68	48
69	49
70	50
71	51
72	52
73	53
74	54
75	55
76	56
77	57
78	57
79	58
80	59
81	60
82	61
83	62
84	63
85	63
86	64
87	64
88	65
89	66
90	67
91	68
92	68
93	68
94	68
95	69
96	70
97	71
98	71
99	72
100	73
101	74
102	74
103	74
104	75
105	75
106	75
107	76
108	76
109	76
110	77
111	77
112	78
113	78
114	78
115	78
116	79
117	80
118	80
119	81
120	82
121	82
122	82
123	83
124	84
125	84
126	84
127	85
128	86
129	87
130	88
131	89
132	90
133	90
134	90
135	91
136	91
137	92
138	93
139	94
140	95
141	96
142	97
143	98
144	99
145	100
146	100
147	100
148	100
149	100
150	100
151	100
152	100
153	101
154	102
155	102
156	102
157	103
158	104
159	104
160	105
161	105
162	105
163	105
164	106
165	107
166	107
167	107
168	107
169	107
170	108
171	109
172	110
173	110
174	110
175	111
176	111
177	111
178	111
179	111
180	111
181	111
182	111
183	111
184	111
185	111
186	111
187	112
188	113
189	114
190	115
191	116
192	116
193	116
194	116
195	116
196	116
197	116
198	116
199	116
200	116
201	116
202	117
203	118
204	118
205	118
206	118
207	118
208	118
209	118
210	119
211	119
212	119
213	120
214	120
215	120
216	120
217	121
218	121
219	122
220	122
221	122
222	122
223	122
224	123
225	123
226	124
227	125
228	125
229	126
230	126
231	126
232	126
233	127
234	127
235	127
236	127
237	127
238	128
239	128
240	128
241	128
242	129
243	130
244	130
245	130
246	130
247	130
248	130
249	131
250	132
251	133
252	133
253	134
254	135
255	136
256	136
257	136
258	136
259	137
260	137
261	138
262	139
263	140
264	141
265	141
266	141
267	142
268	143
269	144
270	145
271	145
272	145
273	145
274	145
275	145
276	146
277	146
278	146
279	146
280	146
281	146
282	147
283	148
284	148
285	148
286	149
287	150
288	151
289	151
290	152
291	153
292	154
293	154
294	154
295	155
296	155
297	155
298	156
299	157
300	158
301	158
302	158
303	159
304	160
305	161
306	161
307	161
308	162
309	162
310	163
311	163
312	164
313	165
314	166
315	167
316	168
317	168
318	169
319	170
320	171
321	171
322	171
323	171
324	172
325	172
326	173
327	174
328	174
329	175
330	175
331	175
332	175
333	175
334	175
335	176
336	177
337	178
338	178
339	179
340	180
341	181
342	181
343	182
344	182
345	182
346	182
347	183
348	184
349	184
350	184
351	185
352	186
353	187
354	187
355	188
356	188
357	188
358	188
359	188
360	189
361	190
362	191
363	192
364	193
365	194
366	195
367	195
368	196
369	196
370	196
371	196
372	196
373	196
374	196
375	196
376	196
377	196
378	197
379	197
380	197
381	198
382	198
383	198
384	198
385	199
386	199
387	199
388	199
389	200
390	200
391	201
392	201
393	202
394	203
395	203
396	203
397	203
398	203
399	203
400	203
401	203
402	204
403	204
404	204
405	204
406	205
407	206
408	207
409	207
410	207
411	208
412	208
413	209
414	210
415	211
416	211
417	211
418	212
419	212
420	212
421	213
422	213
423	213
424	213
425	213
426	213
427	214
428	215
429	216
430	216
431	217
432	217
433	218
434	219
435	219
436	220
437	221
438	222
439	222
440	223
441	224
442	224
443	225
444	226
445	227
446	228
447	229
448	230
449	231
450	231
451	232
452	233
453	234
454	235
455	236
456	237
457	237
458	238
459	238
460	238
461	238
462	238
463	238
464	238
465	238
466	239
467	239
468	240
469	241
470	242
471	243
472	244
473	244
474	244
475	244
476	245
477	245
478	245
479	246
480	247
481	247
482	247
483	247
484	248
485	248
486	248
487	248
488	248
489	249
490	249
491	250
492	251
493	252
494	252
495	252
496	253
497	253
498	253
499	254
500	255
501	256
502	256
503	257
504	257
505	258
506	258
507	259
508	259
509	260
510	261
511	261
512	261
513	262
514	262
515	263
516	264
517	265
518	266
519	266
520	266
521	266
522	267
523	268
524	268
525	268
526	269
527	270
528	270
529	270
530	271
531	271
532	272
533	272
534	272
535	272
536	273
537	274
538	275
539	276
540	276
541	276
542	276
543	276
544	276
545	277
546	277
547	278
548	278
549	279
550	279
551	279
552	279
553	280
554	280
555	280
556	281
557	282
558	283
559	283
560	283
561	284
562	285
563	285
564	285
565	286
566	286
567	286
568	287
569	287
570	287
571	288
572	288
573	288
574	289
575	289
576	289
577	290
578	290
579	290
580	290
581	291
582	291
583	292
584	292
585	293
586	293
587	294
588	294
589	294
590	295
591	295
592	296
593	297
594	298
595	299
596	300
597	300
598	301
599	301
600	301
601	301
602	302
603	302
604	302
605	302
606	302
607	302
608	302
609	302
610	302
611	302
612	302
613	303
614	304
615	304
616	304
617	305
618	306
619	306
620	306
621	307
622	307
623	307
624	308
625	308
626	308
627	309
628	309
629	309
630	310
631	310
632	310
633	311
634	312
635	312
636	312
637	313
638	313
639	313
640	314
641	314
642	315
643	315
644	316
645	316
646	316
647	316
648	316
649	316
650	316
651	316
652	316
653	316
654	316
655	316
656	316
657	316
658	316
659	316
660	316
661	316
662	316
663	316
664	316
665	316
666	316
667	316
668	316
669	316
670	316
671	317
672	317
673	317
674	317
675	318
676	318
677	318
678	318
679	318
680	318
681	318
682	319
683	319
684	320
685	320
686	320
687	320
688	320
689	320
690	320
691	320
692	320
693	320
694	321
695	321
696	321
697	321
698	321
699	321
700	321
701	321
702	321
703	321
704	321
705	321
706	321
707	321
708	321
709	321
710	321
711	321
712	321
713	321
714	321
715	321
716	321
717	321
718	321
719	321
720	321
721	321
722	322
723	322
724	323
725	323
726	323
727	323
728	323
729	323
730	324
731	324
732	324
733	325
734	325
735	325
736	325
737	325
738	325
739	325
740	325
741	325
742	325
743	325
744	325
745	325
746	325
747	325
748	325
749	325
750	325
751	325
752	326
753	326
754	327
755	327
756	327
757	327
758	327
759	328
760	329
761	330
762	330
763	330
764	330
765	331
766	331
767	332
768	332
769	332
770	332
771	332
772	332
773	332
774	333
775	334
776	334
777	334
778	334
779	334
780	334
781	334
782	334
783	334
784	334
785	334
786	334
787	334
788	334
789	335
790	335
791	335
792	335
793	335
794	335
795	335
796	335
797	335
798	336
799	337
800	338
801	339
802	340
803	340
804	340
805	340
806	340
807	340
808	340
809	340
810	340
811	340
812	341
813	342
814	343
815	344
816	345
817	345
818	346
819	347
820	348
821	348
822	349
823	349
824	349
825	349
826	350
827	350
828	350
829	350
830	350
831	350
832	351
833	352
834	352
835	353
836	354
837	355
838	355
839	356
840	357
841	358
842	358
843	359
844	360
845	361
846	362
847	363
848	364
849	364
850	364
851	364
852	364
853	364
854	365
855	365
856	366
857	367
858	367
859	368
860	368
861	368
862	368
863	368
864	368
865	368
866	368
867	368
868	368
869	369
870	369
871	369
872	369
873	370
874	371
875	372
876	372
877	373
878	373
879	373
880	374
881	374
882	375
883	375
884	375
885	375
886	376
887	376
888	377
889	378
890	379
891	379
892	379
893	379
894	379
895	379
896	380
897	381
898	381
899	381
900	382
901	383
902	384
903	384
904	384
905	384
906	384
907	385
908	385
909	386
910	387
911	387
912	387
913	387
914	387
915	388
916	388
917	388
918	389
919	389
920	390
921	390
922	390
923	390
924	390
925	390
926	390
927	391
928	391
929	392
930	392
931	392
932	393
933	393
934	393
935	394
936	394
937	394
938	395
939	396
940	397
941	397
942	397
943	397
944	397
945	397
946	397
947	397
948	397
949	398
950	399
951	400
952	400
953	400
954	400
955	401
956	402
957	403
958	404
959	404
960	404
961	404
962	404
963	404
