N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	21
23	22
24	23
25	24
26	25
27	26
28	27
29	28
30	28
31	28
32	29
33	30
34	31
35	32
36	33
37	34
38	35
39	35
40	36
41	37
42	38
43	39
44	39
45	40
46	40
47	41
48	42
49	43
50	44
51	45
52	46
53	47
54	48
55	49
56	50
57	51
58	52
59	53
60	54
61	55
62	56
63	56
64	56
65	56
66	56
67	57
68	58
69	59
70	59
71	60
72	61
73	62
74	63
75	64
76	64
77	64
78	65
79	66
80	66
81	67
82	68
83	68
84	69
85	69
86	70
87	71
88	72
89	72
90	73
91	74
92	75
93	76
94	77
95	78
96	78
97	79
98	80
99	80
100	81
101	81
102	82
103	83
104	83
105	84
106	84
107	84
108	85
109	86
110	86
111	87
112	87
113	88
114	89
115	90
116	91
117	91
118	92
119	93
120	94
121	95
122	96
123	97
124	98
125	99
126	100
127	101
128	101
129	102
130	103
131	104
132	104
133	105
134	105
135	105
136	105
137	106
138	107
139	108
140	109
141	110
142	111
143	112
144	113
145	114
146	115
147	115
148	115
149	116
150	116
151	116
152	116
153	117
154	118
155	119
156	120
157	120
158	120
159	120
160	121
161	122
162	123
163	124
164	125
165	126
166	127
167	127
168	128
169	128
170	129
171	130
172	131
173	132
174	133
175	134
176	135
177	136
178	136
179	137
180	138
181	139
182	140
183	141
184	141
185	141
186	141
187	142
188	143
189	143
190	143
191	144
192	144
193	145
194	146
195	146
196	146
197	147
198	148
199	148
200	149
201	150
202	150
203	150
204	151
205	152
206	153
207	153
208	153
209	153
210	153
211	154
212	155
213	156
214	156
215	157
216	158
217	159
218	160
219	161
220	161
221	162
222	162
223	163
224	164
225	164
226	165
227	166
228	167
229	168
230	169
231	169
232	170
233	171
234	172
235	172
236	173
237	174
238	175
239	176
240	177
241	178
242	179
243	180
244	180
245	181
246	182
247	183
248	183
249	183
250	184
251	185
252	186
253	187
254	187
255	188
256	188
257	188
258	189
259	189
260	190
261	190
262	191
263	191
264	191
265	192
266	193
267	193
268	194
269	194
270	195
271	196
272	197
273	197
274	197
275	197
276	197
277	197
278	198
279	198
280	198
281	198
282	199
283	200
284	200
285	200
286	201
287	201
288	202
289	203
290	203
291	204
292	204
293	205
294	206
295	207
296	208
297	209
298	210
299	211
300	212
301	213
302	214
303	214
304	215
305	216
306	216
307	216
308	217
309	218
310	218
311	219
312	219
313	220
314	221
315	221
316	221
317	222
318	223
319	224
320	225
321	226
322	226
323	226
324	226
325	227
326	228
327	229
328	230
329	231
330	232
331	233
332	234
333	234
334	234
335	235
336	235
337	235
338	235
339	235
340	235
341	235
342	235
343	236
344	237
345	238
346	238
347	238
348	239
349	239
350	240
351	241
352	242
353	243
354	244
355	245
356	246
357	247
358	247
359	247
360	248
361	249
362	249
363	250
364	251
365	251
366	251
367	251
368	252
369	252
370	252
371	253
372	254
373	255
374	255
375	256
376	256
377	256
378	256
379	257
380	258
381	259
382	260
383	261
384	262
385	262
386	263
387	264
388	265
389	265
390	265
391	266
392	266
393	267
394	268
395	269
396	269
397	269
398	270
399	271
400	272
401	272
402	273
403	274
404	275
405	276
406	276
407	277
408	277
409	278
410	279
411	279
412	280
413	281
414	282
415	282
416	283
417	284
418	284
419	284
420	284
421	284
422	285
423	286
424	286
425	286
426	287
427	288
428	289
429	289
430	290
431	291
432	291
433	292
434	292
435	292
436	292
437	292
438	293
439	294
440	295
441	295
442	295
443	296
444	297
445	298
446	298
447	298
448	299
449	299
450	299
451	299
452	299
453	299
454	299
455	299
456	299
457	299
458	300
459	300
460	300
461	300
462	300
463	301
464	301
465	301
466	301
467	302
468	302
469	302
470	302
471	302
472	302
473	302
474	302
475	302
476	302
477	303
478	304
479	305
480	305
481	306
482	306
483	306
484	306
485	306
486	306
487	307
488	307
489	308
490	309
491	309
492	310
493	311
494	312
495	313
496	314
497	314
498	315
499	315
500	315
501	316
502	317
503	318
504	318
505	318
506	318
507	318
508	319
509	319
510	319
511	319
512	319
513	319
514	320
515	320
516	321
517	321
518	321
519	321
520	321
521	321
522	321
523	321
524	321
525	322
526	322
527	323
528	323
529	323
530	323
531	323
532	324
533	324
534	325
535	326
536	327
537	327
538	328
539	329
540	330
541	331
542	331
543	331
544	331
545	331
546	332
547	332
548	333
549	333
550	333
551	333
552	334
553	334
554	334
555	334
556	335
557	336
558	336
559	336
560	336
561	336
562	336
563	336
564	336
565	337
566	337
567	337
568	338
569	338
570	338
571	339
572	339
573	339
574	339
575	339
576	340
577	341
578	341
579	342
580	343
581	343
582	343
583	343
584	343
585	344
586	345
587	346
588	347
589	347
590	347
591	348
592	348
593	349
594	349
595	349
596	349
597	349
598	350
599	351
600	351
601	352
602	352
603	353
604	354
605	355
606	356
607	357
608	357
609	358
610	359
611	359
612	359
613	359
614	359
615	359
616	359
617	360
618	360
619	361
620	362
621	363
622	363
623	364
624	364
625	365
626	366
627	366
628	366
629	367
630	368
631	369
632	370
633	370
634	370
635	370
636	370
637	371
638	372
639	372
640	373
641	374
642	375
643	375
644	376
645	377
646	377
647	378
648	378
649	379
650	380
651	381
652	381
653	382
654	383
655	383
656	384
657	385
658	386
659	386
660	387
661	388
662	388
663	389
664	390
665	391
666	392
667	393
668	393
669	394
670	394
671	394
672	394
673	394
674	395
675	396
676	396
677	397
678	398
679	399
680	399
681	399
682	399
683	400
684	400
685	401
686	401
687	402
688	402
689	402
690	402
691	403
692	404
693	404
694	405
695	405
696	406
697	406
698	407
699	407
700	407
701	408
702	409
703	410
704	410
705	410
706	410
707	411
708	411
709	412
710	412
711	413
712	414
713	415
714	415
715	415
716	416
717	416
718	416
719	417
720	417
721	417
722	418
723	418
724	419
725	420
726	421
727	421
728	421
729	422
730	422
731	422
732	422
733	423
734	423
735	424
736	425
737	426
738	427
739	428
740	429
741	430
742	431
743	432
744	433
745	434
746	434
747	435
748	436
749	437
750	438
751	439
752	439
753	440
754	441
755	441
756	441
757	442
758	442
759	443
760	444
761	445
762	446
763	447
764	448
765	449
766	449
767	449
768	450
769	450
770	450
771	451
772	451
773	452
774	452
775	453
776	453
777	453
778	454
779	455
780	456
781	457
782	457
783	457
784	457
785	457
786	458
787	458
788	459
789	460
790	461
791	461
792	461
793	462
794	463
795	463
796	464
797	464
798	465
799	465
800	465
801	466
802	467
803	468
804	468
805	468
806	469
807	469
808	470
809	471
810	472
811	473
812	474
813	475
814	475
815	475
816	476
817	476
818	476
819	476
820	476
821	477
822	478
823	479
824	479
825	480
826	481
827	481
828	481
829	481
830	481
831	481
832	481
833	482
834	483
835	483
836	483
837	484
838	484
839	485
840	486
841	486
842	486
843	487
844	487
845	488
846	489
847	489
848	489
849	489
850	490
851	491
852	491
853	491
854	492
855	493
856	494
857	495
858	495
859	495
860	495
861	496
862	496
863	497
864	498
865	498
866	499
867	499
868	500
869	500
870	501
871	501
872	501
873	502
874	502
875	502
876	503
877	503
878	503
879	504
880	504
881	504
882	504
883	505
884	506
885	507
886	507
887	507
888	507
889	507
890	508
891	509
892	509
893	510
894	510
895	511
896	512
897	513
898	514
899	514
900	514
901	515
902	515
903	515
904	516
905	517
906	517
907	517
908	517
909	517
910	517
911	518
912	518
913	518
914	518
915	518
916	518
917	518
918	519
919	519
920	519
921	519
922	519
923	519
924	519
925	519
926	520
927	521
928	521
929	522
930	523
931	524
932	524
933	524
934	524
935	524
936	525
937	526
938	526
939	526
940	526
941	526
942	526
943	526
944	527
945	528
946	529
947	529
948	530
949	531
950	531
951	532
952	532
953	532
954	532
955	532
956	532
957	532
958	533
959	534
960	534
961	535
962	536
963	536
