N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	13
15	14
16	15
17	16
18	17
19	17
20	18
21	19
22	20
23	21
24	22
25	22
26	23
27	24
28	25
29	25
30	26
31	27
32	27
33	28
34	28
35	29
36	30
37	31
38	31
39	32
40	33
41	34
42	34
43	35
44	36
45	37
46	38
47	39
48	40
49	41
50	41
51	42
52	43
53	44
54	44
55	45
56	46
57	47
58	47
59	48
60	49
61	49
62	50
63	50
64	51
65	52
66	53
67	54
68	54
69	54
70	55
71	56
72	56
73	57
74	58
75	59
76	60
77	61
78	62
79	62
80	63
81	64
82	64
83	65
84	66
85	67
86	68
87	69
88	70
89	71
90	72
91	73
92	74
93	74
94	75
95	76
96	77
97	77
98	78
99	78
100	78
101	79
102	79
103	80
104	81
105	82
106	82
107	82
108	82
109	83
110	83
111	83
112	83
113	84
114	84
115	85
116	86
117	86
118	87
119	88
120	88
121	89
122	90
123	91
124	91
125	92
126	92
127	93
128	94
129	95
130	95
131	96
132	97
133	97
134	97
135	97
136	98
137	99
138	99
139	100
140	100
141	101
142	102
143	102
144	102
145	102
146	103
147	104
148	105
149	106
150	106
151	107
152	108
153	108
154	109
155	109
156	109
157	109
158	110
159	111
160	112
161	113
162	113
163	113
164	113
165	113
166	113
167	113
168	114
169	114
170	114
171	115
172	115
173	116
174	117
175	118
176	119
177	119
178	120
179	121
180	122
181	123
182	123
183	123
184	124
185	125
186	126
187	126
188	127
189	128
190	129
191	130
192	130
193	131
194	132
195	133
196	134
197	134
198	135
199	136
200	137
201	137
202	138
203	139
204	139
205	139
206	140
207	141
208	142
209	143
210	143
211	144
212	145
213	145
214	146
215	147
216	148
217	149
218	149
219	149
220	149
221	150
222	150
223	150
224	150
225	150
226	151
227	152
228	152
229	153
230	153
231	153
232	154
233	155
234	156
235	156
236	157
237	158
238	158
239	159
240	159
241	160
242	161
243	162
244	163
245	163
246	164
247	164
248	165
249	166
250	167
251	167
252	167
253	168
254	168
255	168
256	169
257	170
258	171
259	171
260	172
261	173
262	173
263	173
264	173
265	174
266	175
267	176
268	177
269	177
270	177
271	178
272	178
273	179
274	179
275	179
276	179
277	180
278	181
279	182
280	182
281	183
282	184
283	185
284	185
285	186
286	186
287	187
288	187
289	187
290	187
291	187
292	187
293	187
294	188
295	188
296	188
297	188
298	189
299	189
300	189
301	189
302	189
303	190
304	191
305	192
306	192
307	193
308	194
309	195
310	196
311	196
312	196
313	196
314	196
315	197
316	197
317	198
318	199
319	199
320	200
321	201
322	202
323	202
324	202
325	202
326	202
327	202
328	202
329	203
330	204
331	205
332	206
333	206
334	206
335	206
336	206
337	207
338	207
339	207
340	207
341	207
342	208
343	208
344	208
345	209
346	210
347	211
348	212
349	213
350	213
351	214
352	214
353	215
354	215
355	216
356	216
357	217
358	218
359	218
360	219
361	220
362	220
363	220
364	221
365	221
366	222
367	223
368	223
369	223
370	223
371	223
372	224
373	224
374	224
375	225
376	226
377	226
378	226
379	227
380	227
381	227
382	228
383	229
384	229
385	229
386	230
387	230
388	230
389	230
390	230
391	231
392	232
393	233
394	234
395	235
396	235
397	236
398	236
399	236
400	236
401	236
402	236
403	237
404	237
405	238
406	239
407	239
408	239
409	240
410	241
411	241
412	242
413	243
414	243
415	243
416	243
417	244
418	244
419	244
420	244
421	245
422	245
423	246
424	246
425	246
426	247
427	247
428	248
429	249
430	250
431	250
432	250
433	251
434	252
435	253
436	254
437	254
438	254
439	254
440	255
441	256
442	256
443	256
444	257
445	257
446	257
447	258
448	259
449	260
450	260
451	260
452	261
453	261
454	261
455	262
456	263
457	263
458	264
459	265
460	266
461	266
462	266
463	267
464	267
465	267
466	268
467	268
468	268
469	268
470	268
471	269
472	269
473	270
474	271
475	272
476	272
477	272
478	273
479	273
480	273
481	273
482	273
483	274
484	275
485	276
486	276
487	277
488	277
489	277
490	278
491	278
492	278
493	279
494	280
495	281
496	282
497	283
498	284
499	284
500	284
501	285
502	285
503	286
504	287
505	287
506	287
507	287
508	287
509	288
510	288
511	289
512	289
513	289
514	290
515	290
516	291
517	292
518	292
519	293
520	293
521	294
522	294
523	294
524	294
525	294
526	295
527	296
528	297
529	298
530	299
531	300
532	301
533	302
534	303
535	303
536	303
537	303
538	304
539	305
540	305
541	305
542	305
543	306
544	306
545	306
546	306
547	307
548	308
549	308
550	309
551	310
552	311
553	311
554	312
555	313
556	314
557	315
558	316
559	316
560	316
561	317
562	317
563	317
564	317
565	317
566	318
567	319
568	319
569	319
570	319
571	319
572	319
573	320
574	321
575	322
576	323
577	323
578	323
579	323
580	324
581	324
582	325
583	325
584	325
585	326
586	327
587	327
588	328
589	328
590	328
591	329
592	330
593	330
594	330
595	331
596	331
597	331
598	332
599	333
600	333
601	334
602	335
603	336
604	337
605	337
606	337
607	338
608	339
609	340
610	341
611	341
612	342
613	343
614	344
615	344
616	345
617	346
618	346
619	346
620	347
621	347
622	347
623	347
624	347
625	348
626	349
627	349
628	350
629	351
630	351
631	352
632	352
633	352
634	352
635	352
636	353
637	353
638	354
639	355
640	355
641	356
642	357
643	358
644	359
645	360
646	360
647	361
648	362
649	363
650	363
651	364
652	365
653	365
654	365
655	365
656	365
657	365
658	365
659	365
660	365
661	365
662	366
663	366
664	367
665	368
666	369
667	370
668	371
669	372
670	372
671	372
672	372
673	372
674	372
675	372
676	373
677	373
678	373
679	373
680	373
681	373
682	373
683	373
684	373
685	373
686	373
687	373
688	373
689	373
690	374
691	374
692	374
693	375
694	376
695	377
696	378
697	379
698	379
699	379
700	379
701	379
702	380
703	381
704	381
705	382
706	382
707	382
708	382
709	383
710	383
711	384
712	384
713	384
714	384
715	385
716	385
717	385
718	385
719	386
720	386
721	387
722	388
723	389
724	390
725	391
726	391
727	392
728	392
729	393
730	394
731	395
732	396
733	396
734	397
735	398
736	399
737	399
738	400
739	401
740	402
741	403
742	404
743	405
744	406
745	406
746	407
747	408
748	409
749	410
750	411
751	412
752	412
753	413
754	413
755	413
756	413
757	413
758	413
759	413
760	413
761	413
762	413
763	413
764	413
765	413
766	413
767	414
768	414
769	414
770	414
771	415
772	415
773	415
774	415
775	416
776	417
777	418
778	418
779	418
780	418
781	418
782	418
783	419
784	419
785	420
786	421
787	421
788	421
789	422
790	422
791	423
792	424
793	425
794	425
795	425
796	425
797	425
798	426
799	427
800	427
801	428
802	429
803	429
804	430
805	431
806	432
807	432
808	432
809	432
810	433
811	433
812	433
813	433
814	434
815	435
816	435
817	436
818	436
819	437
820	438
821	438
822	438
823	438
824	438
825	439
826	439
827	440
828	441
829	441
830	442
831	443
832	443
833	443
834	443
835	444
836	445
837	446
838	447
839	448
840	448
841	449
842	449
843	449
844	450
845	450
846	451
847	452
848	452
849	453
850	454
851	454
852	454
853	454
854	455
855	456
856	456
857	456
858	456
859	456
860	457
861	458
862	459
863	459
864	460
865	460
866	460
867	460
868	460
869	461
870	461
871	461
872	461
873	462
874	462
875	462
876	462
877	463
878	464
879	464
880	465
881	466
882	467
883	467
884	468
885	468
886	469
887	470
888	470
889	471
890	471
891	472
892	472
893	472
894	472
895	472
896	473
897	474
898	475
899	475
900	475
901	475
902	476
903	477
904	477
905	477
906	478
907	478
908	478
909	478
910	479
911	479
912	480
913	480
914	480
915	480
916	480
917	480
918	480
919	480
920	480
921	480
922	481
923	482
924	483
925	483
926	483
927	484
928	484
929	484
930	484
931	485
932	485
933	485
934	486
935	486
936	486
937	486
938	487
939	487
940	487
941	488
942	488
943	488
944	488
945	489
946	489
947	490
948	490
949	490
950	490
951	490
952	490
953	490
954	491
955	492
956	493
957	493
958	494
959	495
960	496
961	497
962	497
963	498
