N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	37
37	38
38	39
39	40
40	41
41	42
42	43
43	44
44	45
45	46
46	47
47	48
48	49
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	78
80	79
81	80
82	81
83	82
84	83
85	83
86	84
87	85
88	86
89	86
90	87
91	88
92	89
93	90
94	91
95	92
96	93
97	94
98	95
99	96
100	96
101	97
102	97
103	98
104	99
105	100
106	101
107	102
108	103
109	103
110	103
111	103
112	104
113	104
114	104
115	105
116	105
117	106
118	107
119	107
120	107
121	108
122	108
123	109
124	109
125	110
126	111
127	112
128	112
129	113
130	114
131	115
132	115
133	115
134	116
135	117
136	118
137	118
138	118
139	119
140	120
141	121
142	122
143	123
144	124
145	125
146	126
147	127
148	127
149	128
150	128
151	128
152	129
153	129
154	130
155	130
156	131
157	131
158	131
159	132
160	133
161	133
162	133
163	134
164	135
165	136
166	136
167	137
168	138
169	139
170	140
171	140
172	140
173	141
174	141
175	142
176	143
177	143
178	143
179	144
180	145
181	146
182	147
183	148
184	149
185	150
186	150
187	150
188	150
189	151
190	151
191	152
192	153
193	154
194	155
195	156
196	157
197	157
198	158
199	159
200	160
201	160
202	160
203	160
204	161
205	162
206	163
207	163
208	164
209	165
210	165
211	166
212	167
213	168
214	169
215	170
216	171
217	172
218	172
219	173
220	174
221	174
222	175
223	175
224	176
225	177
226	178
227	179
228	180
229	180
230	181
231	182
232	183
233	184
234	184
235	184
236	185
237	186
238	186
239	187
240	188
241	189
242	190
243	191
244	192
245	193
246	193
247	194
248	195
249	196
250	197
251	198
252	199
253	199
254	199
255	200
256	201
257	201
258	201
259	202
260	203
261	204
262	205
263	206
264	207
265	208
266	208
267	209
268	210
269	210
270	211
271	212
272	213
273	214
274	215
275	216
276	216
277	217
278	217
279	217
280	218
281	219
282	219
283	220
284	221
285	222
286	223
287	224
288	225
289	226
290	227
291	227
292	228
293	229
294	229
295	229
296	230
297	231
298	232
299	233
300	234
301	235
302	235
303	236
304	237
305	237
306	238
307	238
308	238
309	239
310	239
311	239
312	240
313	241
314	242
315	243
316	244
317	245
318	245
319	245
320	245
321	246
322	247
323	248
324	249
325	250
326	250
327	250
328	251
329	252
330	253
331	253
332	254
333	255
334	256
335	257
336	258
337	259
338	260
339	260
340	261
341	262
342	262
343	263
344	264
345	265
346	266
347	267
348	268
349	269
350	270
351	270
352	270
353	271
354	272
355	272
356	272
357	273
358	274
359	275
360	275
361	276
362	277
363	278
364	279
365	279
366	280
367	281
368	281
369	281
370	281
371	281
372	281
373	281
374	282
375	283
376	283
377	283
378	283
379	283
380	284
381	285
382	285
383	286
384	287
385	287
386	287
387	288
388	288
389	288
390	289
391	290
392	291
393	291
394	292
395	293
396	294
397	295
398	295
399	296
400	297
401	297
402	297
403	298
404	299
405	300
406	301
407	301
408	301
409	301
410	301
411	301
412	301
413	301
414	302
415	302
416	303
417	304
418	305
419	305
420	305
421	306
422	306
423	307
424	308
425	309
426	310
427	311
428	312
429	313
430	314
431	314
432	314
433	315
434	316
435	317
436	318
437	318
438	318
439	319
440	320
441	321
442	321
443	321
444	322
445	322
446	322
447	323
448	323
449	324
450	325
451	326
452	327
453	327
454	328
455	328
456	329
457	330
458	331
459	332
460	333
461	334
462	335
463	336
464	336
465	336
466	337
467	338
468	339
469	339
470	339
471	339
472	340
473	340
474	341
475	342
476	343
477	343
478	344
479	345
480	345
481	346
482	346
483	346
484	347
485	348
486	349
487	350
488	350
489	351
490	352
491	352
492	353
493	353
494	354
495	354
496	354
497	354
498	354
499	355
500	355
501	355
502	355
503	356
504	357
505	357
506	357
507	357
508	357
509	357
510	357
511	357
512	357
513	357
514	357
515	358
516	358
517	359
518	360
519	361
520	362
521	362
522	362
523	363
524	364
525	364
526	365
527	365
528	366
529	366
530	367
531	367
532	367
533	368
534	369
535	369
536	370
537	370
538	370
539	371
540	372
541	373
542	374
543	375
544	375
545	376
546	376
547	377
548	377
549	377
550	378
551	378
552	378
553	379
554	380
555	381
556	382
557	382
558	383
559	383
560	383
561	383
562	383
563	384
564	384
565	385
566	385
567	385
568	385
569	386
570	387
571	387
572	387
573	387
574	387
575	388
576	389
577	390
578	390
579	390
580	390
581	391
582	392
583	393
584	394
585	394
586	395
587	395
588	396
589	397
590	397
591	398
592	398
593	398
594	398
595	399
596	399
597	400
598	400
599	401
600	401
601	402
602	402
603	403
604	404
605	405
606	406
607	407
608	408
609	409
610	410
611	410
612	410
613	410
614	410
615	410
616	411
617	411
618	411
619	411
620	411
621	412
622	413
623	414
624	415
625	416
626	416
627	417
628	418
629	419
630	419
631	420
632	421
633	421
634	422
635	423
636	423
637	424
638	424
639	425
640	426
641	427
642	428
643	429
644	430
645	430
646	431
647	431
648	431
649	432
650	432
651	433
652	433
653	434
654	434
655	435
656	435
657	435
658	435
659	436
660	437
661	438
662	439
663	439
664	440
665	440
666	440
667	441
668	442
669	443
670	443
671	443
672	444
673	445
674	445
675	446
676	446
677	447
678	447
679	447
680	448
681	448
682	448
683	449
684	450
685	451
686	452
687	453
688	454
689	455
690	456
691	457
692	457
693	458
694	458
695	458
696	458
697	458
698	458
699	458
700	459
701	459
702	460
703	461
704	462
705	462
706	462
707	462
708	463
709	463
710	463
711	463
712	463
713	464
714	465
715	466
716	466
717	466
718	466
719	466
720	467
721	468
722	468
723	468
724	469
725	469
726	470
727	470
728	470
729	470
730	471
731	472
732	473
733	473
734	474
735	475
736	475
737	476
738	477
739	478
740	479
741	479
742	480
743	481
744	481
745	481
746	481
747	481
748	482
749	482
750	483
751	484
752	485
753	486
754	487
755	487
756	487
757	487
758	487
759	488
760	488
761	489
762	490
763	491
764	491
765	492
766	493
767	494
768	495
769	496
770	497
771	497
772	497
773	497
774	498
775	498
776	498
777	498
778	499
779	500
780	501
781	502
782	503
783	503
784	504
785	504
786	505
787	506
788	506
789	507
790	508
791	509
792	510
793	510
794	511
795	511
796	511
797	511
798	512
799	513
800	514
801	514
802	515
803	516
804	516
805	517
806	518
807	519
808	520
809	520
810	521
811	521
812	522
813	523
814	524
815	524
816	525
817	526
818	527
819	527
820	527
821	527
822	527
823	527
824	528
825	528
826	529
827	530
828	530
829	531
830	532
831	532
832	533
833	534
834	534
835	535
836	536
837	537
838	538
839	539
840	539
841	539
842	540
843	541
844	541
845	542
846	542
847	542
848	542
849	543
850	544
851	544
852	544
853	544
854	545
855	546
856	546
857	546
858	547
859	548
860	549
861	549
862	550
863	550
864	551
865	552
866	552
867	552
868	553
869	554
870	555
871	555
872	556
873	557
874	557
875	557
876	557
877	557
878	557
879	558
880	558
881	558
882	559
883	560
884	560
885	560
886	560
887	561
888	561
889	561
890	561
891	561
892	562
893	562
894	562
895	562
896	563
897	564
898	564
899	565
900	566
901	566
902	567
903	568
904	569
905	569
906	569
907	569
908	569
909	569
910	569
911	569
912	569
913	569
914	569
915	569
916	569
917	570
918	570
919	571
920	571
921	571
922	572
923	573
924	574
925	575
926	575
927	575
928	576
929	576
930	577
931	577
932	578
933	578
934	579
935	580
936	580
937	580
938	581
939	582
940	583
941	583
942	583
943	584
944	585
945	585
946	585
947	585
948	585
949	585
950	585
951	586
952	586
953	587
954	588
955	588
956	588
957	588
958	588
959	589
960	589
961	589
962	590
963	591
