N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	8
9	8
10	9
11	10
12	11
13	12
14	13
15	14
16	15
17	16
18	17
19	18
20	19
21	20
22	21
23	22
24	23
25	24
26	25
27	26
28	27
29	28
30	29
31	30
32	30
33	31
34	32
35	33
36	34
37	35
38	36
39	37
40	38
41	39
42	40
43	41
44	42
45	43
46	44
47	45
48	46
49	47
50	48
51	49
52	50
53	51
54	52
55	53
56	54
57	54
58	55
59	56
60	57
61	58
62	59
63	60
64	61
65	62
66	63
67	64
68	65
69	66
70	67
71	68
72	69
73	70
74	71
75	72
76	73
77	74
78	75
79	76
80	77
81	78
82	78
83	78
84	78
85	78
86	79
87	80
88	81
89	82
90	83
91	83
92	84
93	85
94	86
95	87
96	88
97	88
98	88
99	89
100	89
101	90
102	91
103	92
104	93
105	94
106	94
107	95
108	96
109	97
110	97
111	98
112	98
113	98
114	99
115	100
116	101
117	102
118	102
119	103
120	104
121	105
122	106
123	107
124	108
125	109
126	110
127	111
128	112
129	112
130	113
131	114
132	115
133	115
134	115
135	116
136	116
137	117
138	117
139	117
140	118
141	119
142	120
143	121
144	121
145	122
146	123
147	124
148	125
149	126
150	127
151	128
152	129
153	130
154	131
155	132
156	133
157	134
158	134
159	135
160	136
161	137
162	138
163	139
164	139
165	140
166	141
167	141
168	141
169	141
170	142
171	143
172	144
173	145
174	145
175	145
176	145
177	146
178	147
179	147
180	148
181	149
182	150
183	151
184	152
185	152
186	153
187	154
188	154
189	155
190	155
191	155
192	156
193	156
194	157
195	158
196	159
197	159
198	160
199	161
200	162
201	162
202	163
203	164
204	165
205	165
206	166
207	167
208	168
209	169
210	170
211	171
212	172
213	173
214	174
215	175
216	175
217	176
218	177
219	178
220	178
221	179
222	180
223	180
224	181
225	182
226	183
227	184
228	185
229	186
230	187
231	187
232	188
233	189
234	190
235	191
236	192
237	193
238	194
239	195
240	196
241	196
242	197
243	198
244	198
245	198
246	199
247	200
248	201
249	202
250	202
251	202
252	203
253	204
254	204
255	205
256	205
257	205
258	206
259	207
260	208
261	208
262	209
263	210
264	211
265	211
266	211
267	212
268	213
269	214
270	215
271	215
272	215
273	215
274	216
275	217
276	217
277	218
278	219
279	219
280	219
281	219
282	220
283	221
284	222
285	223
286	224
287	225
288	225
289	226
290	227
291	227
292	227
293	228
294	228
295	228
296	228
297	228
298	228
299	228
300	228
301	229
302	229
303	230
304	230
305	231
306	231
307	232
308	232
309	232
310	232
311	233
312	234
313	235
314	235
315	235
316	235
317	235
318	235
319	235
320	235
321	236
322	237
323	237
324	238
325	239
326	239
327	239
328	239
329	240
330	240
331	240
332	241
333	241
334	241
335	242
336	243
337	243
338	244
339	245
340	245
341	246
342	246
343	247
344	247
345	247
346	247
347	247
348	247
349	248
350	249
351	249
352	249
353	249
354	250
355	251
356	251
357	251
358	251
359	251
360	252
361	253
362	253
363	253
364	253
365	254
366	255
367	256
368	257
369	258
370	259
371	260
372	260
373	261
374	261
375	262
376	263
377	263
378	263
379	264
380	264
381	264
382	264
383	264
384	265
385	266
386	267
387	267
388	268
389	269
390	270
391	270
392	270
393	270
394	270
395	271
396	271
397	272
398	273
399	273
400	273
401	274
402	274
403	275
404	276
405	277
406	278
407	279
408	279
409	279
410	279
411	279
412	279
413	279
414	280
415	280
416	280
417	281
418	281
419	282
420	282
421	282
422	282
423	283
424	283
425	284
426	285
427	285
428	286
429	287
430	287
431	287
432	288
433	288
434	288
435	289
436	290
437	291
438	291
439	292
440	293
441	294
442	294
443	294
444	295
445	295
446	295
447	296
448	296
449	297
450	298
451	298
452	298
453	298
454	298
455	298
456	298
457	299
458	300
459	300
460	301
461	302
462	303
463	304
464	305
465	306
466	306
467	306
468	306
469	306
470	307
471	308
472	308
473	308
474	309
475	309
476	310
477	310
478	310
479	311
480	312
481	312
482	312
483	313
484	314
485	315
486	315
487	316
488	317
489	318
490	319
491	319
492	320
493	320
494	321
495	322
496	323
497	323
498	323
499	324
500	324
501	325
502	325
503	326
504	327
505	327
506	328
507	329
508	329
509	329
510	329
511	329
512	329
513	329
514	330
515	331
516	332
517	333
518	334
519	334
520	335
521	335
522	336
523	337
524	338
525	338
526	338
527	339
528	339
529	340
530	340
531	340
532	341
533	342
534	343
535	344
536	345
537	346
538	347
539	347
540	347
541	347
542	347
543	347
544	348
545	348
546	349
547	349
548	349
549	349
550	350
551	351
552	351
553	351
554	351
555	351
556	351
557	351
558	351
559	352
560	352
561	353
562	354
563	355
564	355
565	356
566	357
567	357
568	358
569	359
570	360
571	360
572	361
573	362
574	363
575	363
576	364
577	364
578	364
579	364
580	365
581	366
582	366
583	366
584	366
585	366
586	367
587	367
588	368
589	369
590	369
591	369
592	370
593	370
594	370
595	371
596	371
597	372
598	372
599	372
600	373
601	373
602	373
603	373
604	374
605	374
606	375
607	376
608	377
609	377
610	377
611	378
612	378
613	379
614	379
615	379
616	380
617	380
618	380
619	381
620	382
621	383
622	383
623	384
624	384
625	384
626	384
627	385
628	385
629	385
630	385
631	386
632	387
633	388
634	389
635	390
636	391
637	392
638	392
639	392
640	393
641	393
642	393
643	393
644	393
645	393
646	394
647	395
648	395
649	396
650	396
651	396
652	396
653	396
654	397
655	397
656	397
657	398
658	398
659	398
660	398
661	398
662	398
663	398
664	398
665	398
666	398
667	398
668	398
669	398
670	398
671	398
672	398
673	398
674	398
675	398
676	398
677	398
678	398
679	398
680	398
681	398
682	398
683	398
684	398
685	398
686	398
687	398
688	398
689	398
690	399
691	399
692	400
693	401
694	401
695	402
696	402
697	402
698	403
699	404
700	404
701	405
702	406
703	407
704	408
705	408
706	409
707	409
708	410
709	410
710	410
711	411
712	412
713	413
714	413
715	413
716	413
717	413
718	414
719	414
720	415
721	415
722	415
723	416
724	417
725	418
726	418
727	418
728	418
729	418
730	419
731	419
732	419
733	420
734	421
735	421
736	421
737	421
738	421
739	421
740	421
741	422
742	422
743	423
744	424
745	424
746	424
747	424
748	424
749	424
750	424
751	424
752	424
753	424
754	424
755	424
756	424
757	424
758	425
759	425
760	426
761	427
762	428
763	429
764	430
765	430
766	431
767	432
768	433
769	433
770	433
771	433
772	434
773	435
774	435
775	435
776	435
777	435
778	435
779	435
780	436
781	437
782	438
783	438
784	438
785	438
786	438
787	438
788	438
789	438
790	438
791	438
792	438
793	438
794	438
795	438
796	438
797	438
798	438
799	438
800	438
801	438
802	438
803	438
804	438
805	438
806	438
807	438
808	438
809	439
810	440
811	441
812	442
813	443
814	443
815	443
816	443
817	443
818	444
819	444
820	445
821	446
822	447
823	448
824	449
825	450
826	451
827	452
828	453
829	453
830	454
831	454
832	455
833	456
834	456
835	457
836	458
837	459
838	459
839	459
840	459
841	459
842	459
843	459
844	459
845	459
846	460
847	460
848	460
849	461
850	462
851	462
852	463
853	463
854	464
855	464
856	464
857	464
858	465
859	466
860	467
861	468
862	468
863	469
864	469
865	470
866	470
867	470
868	471
869	471
870	471
871	471
872	471
873	471
874	471
875	471
876	471
877	471
878	471
879	471
880	471
881	471
882	472
883	473
884	473
885	474
886	475
887	476
888	476
889	476
890	477
891	478
892	479
893	480
894	481
895	481
896	481
897	482
898	482
899	483
900	483
901	484
902	485
903	486
904	486
905	487
906	488
907	489
908	489
909	489
910	489
911	489
912	489
913	489
914	489
915	490
916	490
917	491
918	492
919	493
920	494
921	494
922	494
923	494
924	494
925	494
926	494
927	494
928	494
929	494
930	494
931	494
932	494
933	494
934	494
935	494
936	494
937	494
938	494
939	494
940	494
941	494
942	494
943	494
944	494
945	494
946	494
947	494
948	494
949	494
950	494
951	495
952	495
953	496
954	497
955	497
956	498
957	499
958	499
959	499
960	500
961	500
962	500
963	501
