N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	43
45	44
46	45
47	46
48	47
49	48
50	49
51	50
52	51
53	52
54	53
55	54
56	55
57	56
58	57
59	58
60	59
61	60
62	61
63	62
64	62
65	62
66	63
67	64
68	65
69	66
70	67
71	68
72	69
73	70
74	71
75	72
76	73
77	74
78	75
79	76
80	76
81	77
82	78
83	79
84	79
85	80
86	81
87	82
88	83
89	84
90	85
91	85
92	86
93	87
94	88
95	89
96	90
97	91
98	92
99	92
100	93
101	93
102	94
103	95
104	96
105	97
106	98
107	99
108	99
109	100
110	100
111	101
112	102
113	103
114	103
115	103
116	103
117	104
118	105
119	106
120	107
121	108
122	109
123	110
124	110
125	110
126	111
127	112
128	113
129	114
130	115
131	116
132	117
133	118
134	119
135	119
136	120
137	121
138	121
139	121
140	121
141	121
142	122
143	123
144	124
145	125
146	126
147	127
148	128
149	128
150	129
151	130
152	130
153	131
154	132
155	133
156	133
157	133
158	134
159	135
160	136
161	137
162	137
163	138
164	139
165	140
166	141
167	142
168	143
169	143
170	144
171	145
172	146
173	146
174	146
175	146
176	147
177	148
178	149
179	149
180	150
181	150
182	151
183	152
184	153
185	154
186	154
187	155
188	155
189	155
190	156
191	157
192	158
193	159
194	160
195	161
196	162
197	163
198	164
199	165
200	165
201	166
202	167
203	167
204	168
205	169
206	170
207	170
208	171
209	172
210	173
211	174
212	174
213	174
214	175
215	176
216	177
217	177
218	177
219	178
220	179
221	179
222	180
223	181
224	182
225	183
226	184
227	184
228	185
229	186
230	187
231	187
232	188
233	188
234	189
235	189
236	190
237	191
238	192
239	192
240	193
241	194
242	195
243	196
244	197
245	198
246	199
247	200
248	200
249	201
250	202
251	203
252	204
253	205
254	205
255	206
256	207
257	207
258	208
259	209
260	210
261	211
262	212
263	213
264	214
265	214
266	215
267	215
268	215
269	216
270	217
271	218
272	219
273	220
274	221
275	222
276	223
277	224
278	225
279	226
280	227
281	227
282	228
283	229
284	230
285	231
286	232
287	233
288	233
289	233
290	233
291	234
292	235
293	235
294	236
295	237
296	237
297	237
298	238
299	239
300	240
301	240
302	240
303	240
304	240
305	241
306	242
307	242
308	243
309	244
310	244
311	245
312	246
313	246
314	247
315	248
316	249
317	250
318	251
319	252
320	252
321	252
322	252
323	253
324	253
325	254
326	254
327	254
328	254
329	254
330	255
331	255
332	256
333	257
334	258
335	259
336	260
337	261
338	262
339	263
340	263
341	263
342	263
343	263
344	263
345	264
346	265
347	266
348	267
349	268
350	269
351	269
352	270
353	270
354	271
355	272
356	273
357	273
358	273
359	273
360	273
361	274
362	275
363	276
364	277
365	277
366	278
367	278
368	279
369	280
370	280
371	281
372	281
373	282
374	283
375	283
376	283
377	284
378	285
379	286
380	286
381	287
382	288
383	289
384	290
385	290
386	291
387	292
388	292
389	292
390	292
391	293
392	294
393	294
394	294
395	295
396	296
397	297
398	298
399	299
400	299
401	300
402	300
403	301
404	302
405	302
406	303
407	303
408	304
409	305
410	306
411	307
412	308
413	308
414	308
415	309
416	309
417	309
418	310
419	310
420	311
421	312
422	313
423	313
424	314
425	314
426	314
427	315
428	315
429	316
430	317
431	318
432	318
433	319
434	320
435	321
436	322
437	322
438	322
439	323
440	324
441	324
442	324
443	325
444	326
445	327
446	327
447	327
448	327
449	328
450	329
451	329
452	330
453	331
454	331
455	331
456	331
457	331
458	332
459	333
460	333
461	333
462	333
463	334
464	334
465	335
466	336
467	337
468	338
469	339
470	340
471	340
472	341
473	342
474	343
475	343
476	343
477	343
478	343
479	343
480	343
481	343
482	344
483	345
484	346
485	347
486	347
487	348
488	348
489	348
490	348
491	348
492	348
493	349
494	350
495	350
496	350
497	351
498	351
499	351
500	351
501	351
502	351
503	352
504	353
505	353
506	354
507	354
508	354
509	354
510	354
511	355
512	355
513	356
514	357
515	358
516	359
517	359
518	360
519	361
520	362
521	363
522	364
523	364
524	364
525	365
526	365
527	366
528	367
529	367
530	368
531	368
532	369
533	369
534	370
535	370
536	370
537	371
538	372
539	372
540	372
541	373
542	373
543	373
544	374
545	375
546	375
547	375
548	375
549	375
550	375
551	375
552	375
553	375
554	376
555	377
556	377
557	377
558	377
559	378
560	378
561	379
562	379
563	379
564	379
565	380
566	380
567	381
568	382
569	382
570	383
571	384
572	384
573	385
574	385
575	385
576	385
577	386
578	386
579	386
580	386
581	386
582	386
583	387
584	388
585	389
586	390
587	390
588	391
589	392
590	393
591	393
592	393
593	394
594	394
595	394
596	394
597	395
598	395
599	395
600	396
601	396
602	396
603	396
604	397
605	397
606	397
607	398
608	398
609	399
610	400
611	400
612	401
613	402
614	402
615	402
616	403
617	403
618	403
619	404
620	405
621	406
622	406
623	406
624	406
625	407
626	408
627	408
628	409
629	409
630	409
631	410
632	411
633	411
634	412
635	413
636	414
637	414
638	414
639	414
640	414
641	415
642	415
643	416
644	417
645	417
646	417
647	418
648	419
649	420
650	420
651	420
652	421
653	421
654	421
655	422
656	422
657	422
658	423
659	424
660	424
661	424
662	424
663	425
664	425
665	425
666	426
667	427
668	427
669	427
670	428
671	428
672	428
673	429
674	429
675	429
676	430
677	431
678	432
679	432
680	433
681	433
682	433
683	434
684	434
685	435
686	436
687	436
688	436
689	436
690	436
691	437
692	438
693	438
694	439
695	440
696	440
697	441
698	441
699	442
700	442
701	442
702	442
703	443
704	443
705	444
706	445
707	445
708	446
709	447
710	448
711	448
712	449
713	450
714	451
715	451
716	451
717	451
718	452
719	453
720	454
721	455
722	455
723	456
724	456
725	457
726	458
727	459
728	459
729	460
730	460
731	461
732	462
733	463
734	464
735	464
736	465
737	466
738	466
739	466
740	467
741	467
742	467
743	467
744	467
745	468
746	469
747	469
748	469
749	469
750	470
751	471
752	472
753	473
754	474
755	474
756	474
757	475
758	475
759	476
760	477
761	477
762	477
763	477
764	478
765	479
766	480
767	481
768	482
769	483
770	484
771	485
772	485
773	486
774	487
775	488
776	489
777	489
778	489
779	490
780	491
781	492
782	493
783	494
784	495
785	495
786	496
787	496
788	496
789	497
790	497
791	498
792	499
793	499
794	499
795	499
796	500
797	501
798	501
799	502
800	502
801	503
802	504
803	505
804	506
805	507
806	507
807	508
808	508
809	509
810	510
811	511
812	511
813	511
814	512
815	512
816	513
817	514
818	514
819	514
820	515
821	515
822	515
823	515
824	515
825	516
826	517
827	517
828	518
829	518
830	518
831	518
832	518
833	519
834	519
835	520
836	520
837	521
838	521
839	521
840	521
841	522
842	522
843	522
844	522
845	522
846	523
847	524
848	525
849	525
850	526
851	526
852	527
853	527
854	527
855	528
856	528
857	529
858	529
859	529
860	530
861	530
862	531
863	532
864	532
865	533
866	533
867	533
868	534
869	535
870	535
871	536
872	536
873	537
874	537
875	538
876	539
877	540
878	540
879	540
880	540
881	540
882	541
883	541
884	542
885	542
886	542
887	542
888	542
889	543
890	543
891	543
892	544
893	545
894	545
895	545
896	546
897	546
898	546
899	547
900	547
901	548
902	548
903	548
904	548
905	549
906	549
907	550
908	551
909	551
910	551
911	551
912	551
913	551
914	551
915	552
916	552
917	552
918	552
919	553
920	554
921	555
922	556
923	556
924	557
925	557
926	557
927	557
928	558
929	559
930	559
931	560
932	561
933	561
934	562
935	563
936	564
937	564
938	564
939	564
940	564
941	564
942	564
943	564
944	564
945	565
946	565
947	566
948	566
949	567
950	567
951	568
952	568
953	569
954	569
955	569
956	569
957	569
958	570
959	571
960	571
961	571
962	572
963	573
