N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	25
27	26
28	27
29	28
30	29
31	30
32	31
33	32
34	33
35	34
36	35
37	36
38	37
39	38
40	39
41	40
42	41
43	41
44	42
45	43
46	44
47	45
48	46
49	47
50	48
51	49
52	50
53	50
54	51
55	52
56	52
57	53
58	54
59	55
60	56
61	57
62	58
63	59
64	60
65	60
66	61
67	62
68	63
69	64
70	64
71	65
72	66
73	67
74	68
75	69
76	70
77	71
78	72
79	73
80	74
81	74
82	75
83	76
84	77
85	78
86	79
87	80
88	81
89	82
90	82
91	82
92	83
93	84
94	85
95	86
96	87
97	88
98	89
99	90
100	91
101	92
102	92
103	93
104	93
105	94
106	95
107	95
108	96
109	97
110	98
111	99
112	99
113	100
114	101
115	102
116	103
117	104
118	105
119	105
120	106
121	107
122	108
123	109
124	110
125	111
126	112
127	113
128	113
129	114
130	115
131	116
132	117
133	117
134	117
135	117
136	118
137	119
138	120
139	120
140	120
141	121
142	122
143	123
144	124
145	124
146	125
147	126
148	126
149	127
150	128
151	129
152	130
153	131
154	132
155	133
156	134
157	135
158	135
159	136
160	137
161	138
162	139
163	140
164	140
165	140
166	141
167	142
168	143
169	144
170	144
171	145
172	145
173	145
174	146
175	146
176	147
177	148
178	149
179	149
180	149
181	149
182	149
183	150
184	151
185	152
186	153
187	154
188	155
189	156
190	157
191	157
192	157
193	158
194	159
195	160
196	161
197	162
198	163
199	164
200	165
201	166
202	166
203	167
204	168
205	169
206	170
207	171
208	172
209	172
210	172
211	173
212	173
213	174
214	175
215	175
216	176
217	176
218	177
219	178
220	178
221	179
222	179
223	180
224	181
225	182
226	183
227	183
228	183
229	183
230	183
231	184
232	185
233	186
234	187
235	187
236	188
237	189
238	190
239	190
240	190
241	191
242	192
243	192
244	192
245	193
246	193
247	193
248	193
249	194
250	195
251	196
252	197
253	198
254	199
255	199
256	199
257	200
258	201
259	201
260	201
261	202
262	203
263	204
264	205
265	205
266	206
267	207
268	207
269	208
270	209
271	210
272	211
273	212
274	213
275	213
276	213
277	214
278	214
279	215
280	215
281	215
282	215
283	215
284	215
285	215
286	216
287	217
288	217
289	218
290	219
291	219
292	219
293	220
294	221
295	222
296	222
297	223
298	223
299	224
300	225
301	225
302	225
303	226
304	226
305	226
306	226
307	226
308	226
309	226
310	226
311	226
312	226
313	227
314	227
315	227
316	227
317	228
318	229
319	230
320	230
321	230
322	230
323	230
324	230
325	230
326	230
327	230
328	231
329	231
330	232
331	232
332	232
333	232
334	232
335	232
336	232
337	232
338	232
339	232
340	233
341	233
342	233
343	233
344	233
345	233
346	233
347	233
348	233
349	234
350	235
351	236
352	237
353	238
354	238
355	238
356	239
357	239
358	239
359	240
360	241
361	241
362	241
363	241
364	242
365	243
366	244
367	245
368	246
369	246
370	246
371	246
372	246
373	247
374	248
375	249
376	250
377	250
378	251
379	252
380	253
381	253
382	254
383	255
384	256
385	256
386	257
387	257
388	258
389	258
390	259
391	260
392	260
393	261
394	262
395	262
396	263
397	263
398	263
399	264
400	265
401	266
402	267
403	267
404	268
405	269
406	270
407	271
408	272
409	273
410	274
411	275
412	275
413	276
414	277
415	277
416	278
417	279
418	280
419	280
420	281
421	281
422	281
423	282
424	282
425	282
426	283
427	283
428	284
429	284
430	285
431	285
432	286
433	287
434	288
435	289
436	290
437	291
438	292
439	293
440	294
441	295
442	296
443	297
444	298
445	299
446	300
447	301
448	302
449	303
450	303
451	303
452	303
453	304
454	305
455	306
456	307
457	308
458	309
459	309
460	310
461	310
462	310
463	311
464	311
465	311
466	312
467	313
468	314
469	314
470	315
471	315
472	315
473	316
474	317
475	318
476	319
477	320
478	320
479	320
480	321
481	322
482	323
483	324
484	325
485	326
486	326
487	326
488	326
489	327
490	328
491	329
492	330
493	331
494	332
495	332
496	332
497	332
498	333
499	334
500	335
501	335
502	335
503	335
504	335
505	335
506	335
507	336
508	337
509	337
510	338
511	339
512	340
513	341
514	341
515	341
516	341
517	342
518	343
519	344
520	345
521	346
522	347
523	347
524	347
525	348
526	349
527	350
528	351
529	352
530	352
531	352
532	352
533	353
534	354
535	354
536	355
537	356
538	357
539	358
540	359
541	360
542	361
543	362
544	362
545	363
546	363
547	364
548	364
549	364
550	365
551	365
552	366
553	367
554	368
555	369
556	370
557	371
558	371
559	372
560	372
561	372
562	373
563	373
564	373
565	373
566	373
567	373
568	374
569	375
570	376
571	376
572	376
573	376
574	377
575	377
576	377
577	377
578	378
579	379
580	380
581	381
582	382
583	383
584	384
585	384
586	385
587	386
588	387
589	388
590	389
591	390
592	391
593	392
594	392
595	392
596	393
597	394
598	395
599	395
600	396
601	397
602	398
603	398
604	398
605	399
606	399
607	399
608	400
609	401
610	401
611	402
612	402
613	402
614	402
615	403
616	404
617	404
618	405
619	406
620	406
621	406
622	407
623	408
624	408
625	409
626	409
627	410
628	411
629	412
630	412
631	413
632	414
633	415
634	416
635	417
636	418
637	419
638	420
639	421
640	422
641	423
642	423
643	424
644	425
645	426
646	426
647	426
648	427
649	427
650	427
651	428
652	429
653	430
654	430
655	430
656	431
657	431
658	431
659	431
660	432
661	433
662	433
663	434
664	434
665	435
666	436
667	436
668	437
669	438
670	439
671	439
672	440
673	440
674	441
675	442
676	442
677	443
678	443
679	443
680	443
681	443
682	444
683	445
684	445
685	445
686	445
687	445
688	446
689	447
690	447
691	447
692	448
693	449
694	450
695	451
696	452
697	453
698	453
699	454
700	455
701	455
702	456
703	457
704	457
705	458
706	459
707	459
708	460
709	460
710	461
711	462
712	462
713	463
714	464
715	465
716	466
717	467
718	467
719	468
720	468
721	469
722	470
723	471
724	472
725	473
726	473
727	474
728	475
729	476
730	476
731	477
732	478
733	478
734	478
735	478
736	478
737	479
738	480
739	481
740	482
741	483
742	484
743	485
744	486
745	487
746	488
747	488
748	489
749	489
750	489
751	489
752	490
753	491
754	492
755	493
756	493
757	494
758	495
759	496
760	497
761	497
762	497
763	497
764	498
765	498
766	499
767	500
768	501
769	502
770	503
771	503
772	504
773	505
774	506
775	507
776	508
777	509
778	509
779	509
780	510
781	511
782	512
783	513
784	513
785	513
786	514
787	515
788	516
789	516
790	517
791	517
792	518
793	518
794	518
795	519
796	520
797	521
798	522
799	522
800	522
801	522
802	523
803	523
804	523
805	524
806	525
807	525
808	526
809	527
810	528
811	529
812	530
813	531
814	532
815	532
816	532
817	532
818	532
819	533
820	533
821	533
822	534
823	535
824	535
825	535
826	535
827	535
828	535
829	535
830	535
831	535
832	535
833	535
834	535
835	535
836	535
837	535
838	535
839	536
840	537
841	537
842	537
843	537
844	538
845	538
846	538
847	538
848	538
849	538
850	539
851	540
852	541
853	541
854	541
855	541
856	541
857	542
858	542
859	542
860	542
861	543
862	544
863	544
864	545
865	545
866	546
867	546
868	546
869	547
870	547
871	547
872	547
873	547
874	547
875	547
876	547
877	547
878	548
879	548
880	548
881	548
882	549
883	550
884	551
885	552
886	553
887	553
888	554
889	555
890	555
891	556
892	557
893	557
894	558
895	558
896	558
897	558
898	559
899	559
900	560
901	561
902	561
903	561
904	561
905	562
906	562
907	562
908	563
909	564
910	564
911	565
912	565
913	565
914	565
915	566
916	566
917	566
918	567
919	568
920	569
921	569
922	570
923	570
924	570
925	571
926	572
927	573
928	573
929	573
930	573
931	573
932	574
933	575
934	575
935	576
936	576
937	577
938	578
939	579
940	580
941	580
942	581
943	582
944	583
945	584
946	584
947	585
948	586
949	586
950	586
951	586
952	587
953	588
954	589
955	589
956	590
957	591
958	592
959	592
960	593
961	594
962	594
963	595
