N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	23
25	24
26	24
27	25
28	26
29	27
30	28
31	29
32	30
33	30
34	31
35	32
36	33
37	34
38	35
39	36
40	37
41	38
42	39
43	40
44	41
45	42
46	43
47	44
48	45
49	46
50	47
51	48
52	49
53	50
54	51
55	51
56	52
57	53
58	54
59	55
60	56
61	57
62	57
63	58
64	59
65	59
66	60
67	61
68	62
69	63
70	64
71	65
72	66
73	67
74	68
75	69
76	70
77	71
78	71
79	72
80	73
81	73
82	74
83	75
84	76
85	77
86	78
87	79
88	80
89	81
90	82
91	82
92	83
93	84
94	84
95	84
96	84
97	84
98	84
99	85
100	86
101	87
102	88
103	89
104	89
105	90
106	91
107	91
108	92
109	92
110	92
111	92
112	93
113	93
114	94
115	94
116	94
117	95
118	96
119	97
120	98
121	98
122	99
123	100
124	101
125	102
126	103
127	104
128	105
129	106
130	107
131	108
132	108
133	109
134	109
135	110
136	111
137	111
138	112
139	112
140	113
141	113
142	114
143	115
144	116
145	117
146	117
147	118
148	118
149	119
150	119
151	120
152	121
153	122
154	123
155	123
156	124
157	125
158	125
159	125
160	126
161	126
162	126
163	127
164	128
165	129
166	129
167	129
168	129
169	129
170	130
171	130
172	131
173	131
174	132
175	132
176	132
177	133
178	133
179	134
180	134
181	135
182	135
183	136
184	136
185	136
186	136
187	137
188	137
189	138
190	138
191	138
192	138
193	139
194	139
195	140
196	140
197	140
198	141
199	142
200	142
201	143
202	143
203	144
204	145
205	146
206	147
207	148
208	149
209	150
210	150
211	150
212	151
213	151
214	152
215	153
216	154
217	155
218	156
219	157
220	157
221	158
222	158
223	159
224	159
225	160
226	160
227	161
228	162
229	162
230	163
231	164
232	165
233	166
234	166
235	167
236	168
237	169
238	170
239	171
240	172
241	172
242	173
243	174
244	174
245	174
246	174
247	175
248	175
249	176
250	177
251	178
252	179
253	179
254	179
255	180
256	180
257	180
258	181
259	181
260	182
261	182
262	182
263	182
264	182
265	183
266	183
267	184
268	185
269	185
270	185
271	185
272	186
273	187
274	187
275	188
276	188
277	189
278	189
279	190
280	190
281	191
282	191
283	192
284	193
285	193
286	193
287	193
288	194
289	195
290	195
291	196
292	196
293	197
294	197
295	197
296	198
297	199
298	199
299	200
300	201
301	202
302	203
303	204
304	205
305	206
306	206
307	207
308	207
309	207
310	208
311	208
312	209
313	210
314	210
315	211
316	211
317	211
318	212
319	212
320	213
321	213
322	213
323	214
324	214
325	215
326	215
327	215
328	215
329	215
330	215
331	216
332	216
333	216
334	217
335	218
336	218
337	218
338	218
339	218
340	219
341	219
342	220
343	221
344	221
345	222
346	223
347	223
348	223
349	224
350	224
351	225
352	225
353	226
354	226
355	227
356	228
357	229
358	230
359	231
360	232
361	232
362	232
363	232
364	232
365	233
366	234
367	235
368	235
369	236
370	237
371	238
372	238
373	239
374	239
375	239
376	240
377	240
378	240
379	241
380	241
381	242
382	242
383	243
384	243
385	243
386	244
387	244
388	245
389	245
390	246
391	246
392	247
393	247
394	247
395	247
396	247
397	247
398	248
399	248
400	249
401	250
402	251
403	252
404	252
405	253
406	254
407	255
408	255
409	256
410	256
411	257
412	258
413	258
414	258
415	258
416	259
417	259
418	260
419	260
420	261
421	261
422	262
423	263
424	263
425	263
426	263
427	264
428	264
429	264
430	265
431	266
432	266
433	266
434	266
435	267
436	267
437	268
438	268
439	268
440	269
441	269
442	270
443	270
444	270
445	270
446	271
447	271
448	271
449	271
450	271
451	271
452	271
453	271
454	271
455	271
456	272
457	273
458	273
459	273
460	273
461	273
462	274
463	274
464	275
465	275
466	276
467	276
468	276
469	276
470	276
471	276
472	277
473	277
474	277
475	277
476	277
477	278
478	279
479	280
480	280
481	281
482	281
483	281
484	282
485	283
486	284
487	285
488	285
489	285
490	285
491	286
492	287
493	288
494	289
495	289
496	290
497	290
498	291
499	291
500	291
501	291
502	292
503	292
504	292
505	293
506	293
507	293
508	293
509	293
510	293
511	293
512	294
513	294
514	295
515	295
516	295
517	295
518	295
519	295
520	296
521	297
522	298
523	298
524	299
525	299
526	300
527	300
528	301
529	301
530	302
531	302
532	303
533	304
534	304
535	304
536	305
537	305
538	305
539	305
540	306
541	306
542	307
543	308
544	308
545	308
546	308
547	308
548	308
549	309
550	309
551	309
552	309
553	309
554	309
555	309
556	309
557	309
558	309
559	309
560	310
561	311
562	312
563	313
564	313
565	313
566	313
567	314
568	315
569	316
570	317
571	317
572	317
573	317
574	318
575	319
576	319
577	320
578	320
579	321
580	321
581	322
582	322
583	322
584	322
585	322
586	322
587	322
588	323
589	324
590	324
591	325
592	326
593	326
594	326
595	327
596	327
597	328
598	328
599	328
600	329
601	329
602	330
603	331
604	331
605	331
606	332
607	332
608	333
609	334
610	335
611	335
612	335
613	336
614	336
615	336
616	337
617	337
618	337
619	337
620	338
621	339
622	340
623	340
624	340
625	340
626	340
627	340
628	340
629	340
630	341
631	342
632	342
633	343
634	343
635	344
636	344
637	344
638	344
639	345
640	346
641	347
642	348
643	349
644	349
645	349
646	349
647	350
648	351
649	351
650	352
651	352
652	353
653	353
654	353
655	354
656	354
657	354
658	355
659	355
660	356
661	357
662	358
663	358
664	359
665	360
666	360
667	360
668	360
669	360
670	360
671	360
672	361
673	362
674	362
675	362
676	362
677	363
678	363
679	364
680	364
681	365
682	366
683	366
684	366
685	366
686	366
687	366
688	367
689	368
690	368
691	368
692	369
693	370
694	371
695	371
696	371
697	372
698	372
699	372
700	372
701	373
702	374
703	374
704	375
705	375
706	375
707	375
708	376
709	376
710	376
711	376
712	377
713	377
714	378
715	378
716	379
717	380
718	381
719	381
720	382
721	383
722	384
723	384
724	385
725	386
726	387
727	387
728	388
729	388
730	389
731	390
732	391
733	392
734	393
735	393
736	394
737	395
738	396
739	396
740	397
741	398
742	399
743	400
744	401
745	402
746	402
747	402
748	403
749	404
750	405
751	405
752	406
753	406
754	407
755	407
756	407
757	408
758	409
759	409
760	409
761	409
762	410
763	411
764	412
765	412
766	412
767	413
768	413
769	413
770	413
771	414
772	414
773	415
774	415
775	416
776	416
777	416
778	417
779	417
780	417
781	418
782	419
783	419
784	420
785	420
786	420
787	421
788	421
789	421
790	422
791	422
792	422
793	422
794	423
795	423
796	423
797	423
798	424
799	425
800	426
801	427
802	428
803	428
804	429
805	429
806	429
807	430
808	430
809	430
810	431
811	431
812	431
813	432
814	432
815	432
816	433
817	433
818	434
819	434
820	435
821	435
822	436
823	436
824	437
825	437
826	437
827	438
828	439
829	440
830	441
831	441
832	442
833	442
834	442
835	443
836	443
837	443
838	443
839	443
840	443
841	443
842	443
843	444
844	444
845	444
846	444
847	445
848	446
849	446
850	447
851	447
852	447
853	447
854	447
855	447
856	448
857	448
858	449
859	450
860	451
861	451
862	451
863	452
864	452
865	452
866	452
867	453
868	453
869	454
870	454
871	454
872	454
873	454
874	454
875	455
876	456
877	457
878	457
879	457
880	458
881	459
882	459
883	460
884	460
885	461
886	462
887	463
888	463
889	464
890	465
891	465
892	465
893	466
894	467
895	467
896	468
897	468
898	468
899	468
900	469
901	469
902	470
903	470
904	470
905	470
906	470
907	470
908	470
909	471
910	471
911	472
912	472
913	472
914	473
915	474
916	474
917	474
918	474
919	475
920	475
921	476
922	476
923	476
924	476
925	476
926	477
927	477
928	477
929	478
930	479
931	480
932	480
933	480
934	481
935	481
936	481
937	481
938	481
939	482
940	483
941	484
942	484
943	484
944	485
945	486
946	487
947	487
948	488
949	489
950	489
951	490
952	491
953	491
954	491
955	492
956	492
957	493
958	493
959	494
960	494
961	494
962	495
963	496
