N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	18
20	18
21	18
22	19
23	19
24	19
25	20
26	21
27	22
28	23
29	24
30	25
31	26
32	27
33	28
34	29
35	29
36	30
37	30
38	31
39	32
40	33
41	34
42	35
43	36
44	37
45	38
46	39
47	39
48	40
49	41
50	42
51	43
52	44
53	45
54	46
55	47
56	48
57	49
58	50
59	51
60	52
61	53
62	54
63	54
64	55
65	56
66	57
67	58
68	59
69	59
70	59
71	59
72	60
73	61
74	61
75	62
76	63
77	63
78	64
79	65
80	66
81	67
82	68
83	68
84	68
85	69
86	69
87	70
88	71
89	72
90	72
91	73
92	74
93	75
94	75
95	76
96	77
97	78
98	79
99	80
100	80
101	81
102	82
103	82
104	82
105	83
106	84
107	85
108	85
109	86
110	87
111	87
112	87
113	88
114	88
115	89
116	89
117	90
118	91
119	92
120	93
121	94
122	95
123	96
124	96
125	96
126	96
127	96
128	96
129	96
130	97
131	98
132	98
133	98
134	99
135	100
136	100
137	100
138	100
139	101
140	102
141	102
142	102
143	102
144	103
145	103
146	103
147	103
148	104
149	105
150	106
151	106
152	106
153	106
154	106
155	106
156	106
157	106
158	106
159	106
160	106
161	107
162	107
163	108
164	109
165	110
166	111
167	112
168	113
169	114
170	115
171	116
172	117
173	118
174	119
175	120
176	120
177	121
178	121
179	122
180	122
181	122
182	122
183	123
184	123
185	124
186	125
187	126
188	127
189	128
190	128
191	129
192	130
193	131
194	132
195	132
196	133
197	134
198	134
199	134
200	134
201	134
202	135
203	135
204	136
205	136
206	137
207	138
208	138
209	138
210	139
211	139
212	140
213	141
214	142
215	143
216	144
217	145
218	145
219	146
220	146
221	146
222	147
223	147
224	147
225	147
226	148
227	149
228	150
229	150
230	151
231	152
232	153
233	154
234	154
235	155
236	156
237	156
238	156
239	157
240	158
241	159
242	159
243	160
244	161
245	162
246	163
247	163
248	164
249	165
250	166
251	166
252	167
253	167
254	168
255	169
256	170
257	170
258	171
259	171
260	171
261	171
262	171
263	171
264	172
265	172
266	172
267	172
268	172
269	173
270	173
271	174
272	175
273	175
274	175
275	176
276	177
277	177
278	178
279	178
280	178
281	179
282	180
283	181
284	182
285	183
286	184
287	184
288	185
289	186
290	186
291	187
292	188
293	189
294	190
295	190
296	190
297	191
298	192
299	193
300	194
301	195
302	195
303	195
304	195
305	196
306	196
307	197
308	197
309	198
310	198
311	198
312	198
313	199
314	199
315	200
316	201
317	202
318	203
319	204
320	205
321	206
322	206
323	207
324	208
325	209
326	209
327	209
328	209
329	210
330	210
331	210
332	210
333	211
334	211
335	212
336	212
337	213
338	214
339	215
340	216
341	217
342	218
343	218
344	218
345	219
346	220
347	220
348	221
349	221
350	222
351	223
352	224
353	225
354	226
355	226
356	227
357	228
358	229
359	229
360	230
361	231
362	232
363	233
364	234
365	235
366	236
367	236
368	236
369	237
370	237
371	237
372	238
373	239
374	240
375	240
376	241
377	242
378	243
379	244
380	245
381	246
382	247
383	247
384	248
385	248
386	248
387	249
388	249
389	250
390	251
391	252
392	253
393	254
394	255
395	256
396	257
397	258
398	259
399	260
400	260
401	261
402	262
403	263
404	263
405	264
406	264
407	265
408	265
409	265
410	265
411	266
412	267
413	268
414	268
415	269
416	269
417	269
418	269
419	270
420	271
421	271
422	272
423	272
424	273
425	273
426	273
427	273
428	273
429	273
430	273
431	273
432	274
433	274
434	275
435	275
436	275
437	275
438	276
439	277
440	278
441	278
442	279
443	280
444	281
445	282
446	283
447	283
448	283
449	284
450	284
451	284
452	285
453	286
454	287
455	288
456	288
457	289
458	289
459	289
460	290
461	291
462	292
463	292
464	293
465	294
466	294
467	295
468	296
469	296
470	296
471	296
472	296
473	296
474	296
475	297
476	297
477	297
478	297
479	298
480	299
481	299
482	300
483	301
484	302
485	303
486	304
487	305
488	305
489	305
490	306
491	306
492	307
493	308
494	308
495	308
496	309
497	310
498	310
499	310
500	310
501	310
502	310
503	310
504	310
505	310
506	311
507	312
508	313
509	314
510	315
511	316
512	316
513	317
514	317
515	317
516	317
517	318
518	319
519	320
520	321
521	321
522	321
523	322
524	322
525	323
526	324
527	325
528	325
529	326
530	326
531	327
532	327
533	328
534	329
535	329
536	329
537	330
538	330
539	331
540	332
541	332
542	332
543	332
544	332
545	332
546	332
547	332
548	332
549	333
550	333
551	334
552	335
553	335
554	336
555	337
556	337
557	337
558	338
559	338
560	339
561	339
562	340
563	341
564	341
565	341
566	341
567	342
568	342
569	343
570	343
571	343
572	344
573	344
574	344
575	344
576	344
577	345
578	345
579	346
580	346
581	346
582	347
583	347
584	348
585	349
586	349
587	349
588	350
589	350
590	350
591	351
592	352
593	353
594	354
595	355
596	356
597	357
598	357
599	358
600	359
601	360
602	361
603	362
604	362
605	363
606	363
607	363
608	364
609	365
610	366
611	367
612	368
613	369
614	369
615	370
616	370
617	370
618	371
619	371
620	372
621	373
622	373
623	373
624	373
625	374
626	375
627	376
628	376
629	377
630	378
631	379
632	380
633	381
634	382
635	382
636	383
637	383
638	384
639	385
640	385
641	385
642	385
643	386
644	387
645	388
646	389
647	390
648	391
649	391
650	391
651	392
652	392
653	392
654	392
655	392
656	392
657	393
658	393
659	393
660	394
661	395
662	396
663	397
664	398
665	399
666	400
667	400
668	401
669	402
670	403
671	403
672	404
673	405
674	405
675	406
676	406
677	406
678	407
679	407
680	407
681	407
682	407
683	407
684	407
685	407
686	407
687	407
688	408
689	408
690	409
691	410
692	411
693	412
694	413
695	413
696	413
697	414
698	414
699	415
700	416
701	416
702	416
703	416
704	417
705	418
706	418
707	419
708	419
709	419
710	419
711	420
712	421
713	421
714	421
715	421
716	421
717	422
718	423
719	423
720	424
721	424
722	425
723	426
724	427
725	427
726	427
727	427
728	428
729	429
730	429
731	430
732	430
733	431
734	432
735	433
736	433
737	434
738	435
739	435
740	435
741	435
742	435
743	435
744	436
745	437
746	438
747	438
748	439
749	440
750	441
751	442
752	443
753	444
754	444
755	445
756	445
757	445
758	446
759	447
760	448
761	449
762	450
763	450
764	450
765	451
766	451
767	451
768	452
769	452
770	452
771	453
772	454
773	455
774	456
775	457
776	457
777	457
778	458
779	459
780	460
781	460
782	460
783	461
784	461
785	462
786	462
787	463
788	463
789	463
790	464
791	465
792	465
793	465
794	466
795	467
796	467
797	467
798	467
799	468
800	469
801	470
802	471
803	472
804	472
805	472
806	472
807	473
808	474
809	474
810	474
811	474
812	474
813	474
814	475
815	476
816	476
817	476
818	476
819	476
820	476
821	476
822	476
823	476
824	477
825	477
826	477
827	478
828	479
829	479
830	479
831	479
832	479
833	479
834	480
835	481
836	482
837	483
838	484
839	485
840	485
841	485
842	485
843	485
844	485
845	485
846	485
847	485
848	485
849	485
850	486
851	486
852	486
853	486
854	486
855	487
856	488
857	488
858	489
859	490
860	490
861	491
862	491
863	492
864	492
865	493
866	493
867	493
868	493
869	493
870	493
871	494
872	495
873	496
874	497
875	497
876	498
877	498
878	498
879	499
880	499
881	499
882	500
883	500
884	500
885	501
886	502
887	502
888	503
889	504
890	505
891	505
892	505
893	505
894	506
895	506
896	507
897	507
898	507
899	508
900	508
901	508
902	508
903	508
904	508
905	509
906	510
907	510
908	510
909	510
910	511
911	512
912	513
913	514
914	515
915	515
916	516
917	516
918	517
919	517
920	517
921	518
922	519
923	520
924	520
925	520
926	520
927	521
928	522
929	522
930	523
931	524
932	525
933	526
934	527
935	528
936	529
937	529
938	530
939	531
940	532
941	533
942	534
943	535
944	536
945	537
946	538
947	538
948	538
949	538
950	538
951	538
952	539
953	540
954	540
955	541
956	542
957	543
958	544
959	544
960	544
961	544
962	545
963	545
