N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	8
9	8
10	9
11	10
12	11
13	12
14	13
15	14
16	15
17	16
18	16
19	17
20	18
21	19
22	20
23	20
24	21
25	22
26	23
27	24
28	25
29	26
30	27
31	28
32	29
33	30
34	31
35	32
36	33
37	34
38	35
39	36
40	37
41	37
42	38
43	39
44	40
45	41
46	42
47	43
48	44
49	45
50	46
51	47
52	48
53	48
54	49
55	50
56	50
57	51
58	52
59	53
60	54
61	54
62	55
63	56
64	57
65	58
66	59
67	60
68	61
69	62
70	63
71	64
72	65
73	66
74	67
75	67
76	68
77	69
78	70
79	71
80	72
81	73
82	73
83	74
84	75
85	75
86	76
87	77
88	78
89	79
90	80
91	81
92	82
93	83
94	84
95	85
96	86
97	86
98	86
99	87
100	88
101	89
102	90
103	91
104	92
105	93
106	94
107	95
108	95
109	95
110	96
111	96
112	97
113	98
114	98
115	98
116	98
117	99
118	99
119	100
120	101
121	102
122	103
123	104
124	105
125	106
126	107
127	108
128	108
129	109
130	110
131	111
132	112
133	112
134	113
135	114
136	115
137	116
138	117
139	118
140	119
141	120
142	120
143	120
144	121
145	122
146	123
147	124
148	124
149	125
150	126
151	126
152	127
153	127
154	128
155	129
156	129
157	130
158	130
159	130
160	131
161	132
162	133
163	134
164	134
165	135
166	135
167	135
168	135
169	135
170	136
171	137
172	138
173	138
174	138
175	139
176	140
177	141
178	141
179	142
180	143
181	144
182	145
183	146
184	147
185	147
186	147
187	148
188	149
189	149
190	150
191	150
192	151
193	152
194	153
195	153
196	153
197	153
198	154
199	154
200	155
201	156
202	157
203	158
204	159
205	159
206	159
207	160
208	161
209	161
210	161
211	162
212	163
213	164
214	164
215	165
216	165
217	166
218	167
219	168
220	169
221	170
222	170
223	171
224	172
225	173
226	174
227	175
228	176
229	177
230	178
231	178
232	179
233	179
234	180
235	181
236	182
237	182
238	183
239	183
240	184
241	185
242	186
243	186
244	186
245	187
246	188
247	189
248	190
249	191
250	192
251	192
252	192
253	193
254	194
255	194
256	195
257	195
258	196
259	197
260	198
261	198
262	198
263	199
264	199
265	200
266	201
267	202
268	203
269	204
270	204
271	205
272	206
273	207
274	208
275	209
276	210
277	210
278	210
279	210
280	210
281	211
282	212
283	213
284	214
285	215
286	215
287	216
288	217
289	218
290	219
291	220
292	220
293	221
294	222
295	222
296	223
297	224
298	224
299	224
300	225
301	225
302	226
303	226
304	227
305	227
306	227
307	227
308	227
309	228
310	229
311	230
312	230
313	230
314	230
315	231
316	232
317	232
318	233
319	234
320	234
321	234
322	234
323	235
324	236
325	237
326	238
327	238
328	238
329	239
330	240
331	240
332	240
333	241
334	241
335	241
336	242
337	243
338	243
339	244
340	244
341	244
342	245
343	245
344	245
345	246
346	247
347	247
348	247
349	247
350	248
351	249
352	250
353	251
354	251
355	251
356	251
357	251
358	252
359	253
360	254
361	255
362	256
363	256
364	256
365	257
366	257
367	258
368	258
369	258
370	259
371	260
372	260
373	261
374	262
375	262
376	263
377	264
378	265
379	266
380	267
381	268
382	268
383	269
384	270
385	271
386	272
387	273
388	273
389	274
390	274
391	274
392	275
393	276
394	277
395	277
396	277
397	277
398	278
399	279
400	280
401	281
402	282
403	282
404	283
405	284
406	285
407	286
408	286
409	286
410	286
411	287
412	287
413	288
414	289
415	290
416	291
417	292
418	293
419	294
420	294
421	295
422	295
423	296
424	296
425	296
426	297
427	298
428	298
429	299
430	300
431	300
432	300
433	301
434	302
435	303
436	304
437	305
438	305
439	305
440	305
441	306
442	307
443	307
444	308
445	308
446	308
447	309
448	309
449	309
450	310
451	310
452	311
453	311
454	312
455	313
456	314
457	314
458	314
459	314
460	315
461	315
462	315
463	316
464	316
465	316
466	317
467	318
468	319
469	319
470	320
471	321
472	322
473	323
474	324
475	325
476	326
477	327
478	327
479	328
480	328
481	329
482	329
483	329
484	330
485	331
486	331
487	331
488	332
489	332
490	332
491	333
492	333
493	333
494	333
495	333
496	333
497	333
498	334
499	335
500	335
501	336
502	336
503	336
504	337
505	337
506	337
507	338
508	339
509	339
510	340
511	340
512	341
513	341
514	342
515	343
516	343
517	344
518	345
519	346
520	347
521	347
522	347
523	348
524	349
525	350
526	351
527	351
528	352
529	352
530	352
531	353
532	354
533	355
534	356
535	356
536	357
537	358
538	359
539	359
540	359
541	359
542	359
543	360
544	361
545	361
546	362
547	363
548	364
549	364
550	364
551	365
552	366
553	367
554	367
555	367
556	367
557	367
558	367
559	367
560	368
561	368
562	369
563	369
564	370
565	371
566	371
567	372
568	372
569	372
570	372
571	373
572	374
573	374
574	374
575	374
576	374
577	374
578	374
579	375
580	376
581	376
582	377
583	378
584	379
585	379
586	380
587	381
588	381
589	381
590	382
591	382
592	382
593	382
594	382
595	382
596	382
597	383
598	384
599	384
600	384
601	385
602	385
603	385
604	385
605	386
606	387
607	388
608	388
609	388
610	389
611	390
612	391
613	391
614	391
615	392
616	393
617	393
618	394
619	394
620	395
621	395
622	395
623	396
624	397
625	397
626	397
627	398
628	399
629	400
630	401
631	401
632	402
633	402
634	402
635	403
636	404
637	404
638	404
639	405
640	406
641	407
642	408
643	408
644	409
645	409
646	410
647	411
648	411
649	411
650	411
651	412
652	413
653	413
654	414
655	414
656	415
657	415
658	415
659	416
660	416
661	416
662	417
663	418
664	419
665	419
666	420
667	420
668	421
669	422
670	423
671	423
672	424
673	424
674	424
675	425
676	426
677	427
678	428
679	429
680	429
681	430
682	431
683	432
684	432
685	433
686	433
687	433
688	433
689	434
690	435
691	435
692	435
693	435
694	435
695	436
696	436
697	436
698	437
699	438
700	438
701	439
702	439
703	439
704	440
705	440
706	440
707	441
708	441
709	441
710	442
711	442
712	442
713	442
714	442
715	443
716	443
717	443
718	443
719	444
720	445
721	445
722	445
723	445
724	446
725	447
726	447
727	447
728	447
729	447
730	448
731	449
732	450
733	450
734	450
735	450
736	450
737	450
738	451
739	451
740	451
741	451
742	452
743	452
744	453
745	453
746	453
747	454
748	454
749	455
750	456
751	456
752	456
753	456
754	457
755	458
756	459
757	459
758	459
759	459
760	459
761	460
762	460
763	460
764	460
765	461
766	462
767	463
768	463
769	464
770	464
771	464
772	464
773	465
774	465
775	466
776	466
777	467
778	467
779	468
780	469
781	470
782	471
783	472
784	473
785	474
786	475
787	476
788	477
789	478
790	479
791	480
792	480
793	481
794	481
795	482
796	482
797	482
798	482
799	483
800	484
801	485
802	486
803	487
804	487
805	487
806	487
807	488
808	488
809	489
810	489
811	489
812	489
813	490
814	491
815	491
816	492
817	493
818	494
819	495
820	496
821	497
822	497
823	497
824	497
825	498
826	499
827	499
828	500
829	500
830	501
831	501
832	502
833	502
834	503
835	504
836	504
837	505
838	505
839	506
840	507
841	507
842	508
843	508
844	509
845	510
846	510
847	511
848	512
849	513
850	514
851	514
852	515
853	515
854	516
855	516
856	517
857	518
858	518
859	518
860	519
861	520
862	521
863	521
864	522
865	522
866	523
867	523
868	524
869	525
870	526
871	526
872	526
873	526
874	526
875	527
876	527
877	528
878	529
879	529
880	529
881	530
882	531
883	531
884	532
885	533
886	534
887	535
888	536
889	536
890	537
891	537
892	537
893	537
894	538
895	539
896	540
897	540
898	541
899	542
900	543
901	544
902	544
903	544
904	544
905	544
906	545
907	546
908	546
909	546
910	547
911	548
912	548
913	549
914	549
915	549
916	550
917	551
918	551
919	552
920	553
921	553
922	554
923	554
924	555
925	555
926	556
927	556
928	557
929	557
930	558
931	558
932	559
933	560
934	561
935	561
936	561
937	562
938	563
939	564
940	565
941	565
942	566
943	567
944	567
945	568
946	569
947	569
948	569
949	569
950	570
951	570
952	571
953	571
954	572
955	573
956	573
957	573
958	573
959	573
960	574
961	575
962	575
963	576
