N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	23
25	24
26	25
27	26
28	27
29	28
30	29
31	30
32	30
33	31
34	32
35	33
36	34
37	35
38	35
39	36
40	37
41	37
42	37
43	37
44	37
45	38
46	39
47	40
48	41
49	41
50	42
51	43
52	44
53	44
54	44
55	44
56	45
57	45
58	46
59	47
60	48
61	49
62	50
63	51
64	52
65	53
66	54
67	55
68	56
69	57
70	58
71	59
72	60
73	61
74	62
75	63
76	64
77	65
78	66
79	67
80	67
81	67
82	67
83	68
84	69
85	70
86	71
87	72
88	73
89	74
90	75
91	76
92	77
93	78
94	79
95	80
96	81
97	82
98	83
99	84
100	85
101	85
102	86
103	87
104	88
105	89
106	90
107	91
108	92
109	93
110	94
111	95
112	96
113	97
114	97
115	98
116	99
117	100
118	101
119	102
120	103
121	104
122	104
123	105
124	106
125	107
126	107
127	107
128	108
129	109
130	109
131	110
132	111
133	112
134	113
135	114
136	115
137	116
138	117
139	117
140	118
141	119
142	120
143	121
144	121
145	122
146	123
147	123
148	124
149	124
150	125
151	125
152	126
153	126
154	127
155	127
156	127
157	128
158	129
159	130
160	131
161	131
162	132
163	133
164	134
165	134
166	135
167	135
168	135
169	135
170	136
171	137
172	137
173	137
174	137
175	138
176	139
177	140
178	141
179	142
180	143
181	144
182	144
183	145
184	146
185	146
186	147
187	148
188	149
189	150
190	151
191	151
192	152
193	153
194	154
195	155
196	156
197	156
198	156
199	157
200	158
201	159
202	160
203	161
204	161
205	162
206	163
207	164
208	165
209	166
210	167
211	168
212	169
213	170
214	171
215	172
216	173
217	174
218	175
219	176
220	177
221	178
222	179
223	180
224	181
225	181
226	182
227	183
228	184
229	185
230	186
231	187
232	187
233	188
234	189
235	190
236	190
237	190
238	191
239	191
240	192
241	192
242	193
243	194
244	194
245	195
246	196
247	196
248	197
249	198
250	199
251	199
252	199
253	200
254	201
255	202
256	203
257	203
258	204
259	205
260	206
261	207
262	208
263	208
264	209
265	210
266	211
267	212
268	213
269	213
270	214
271	215
272	216
273	217
274	218
275	219
276	220
277	220
278	221
279	222
280	223
281	224
282	225
283	226
284	227
285	227
286	228
287	229
288	230
289	231
290	232
291	233
292	234
293	234
294	235
295	236
296	237
297	237
298	238
299	239
300	240
301	240
302	241
303	241
304	242
305	242
306	243
307	244
308	245
309	246
310	246
311	246
312	247
313	248
314	249
315	249
316	250
317	251
318	251
319	252
320	253
321	254
322	255
323	255
324	256
325	256
326	257
327	258
328	259
329	260
330	261
331	261
332	261
333	261
334	261
335	262
336	263
337	263
338	264
339	265
340	266
341	266
342	266
343	267
344	267
345	268
346	268
347	269
348	269
349	270
350	270
351	271
352	271
353	271
354	272
355	273
356	274
357	275
358	276
359	276
360	277
361	277
362	278
363	278
364	279
365	280
366	280
367	280
368	280
369	281
370	282
371	283
372	284
373	285
374	286
375	286
376	287
377	288
378	289
379	290
380	291
381	292
382	293
383	294
384	295
385	295
386	295
387	295
388	295
389	296
390	297
391	297
392	298
393	299
394	300
395	300
396	300
397	301
398	302
399	303
400	303
401	304
402	305
403	306
404	307
405	308
406	308
407	309
408	310
409	311
410	311
411	312
412	313
413	314
414	315
415	315
416	316
417	316
418	317
419	317
420	318
421	319
422	319
423	320
424	320
425	320
426	321
427	322
428	323
429	324
430	325
431	325
432	325
433	326
434	327
435	328
436	329
437	329
438	329
439	329
440	330
441	331
442	331
443	332
444	332
445	333
446	333
447	334
448	334
449	334
450	335
451	336
452	337
453	337
454	338
455	339
456	340
457	341
458	342
459	343
460	344
461	345
462	346
463	347
464	348
465	349
466	350
467	351
468	351
469	351
470	352
471	352
472	353
473	354
474	355
475	355
476	356
477	357
478	358
479	358
480	358
481	359
482	360
483	360
484	360
485	361
486	361
487	361
488	362
489	363
490	363
491	364
492	365
493	365
494	366
495	366
496	367
497	368
498	368
499	369
500	370
501	370
502	370
503	371
504	371
505	372
506	373
507	373
508	373
509	373
510	374
511	374
512	374
513	375
514	375
515	375
516	376
517	376
518	376
519	377
520	378
521	379
522	380
523	381
524	381
525	382
526	382
527	383
528	384
529	384
530	385
531	385
532	386
533	386
534	387
535	388
536	388
537	388
538	389
539	389
540	390
541	391
542	391
543	392
544	393
545	393
546	394
547	395
548	395
549	395
550	395
551	395
552	396
553	396
554	396
555	397
556	398
557	398
558	398
559	399
560	400
561	400
562	401
563	401
564	401
565	401
566	401
567	401
568	401
569	401
570	401
571	401
572	402
573	402
574	403
575	403
576	403
577	403
578	404
579	405
580	406
581	407
582	408
583	408
584	409
585	410
586	411
587	412
588	412
589	412
590	412
591	413
592	414
593	414
594	415
595	415
596	415
597	415
598	415
599	415
600	416
601	416
602	417
603	418
604	419
605	419
606	420
607	420
608	421
609	421
610	422
611	422
612	423
613	424
614	425
615	426
616	427
617	427
618	427
619	427
620	428
621	428
622	429
623	430
624	431
625	432
626	433
627	434
628	435
629	435
630	436
631	437
632	438
633	438
634	438
635	439
636	439
637	440
638	440
639	440
640	441
641	442
642	442
643	443
644	444
645	444
646	444
647	444
648	445
649	445
650	446
651	447
652	448
653	449
654	450
655	450
656	450
657	451
658	451
659	451
660	452
661	453
662	453
663	453
664	454
665	454
666	454
667	454
668	454
669	455
670	455
671	456
672	457
673	458
674	459
675	460
676	461
677	462
678	463
679	464
680	464
681	465
682	466
683	466
684	467
685	468
686	469
687	470
688	470
689	470
690	471
691	471
692	472
693	473
694	473
695	473
696	473
697	474
698	474
699	475
700	475
701	476
702	477
703	478
704	479
705	479
706	480
707	480
708	480
709	480
710	481
711	481
712	481
713	481
714	482
715	482
716	483
717	484
718	485
719	486
720	487
721	488
722	488
723	489
724	490
725	491
726	491
727	491
728	492
729	492
730	492
731	493
732	493
733	493
734	493
735	493
736	493
737	493
738	494
739	495
740	496
741	496
742	496
743	497
744	497
745	497
746	497
747	497
748	498
749	499
750	499
751	499
752	500
753	501
754	501
755	502
756	502
757	503
758	504
759	505
760	506
761	506
762	506
763	506
764	506
765	507
766	507
767	507
768	508
769	509
770	510
771	510
772	510
773	511
774	512
775	512
776	512
777	512
778	512
779	512
780	512
781	512
782	513
783	514
784	515
785	516
786	516
787	516
788	516
789	517
790	518
791	519
792	519
793	520
794	521
795	521
796	521
797	522
798	522
799	522
800	522
801	522
802	523
803	524
804	524
805	524
806	524
807	524
808	524
809	525
810	526
811	527
812	528
813	528
814	529
815	529
816	530
817	530
818	531
819	532
820	533
821	534
822	534
823	535
824	536
825	537
826	537
827	538
828	539
829	539
830	540
831	541
832	542
833	542
834	543
835	543
836	544
837	545
838	546
839	547
840	548
841	548
842	549
843	550
844	551
845	552
846	552
847	553
848	554
849	554
850	554
851	554
852	555
853	555
854	556
855	557
856	558
857	559
858	560
859	560
860	561
861	562
862	562
863	563
864	563
865	563
866	563
867	563
868	564
869	564
870	565
871	565
872	566
873	566
874	567
875	568
876	568
877	568
878	569
879	569
880	570
881	571
882	572
883	573
884	573
885	574
886	575
887	576
888	577
889	577
890	577
891	578
892	579
893	579
894	579
895	580
896	581
897	581
898	582
899	582
900	582
901	583
902	583
903	583
904	584
905	584
906	585
907	586
908	586
909	587
910	588
911	589
912	590
913	591
914	591
915	592
916	592
917	592
918	592
919	593
920	593
921	593
922	593
923	594
924	594
925	594
926	594
927	595
928	595
929	595
930	596
931	596
932	596
933	596
934	597
935	597
936	597
937	597
938	598
939	598
940	599
941	599
942	599
943	599
944	599
945	600
946	600
947	601
948	601
949	602
950	602
951	602
952	602
953	603
954	604
955	604
956	604
957	605
958	606
959	607
960	607
961	607
962	607
963	608
