N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	37
37	38
38	39
39	40
40	41
41	42
42	43
43	44
44	45
45	46
46	46
47	47
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	66
68	67
69	68
70	68
71	69
72	69
73	70
74	71
75	72
76	73
77	73
78	74
79	74
80	75
81	76
82	76
83	77
84	78
85	78
86	79
87	80
88	81
89	81
90	81
91	82
92	83
93	84
94	85
95	86
96	86
97	87
98	87
99	87
100	87
101	88
102	89
103	90
104	91
105	91
106	92
107	93
108	94
109	94
110	95
111	96
112	97
113	98
114	99
115	100
116	101
117	102
118	103
119	104
120	104
121	104
122	105
123	106
124	107
125	108
126	109
127	109
128	110
129	111
130	112
131	113
132	114
133	115
134	116
135	117
136	117
137	118
138	119
139	120
140	121
141	121
142	122
143	123
144	123
145	124
146	124
147	124
148	124
149	125
150	126
151	127
152	127
153	128
154	129
155	130
156	130
157	131
158	131
159	131
160	132
161	133
162	133
163	134
164	135
165	136
166	137
167	138
168	139
169	140
170	140
171	140
172	141
173	141
174	141
175	142
176	143
177	144
178	144
179	144
180	144
181	145
182	145
183	146
184	146
185	147
186	148
187	149
188	149
189	149
190	150
191	151
192	151
193	152
194	153
195	154
196	155
197	155
198	155
199	155
200	156
201	157
202	158
203	159
204	160
205	160
206	160
207	160
208	161
209	162
210	163
211	163
212	164
213	165
214	166
215	167
216	168
217	169
218	169
219	170
220	170
221	171
222	172
223	172
224	173
225	174
226	174
227	174
228	175
229	176
230	176
231	177
232	178
233	179
234	180
235	181
236	182
237	183
238	184
239	185
240	186
241	187
242	188
243	189
244	189
245	189
246	190
247	191
248	191
249	192
250	193
251	193
252	193
253	193
254	194
255	195
256	196
257	197
258	197
259	198
260	199
261	199
262	199
263	199
264	200
265	200
266	200
267	201
268	202
269	203
270	204
271	205
272	205
273	206
274	207
275	208
276	208
277	209
278	210
279	210
280	211
281	212
282	212
283	212
284	213
285	213
286	213
287	213
288	214
289	214
290	215
291	216
292	217
293	218
294	219
295	220
296	220
297	221
298	222
299	223
300	224
301	225
302	226
303	226
304	226
305	227
306	228
307	228
308	228
309	229
310	230
311	231
312	231
313	231
314	232
315	232
316	233
317	233
318	233
319	234
320	235
321	235
322	235
323	236
324	236
325	236
326	237
327	237
328	237
329	237
330	237
331	238
332	239
333	240
334	241
335	241
336	242
337	243
338	243
339	244
340	245
341	245
342	245
343	245
344	245
345	245
346	245
347	245
348	246
349	246
350	246
351	246
352	247
353	248
354	249
355	250
356	251
357	252
358	252
359	253
360	253
361	253
362	253
363	253
364	253
365	254
366	255
367	255
368	255
369	255
370	256
371	257
372	257
373	258
374	258
375	258
376	259
377	259
378	260
379	261
380	262
381	263
382	263
383	264
384	265
385	266
386	267
387	268
388	268
389	268
390	269
391	270
392	271
393	272
394	273
395	274
396	275
397	275
398	276
399	276
400	277
401	278
402	279
403	280
404	281
405	281
406	282
407	283
408	284
409	284
410	285
411	286
412	286
413	287
414	287
415	288
416	289
417	289
418	289
419	290
420	290
421	291
422	292
423	293
424	293
425	293
426	294
427	295
428	295
429	296
430	297
431	297
432	297
433	298
434	298
435	298
436	299
437	300
438	301
439	302
440	302
441	303
442	304
443	305
444	306
445	307
446	308
447	308
448	308
449	309
450	309
451	309
452	309
453	310
454	311
455	311
456	311
457	311
458	312
459	313
460	314
461	315
462	316
463	317
464	318
465	319
466	319
467	319
468	319
469	319
470	319
471	319
472	319
473	319
474	319
475	319
476	320
477	321
478	322
479	323
480	324
481	325
482	325
483	325
484	326
485	326
486	326
487	327
488	327
489	327
490	328
491	328
492	328
493	329
494	329
495	329
496	329
497	330
498	330
499	331
500	331
501	331
502	331
503	331
504	332
505	332
506	333
507	334
508	335
509	335
510	336
511	337
512	338
513	339
514	339
515	339
516	339
517	339
518	340
519	340
520	340
521	341
522	341
523	341
524	341
525	341
526	341
527	341
528	342
529	343
530	343
531	344
532	345
533	346
534	346
535	346
536	346
537	346
538	347
539	348
540	349
541	349
542	350
543	351
544	351
545	352
546	353
547	354
548	354
549	355
550	356
551	356
552	356
553	356
554	356
555	357
556	357
557	358
558	358
559	359
560	360
561	360
562	361
563	361
564	362
565	362
566	362
567	362
568	362
569	363
570	363
571	363
572	363
573	364
574	365
575	366
576	367
577	368
578	368
579	368
580	368
581	368
582	369
583	369
584	369
585	369
586	369
587	370
588	371
589	371
590	371
591	371
592	372
593	373
594	373
595	374
596	375
597	376
598	376
599	376
600	377
601	377
602	377
603	377
604	378
605	378
606	378
607	378
608	379
609	379
610	379
611	380
612	380
613	380
614	381
615	382
616	383
617	383
618	384
619	384
620	385
621	386
622	387
623	387
624	388
625	388
626	388
627	388
628	388
629	389
630	389
631	390
632	391
633	392
634	392
635	392
636	393
637	393
638	394
639	395
640	395
641	395
642	395
643	395
644	396
645	396
646	396
647	397
648	397
649	398
650	399
651	400
652	401
653	401
654	402
655	403
656	403
657	403
658	403
659	404
660	405
661	405
662	406
663	407
664	407
665	407
666	407
667	407
668	408
669	409
670	409
671	410
672	411
673	412
674	413
675	414
676	414
677	414
678	414
679	414
680	414
681	414
682	415
683	415
684	415
685	415
686	416
687	416
688	416
689	417
690	417
691	417
692	417
693	418
694	419
695	420
696	420
697	421
698	421
699	421
700	422
701	423
702	424
703	425
704	426
705	426
706	427
707	427
708	428
709	428
710	428
711	428
712	429
713	429
714	429
715	429
716	429
717	430
718	430
719	430
720	430
721	430
722	430
723	430
724	430
725	431
726	431
727	432
728	433
729	434
730	435
731	435
732	435
733	435
734	435
735	435
736	435
737	436
738	437
739	437
740	438
741	439
742	440
743	441
744	442
745	443
746	444
747	445
748	446
749	446
750	447
751	447
752	447
753	448
754	448
755	449
756	450
757	450
758	450
759	451
760	452
761	453
762	454
763	455
764	456
765	456
766	456
767	456
768	456
769	457
770	458
771	458
772	458
773	459
774	460
775	461
776	462
777	462
778	462
779	463
780	464
781	464
782	464
783	465
784	466
785	467
786	468
787	469
788	469
789	469
790	470
791	471
792	472
793	473
794	473
795	473
796	473
797	473
798	473
799	474
800	474
801	474
802	475
803	476
804	476
805	476
806	476
807	477
808	478
809	479
810	480
811	481
812	481
813	481
814	481
815	482
816	482
817	483
818	484
819	484
820	485
821	486
822	487
823	487
824	488
825	488
826	488
827	488
828	488
829	489
830	489
831	489
832	489
833	490
834	491
835	491
836	492
837	492
838	493
839	493
840	493
841	494
842	494
843	494
844	494
845	495
846	495
847	495
848	495
849	495
850	496
851	497
852	497
853	498
854	499
855	500
856	500
857	501
858	502
859	502
860	503
861	503
862	504
863	504
864	504
865	504
866	505
867	506
868	506
869	507
870	507
871	508
872	509
873	510
874	511
875	511
876	512
877	512
878	512
879	512
880	512
881	512
882	512
883	512
884	512
885	512
886	512
887	513
888	513
889	514
890	515
891	516
892	516
893	516
894	516
895	517
896	518
897	518
898	518
899	519
900	520
901	520
902	520
903	520
904	520
905	520
906	521
907	522
908	522
909	523
910	524
911	525
912	525
913	526
914	527
915	528
916	528
917	528
918	528
919	528
920	528
921	528
922	528
923	529
924	529
925	529
926	530
927	531
928	532
929	532
930	532
931	533
932	533
933	534
934	534
935	534
936	535
937	535
938	535
939	535
940	536
941	537
942	537
943	537
944	537
945	538
946	539
947	539
948	540
949	541
950	541
951	541
952	542
953	542
954	543
955	543
956	543
957	544
958	545
959	545
960	546
961	546
962	546
963	546
