N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	6
8	6
9	7
10	7
11	8
12	9
13	10
14	11
15	12
16	13
17	14
18	15
19	16
20	16
21	17
22	17
23	18
24	19
25	20
26	21
27	22
28	23
29	24
30	25
31	25
32	26
33	27
34	27
35	28
36	29
37	30
38	31
39	32
40	32
41	33
42	34
43	35
44	36
45	36
46	37
47	38
48	38
49	39
50	40
51	40
52	41
53	41
54	41
55	42
56	43
57	43
58	43
59	44
60	45
61	46
62	47
63	48
64	49
65	49
66	49
67	50
68	50
69	51
70	51
71	52
72	53
73	54
74	55
75	55
76	56
77	57
78	58
79	59
80	60
81	61
82	62
83	62
84	62
85	63
86	63
87	64
88	64
89	65
90	65
91	66
92	66
93	66
94	67
95	68
96	69
97	70
98	71
99	72
100	72
101	72
102	73
103	73
104	74
105	74
106	74
107	75
108	76
109	77
110	77
111	78
112	79
113	80
114	80
115	80
116	81
117	81
118	81
119	81
120	82
121	82
122	82
123	83
124	83
125	84
126	85
127	86
128	87
129	87
130	88
131	89
132	90
133	91
134	92
135	93
136	94
137	95
138	96
139	97
140	98
141	99
142	100
143	100
144	100
145	100
146	100
147	101
148	101
149	102
150	102
151	103
152	104
153	105
154	105
155	106
156	107
157	108
158	108
159	108
160	108
161	109
162	109
163	109
164	110
165	111
166	111
167	112
168	112
169	113
170	114
171	115
172	115
173	116
174	116
175	117
176	117
177	118
178	119
179	120
180	121
181	121
182	121
183	121
184	121
185	122
186	122
187	123
188	124
189	125
190	126
191	126
192	126
193	126
194	126
195	126
196	127
197	128
198	129
199	130
200	131
201	132
202	132
203	132
204	133
205	134
206	135
207	135
208	136
209	137
210	137
211	138
212	139
213	139
214	139
215	140
216	140
217	140
218	141
219	141
220	141
221	141
222	141
223	141
224	141
225	142
226	142
227	143
228	143
229	144
230	145
231	145
232	145
233	145
234	145
235	145
236	146
237	146
238	147
239	147
240	147
241	148
242	148
243	148
244	148
245	149
246	149
247	149
248	150
249	151
250	152
251	153
252	153
253	153
254	153
255	153
256	153
257	154
258	155
259	155
260	155
261	156
262	156
263	156
264	156
265	156
266	156
267	157
268	158
269	159
270	159
271	159
272	159
273	160
274	160
275	160
276	161
277	162
278	163
279	163
280	163
281	164
282	164
283	164
284	164
285	164
286	164
287	165
288	166
289	166
290	167
291	167
292	168
293	168
294	168
295	168
296	168
297	168
298	169
299	169
300	169
301	169
302	170
303	171
304	171
305	172
306	172
307	172
308	172
309	172
310	172
311	172
312	172
313	172
314	172
315	172
316	172
317	172
318	172
319	172
320	172
321	172
322	173
323	174
324	175
325	175
326	175
327	175
328	175
329	176
330	176
331	177
332	178
333	178
334	179
335	180
336	180
337	181
338	181
339	182
340	182
341	182
342	183
343	184
344	185
345	185
346	186
347	187
348	188
349	188
350	188
351	188
352	189
353	190
354	191
355	192
356	193
357	193
358	193
359	194
360	195
361	196
362	197
363	198
364	199
365	200
366	200
367	201
368	202
369	203
370	204
371	204
372	204
373	204
374	205
375	205
376	205
377	206
378	206
379	206
380	207
381	208
382	209
383	210
384	211
385	212
386	213
387	213
388	213
389	213
390	214
391	214
392	214
393	215
394	216
395	216
396	216
397	217
398	217
399	217
400	218
401	218
402	218
403	219
404	219
405	219
406	220
407	221
408	222
409	222
410	222
411	222
412	222
413	222
414	222
415	222
416	222
417	223
418	224
419	224
420	225
421	226
422	226
423	226
424	227
425	227
426	228
427	229
428	229
429	229
430	229
431	229
432	230
433	230
434	230
435	230
436	230
437	231
438	232
439	232
440	232
441	232
442	232
443	232
444	232
445	233
446	234
447	234
448	234
449	234
450	235
451	236
452	236
453	236
454	236
455	237
456	238
457	238
458	238
459	238
460	239
461	239
462	240
463	241
464	241
465	241
466	242
467	242
468	242
469	242
470	242
471	242
472	242
473	243
474	243
475	243
476	244
477	244
478	244
479	244
480	244
481	244
482	244
483	244
484	245
485	245
486	245
487	245
488	245
489	245
490	245
491	246
492	247
493	248
494	248
495	249
496	249
497	250
498	250
499	250
500	251
501	251
502	252
503	253
504	254
505	254
506	254
507	254
508	254
509	255
510	255
511	256
512	257
513	258
514	259
515	260
516	260
517	260
518	260
519	260
520	260
521	260
522	261
523	262
524	263
525	263
526	263
527	264
528	264
529	265
530	266
531	267
532	268
533	269
534	269
535	269
536	269
537	269
538	269
539	269
540	269
541	269
542	270
543	270
544	270
545	270
546	271
547	271
548	271
549	271
550	271
551	272
552	273
553	273
554	273
555	273
556	273
557	273
558	273
559	273
560	274
561	275
562	276
563	276
564	276
565	277
566	278
567	278
568	278
569	279
570	279
571	280
572	281
573	281
574	281
575	282
576	282
577	283
578	283
579	283
580	283
581	283
582	284
583	284
584	284
585	284
586	284
587	284
588	285
589	285
590	285
591	285
592	285
593	285
594	286
595	287
596	287
597	287
598	288
599	288
600	288
601	288
602	288
603	289
604	290
605	290
606	290
607	290
608	290
609	290
610	290
611	290
612	290
613	291
614	292
615	292
616	292
617	292
618	292
619	292
620	293
621	293
622	293
623	294
624	295
625	295
626	295
627	296
628	296
629	296
630	296
631	296
632	297
633	298
634	298
635	298
636	298
637	298
638	298
639	298
640	298
641	298
642	299
643	299
644	299
645	299
646	299
647	299
648	299
649	299
650	299
651	300
652	301
653	302
654	302
655	303
656	303
657	304
658	304
659	304
660	304
661	305
662	306
663	306
664	306
665	306
666	306
667	306
668	306
669	306
670	306
671	306
672	306
673	306
674	306
675	306
676	306
677	307
678	308
679	309
680	309
681	309
682	309
683	309
684	310
685	310
686	311
687	311
688	312
689	312
690	312
691	313
692	313
693	314
694	314
695	314
696	315
697	315
698	315
699	315
700	315
701	315
702	315
703	315
704	315
705	316
706	316
707	317
708	317
709	317
710	317
711	318
712	318
713	318
714	318
715	318
716	318
717	319
718	319
719	319
720	319
721	319
722	319
723	320
724	320
725	320
726	320
727	320
728	320
729	320
730	320
731	320
732	321
733	322
734	322
735	322
736	322
737	322
738	322
739	323
740	323
741	323
742	324
743	325
744	325
745	325
746	325
747	326
748	326
749	326
750	326
751	326
752	326
753	327
754	328
755	328
756	328
757	329
758	330
759	331
760	332
761	333
762	334
763	335
764	336
765	337
766	337
767	337
768	338
769	338
770	339
771	340
772	340
773	340
774	341
775	341
776	342
777	343
778	343
779	343
780	343
781	344
782	344
783	344
784	344
785	344
786	344
787	344
788	344
789	344
790	344
791	345
792	346
793	346
794	347
795	348
796	348
797	348
798	348
799	349
800	349
801	349
802	350
803	351
804	352
805	352
806	352
807	352
808	352
809	353
810	353
811	354
812	354
813	355
814	355
815	356
816	357
817	358
818	358
819	358
820	359
821	359
822	360
823	360
824	360
825	360
826	360
827	361
828	362
829	362
830	362
831	362
832	363
833	363
834	364
835	364
836	364
837	365
838	365
839	365
840	365
841	365
842	365
843	365
844	365
845	365
846	366
847	367
848	367
849	367
850	368
851	368
852	368
853	368
854	368
855	368
856	369
857	369
858	369
859	369
860	369
861	370
862	370
863	370
864	371
865	371
866	372
867	372
868	373
869	373
870	373
871	373
872	373
873	373
874	373
875	373
876	373
877	374
878	374
879	375
880	375
881	375
882	375
883	376
884	377
885	377
886	377
887	377
888	377
889	377
890	377
891	377
892	377
893	377
894	378
895	379
896	380
897	381
898	382
899	382
900	382
901	383
902	383
903	383
904	383
905	383
906	384
907	384
908	384
909	384
910	384
911	384
912	384
913	384
914	384
915	384
916	385
917	386
918	386
919	387
920	388
921	388
922	389
923	390
924	390
925	391
926	392
927	392
928	393
929	394
930	395
931	395
932	395
933	396
934	396
935	397
936	397
937	397
938	397
939	398
940	399
941	399
942	400
943	400
944	400
945	400
946	401
947	401
948	401
949	401
950	401
951	401
952	402
953	403
954	404
955	405
956	405
957	405
958	405
959	405
960	406
961	407
962	408
963	408
