N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	16
18	17
19	18
20	19
21	20
22	21
23	22
24	23
25	24
26	24
27	25
28	25
29	26
30	27
31	28
32	29
33	30
34	31
35	32
36	33
37	34
38	35
39	36
40	37
41	37
42	38
43	38
44	39
45	40
46	40
47	41
48	42
49	43
50	44
51	45
52	46
53	47
54	48
55	49
56	50
57	51
58	52
59	53
60	54
61	55
62	55
63	55
64	56
65	56
66	57
67	58
68	59
69	60
70	61
71	62
72	63
73	64
74	65
75	66
76	67
77	68
78	69
79	70
80	71
81	72
82	73
83	74
84	75
85	75
86	75
87	76
88	76
89	77
90	78
91	79
92	80
93	81
94	82
95	83
96	84
97	85
98	86
99	87
100	88
101	89
102	90
103	90
104	90
105	91
106	91
107	92
108	93
109	93
110	94
111	95
112	95
113	95
114	95
115	96
116	96
117	97
118	98
119	99
120	99
121	99
122	100
123	101
124	101
125	101
126	101
127	102
128	103
129	103
130	104
131	104
132	104
133	104
134	104
135	104
136	104
137	105
138	106
139	106
140	106
141	107
142	108
143	109
144	109
145	110
146	110
147	110
148	110
149	111
150	112
151	112
152	113
153	113
154	113
155	113
156	113
157	114
158	115
159	115
160	116
161	116
162	116
163	116
164	116
165	116
166	117
167	118
168	119
169	120
170	121
171	122
172	123
173	124
174	124
175	124
176	124
177	124
178	125
179	126
180	127
181	128
182	129
183	130
184	131
185	132
186	133
187	133
188	134
189	135
190	136
191	137
192	138
193	138
194	138
195	138
196	139
197	140
198	141
199	142
200	143
201	144
202	145
203	146
204	146
205	147
206	148
207	149
208	150
209	151
210	152
211	153
212	154
213	154
214	154
215	154
216	155
217	156
218	157
219	157
220	158
221	159
222	160
223	160
224	161
225	162
226	163
227	164
228	165
229	166
230	167
231	168
232	169
233	170
234	171
235	172
236	173
237	174
238	175
239	175
240	175
241	176
242	176
243	176
244	177
245	178
246	179
247	179
248	180
249	181
250	182
251	183
252	183
253	183
254	184
255	185
256	185
257	185
258	185
259	186
260	186
261	187
262	188
263	189
264	190
265	191
266	191
267	192
268	192
269	193
270	194
271	195
272	195
273	196
274	196
275	197
276	198
277	198
278	199
279	200
280	201
281	202
282	203
283	203
284	204
285	204
286	205
287	205
288	205
289	205
290	205
291	206
292	206
293	206
294	207
295	208
296	209
297	210
298	211
299	211
300	211
301	212
302	212
303	213
304	213
305	213
306	213
307	214
308	215
309	216
310	217
311	218
312	219
313	220
314	220
315	221
316	222
317	223
318	224
319	225
320	225
321	226
322	226
323	227
324	228
325	229
326	229
327	229
328	230
329	231
330	232
331	233
332	234
333	235
334	235
335	235
336	235
337	235
338	235
339	236
340	236
341	237
342	238
343	239
344	239
345	240
346	241
347	241
348	242
349	242
350	243
351	244
352	244
353	244
354	244
355	244
356	245
357	246
358	246
359	246
360	247
361	248
362	248
363	248
364	248
365	248
366	248
367	248
368	249
369	249
370	249
371	250
372	251
373	252
374	252
375	253
376	254
377	255
378	255
379	256
380	256
381	257
382	258
383	258
384	259
385	260
386	260
387	261
388	261
389	262
390	262
391	263
392	264
393	264
394	264
395	264
396	265
397	266
398	267
399	268
400	268
401	269
402	270
403	271
404	272
405	273
406	274
407	274
408	275
409	276
410	276
411	276
412	277
413	277
414	277
415	278
416	279
417	280
418	281
419	281
420	282
421	282
422	282
423	282
424	283
425	284
426	285
427	285
428	286
429	287
430	288
431	288
432	289
433	290
434	290
435	291
436	292
437	293
438	294
439	295
440	295
441	295
442	295
443	296
444	297
445	297
446	297
447	298
448	298
449	298
450	298
451	298
452	299
453	300
454	301
455	302
456	303
457	304
458	304
459	304
460	305
461	306
462	307
463	308
464	308
465	309
466	309
467	310
468	310
469	311
470	311
471	312
472	312
473	312
474	313
475	313
476	314
477	314
478	315
479	315
480	316
481	317
482	318
483	319
484	319
485	319
486	319
487	319
488	319
489	319
490	319
491	320
492	321
493	321
494	321
495	321
496	321
497	322
498	323
499	324
500	325
501	325
502	325
503	325
504	326
505	327
506	327
507	328
508	329
509	330
510	330
511	330
512	330
513	330
514	331
515	331
516	332
517	332
518	332
519	333
520	334
521	335
522	336
523	336
524	337
525	337
526	338
527	339
528	339
529	340
530	341
531	341
532	341
533	341
534	342
535	343
536	344
537	344
538	345
539	346
540	347
541	348
542	349
543	349
544	349
545	350
546	351
547	351
548	351
549	352
550	353
551	354
552	354
553	354
554	355
555	356
556	357
557	358
558	359
559	359
560	359
561	359
562	360
563	360
564	361
565	362
566	362
567	363
568	364
569	365
570	366
571	366
572	366
573	366
574	366
575	367
576	367
577	368
578	369
579	370
580	371
581	371
582	372
583	372
584	373
585	374
586	375
587	376
588	377
589	377
590	377
591	377
592	377
593	377
594	378
595	379
596	380
597	380
598	381
599	382
600	383
601	384
602	385
603	385
604	386
605	387
606	387
607	387
608	388
609	388
610	388
611	388
612	389
613	389
614	390
615	391
616	391
617	391
618	392
619	393
620	394
621	395
622	396
623	396
624	397
625	398
626	398
627	399
628	399
629	400
630	401
631	401
632	401
633	402
634	403
635	404
636	405
637	405
638	405
639	406
640	407
641	408
642	409
643	409
644	409
645	409
646	409
647	410
648	410
649	411
650	411
651	411
652	412
653	412
654	412
655	413
656	413
657	413
658	413
659	413
660	413
661	413
662	413
663	413
664	414
665	415
666	415
667	415
668	415
669	415
670	415
671	416
672	416
673	417
674	418
675	419
676	420
677	421
678	421
679	421
680	421
681	422
682	423
683	424
684	425
685	425
686	426
687	426
688	426
689	427
690	428
691	429
692	429
693	430
694	430
695	431
696	432
697	432
698	432
699	433
700	434
701	435
702	435
703	436
704	436
705	437
706	438
707	438
708	439
709	439
710	440
711	440
712	441
713	442
714	442
715	443
716	444
717	444
718	445
719	445
720	445
721	446
722	447
723	448
724	449
725	449
726	449
727	449
728	449
729	449
730	449
731	450
732	451
733	452
734	452
735	452
736	452
737	453
738	454
739	455
740	456
741	457
742	458
743	459
744	459
745	460
746	460
747	461
748	462
749	463
750	464
751	465
752	466
753	467
754	468
755	469
756	469
757	470
758	471
759	472
760	473
761	474
762	474
763	475
764	475
765	475
766	475
767	475
768	476
769	477
770	477
771	477
772	477
773	477
774	478
775	478
776	479
777	480
778	480
779	480
780	480
781	481
782	482
783	483
784	483
785	483
786	484
787	485
788	486
789	486
790	487
791	487
792	488
793	488
794	488
795	489
796	490
797	491
798	492
799	493
800	494
801	494
802	495
803	496
804	497
805	497
806	497
807	498
808	498
809	499
810	500
811	501
812	502
813	502
814	503
815	504
816	505
817	506
818	506
819	506
820	507
821	507
822	508
823	508
824	508
825	508
826	508
827	509
828	509
829	509
830	510
831	511
832	511
833	511
834	512
835	512
836	513
837	514
838	515
839	515
840	516
841	517
842	517
843	517
844	517
845	517
846	517
847	517
848	518
849	519
850	520
851	521
852	522
853	523
854	524
855	525
856	526
857	527
858	527
859	527
860	527
861	528
862	529
863	529
864	530
865	531
866	531
867	531
868	531
869	531
870	531
871	531
872	532
873	533
874	534
875	534
876	534
877	535
878	535
879	536
880	537
881	538
882	538
883	538
884	538
885	539
886	539
887	539
888	540
889	540
890	540
891	540
892	541
893	541
894	542
895	543
896	544
897	545
898	546
899	546
900	547
901	548
902	549
903	550
904	550
905	551
906	551
907	551
908	552
909	552
910	553
911	554
912	555
913	556
914	556
915	556
916	556
917	557
918	557
919	558
920	559
921	560
922	561
923	561
924	561
925	562
926	563
927	563
928	564
929	565
930	566
931	567
932	567
933	567
934	568
935	569
936	569
937	570
938	571
939	571
940	572
941	572
942	572
943	572
944	573
945	574
946	575
947	575
948	576
949	576
950	576
951	576
952	577
953	578
954	579
955	580
956	581
957	581
958	581
959	581
960	581
961	581
962	582
963	582
