N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	35
37	35
38	35
39	36
40	37
41	38
42	39
43	40
44	41
45	42
46	42
47	43
48	44
49	45
50	46
51	47
52	48
53	49
54	50
55	51
56	52
57	53
58	54
59	55
60	56
61	57
62	58
63	59
64	60
65	61
66	62
67	63
68	64
69	65
70	66
71	67
72	68
73	69
74	70
75	71
76	72
77	73
78	74
79	75
80	76
81	77
82	78
83	79
84	80
85	81
86	82
87	83
88	84
89	85
90	86
91	87
92	87
93	88
94	88
95	89
96	90
97	91
98	92
99	93
100	94
101	95
102	96
103	96
104	97
105	98
106	99
107	100
108	101
109	102
110	103
111	103
112	104
113	105
114	105
115	106
116	107
117	107
118	107
119	108
120	109
121	110
122	111
123	112
124	113
125	114
126	115
127	116
128	117
129	118
130	119
131	120
132	121
133	122
134	123
135	124
136	125
137	126
138	126
139	126
140	126
141	127
142	128
143	129
144	130
145	130
146	131
147	132
148	133
149	134
150	134
151	135
152	135
153	135
154	136
155	136
156	136
157	136
158	136
159	137
160	138
161	139
162	140
163	141
164	142
165	143
166	143
167	144
168	144
169	145
170	145
171	146
172	146
173	146
174	147
175	148
176	149
177	150
178	151
179	151
180	151
181	152
182	153
183	154
184	154
185	154
186	155
187	156
188	156
189	157
190	158
191	158
192	158
193	159
194	160
195	161
196	161
197	162
198	163
199	164
200	165
201	165
202	165
203	165
204	166
205	167
206	167
207	168
208	169
209	170
210	171
211	171
212	172
213	173
214	174
215	174
216	175
217	175
218	175
219	176
220	176
221	176
222	177
223	178
224	178
225	178
226	179
227	180
228	181
229	182
230	183
231	184
232	185
233	186
234	187
235	187
236	188
237	189
238	190
239	191
240	192
241	193
242	194
243	194
244	195
245	195
246	196
247	197
248	198
249	199
250	199
251	199
252	200
253	201
254	202
255	203
256	203
257	204
258	205
259	206
260	207
261	207
262	208
263	209
264	209
265	210
266	210
267	211
268	212
269	213
270	214
271	215
272	216
273	216
274	217
275	217
276	217
277	218
278	219
279	219
280	220
281	220
282	221
283	221
284	221
285	222
286	223
287	224
288	224
289	224
290	225
291	226
292	227
293	228
294	228
295	229
296	230
297	230
298	230
299	230
300	231
301	231
302	231
303	231
304	231
305	232
306	233
307	234
308	234
309	234
310	234
311	235
312	236
313	237
314	238
315	239
316	240
317	240
318	240
319	240
320	241
321	241
322	242
323	242
324	243
325	244
326	245
327	245
328	246
329	247
330	247
331	247
332	248
333	248
334	248
335	249
336	250
337	251
338	252
339	252
340	252
341	252
342	253
343	254
344	255
345	256
346	256
347	256
348	256
349	257
350	258
351	259
352	260
353	260
354	260
355	260
356	261
357	262
358	263
359	263
360	263
361	263
362	263
363	264
364	264
365	265
366	265
367	266
368	266
369	267
370	267
371	267
372	267
373	268
374	269
375	269
376	270
377	271
378	272
379	272
380	273
381	274
382	275
383	275
384	276
385	277
386	278
387	278
388	279
389	280
390	280
391	280
392	280
393	281
394	282
395	283
396	284
397	284
398	284
399	284
400	284
401	285
402	285
403	286
404	286
405	286
406	287
407	288
408	289
409	289
410	289
411	289
412	290
413	291
414	292
415	292
416	292
417	293
418	294
419	295
420	296
421	296
422	296
423	297
424	298
425	299
426	299
427	299
428	300
429	300
430	301
431	302
432	302
433	303
434	303
435	304
436	305
437	306
438	307
439	307
440	308
441	308
442	308
443	309
444	310
445	311
446	311
447	312
448	312
449	313
450	314
451	315
452	315
453	315
454	315
455	315
456	316
457	317
458	317
459	317
460	318
461	319
462	319
463	320
464	320
465	320
466	321
467	321
468	322
469	323
470	324
471	324
472	325
473	325
474	326
475	326
476	327
477	328
478	329
479	330
480	330
481	331
482	331
483	331
484	331
485	331
486	331
487	332
488	333
489	333
490	333
491	334
492	335
493	336
494	336
495	337
496	337
497	337
498	337
499	337
500	337
501	337
502	337
503	337
504	337
505	337
506	337
507	338
508	339
509	340
510	340
511	341
512	341
513	341
514	341
515	342
516	342
517	342
518	343
519	343
520	344
521	344
522	344
523	344
524	344
525	345
526	346
527	346
528	347
529	347
530	348
531	348
532	348
533	349
534	350
535	350
536	351
537	351
538	352
539	353
540	353
541	354
542	355
543	356
544	357
545	357
546	357
547	357
548	358
549	359
550	359
551	359
552	360
553	361
554	361
555	361
556	361
557	362
558	362
559	362
560	362
561	363
562	364
563	365
564	365
565	365
566	366
567	366
568	367
569	367
570	367
571	367
572	367
573	367
574	368
575	368
576	368
577	368
578	368
579	368
580	368
581	368
582	368
583	369
584	370
585	371
586	371
587	371
588	371
589	371
590	371
591	371
592	372
593	373
594	373
595	374
596	375
597	376
598	376
599	376
600	376
601	376
602	377
603	377
604	377
605	378
606	378
607	378
608	379
609	380
610	380
611	381
612	382
613	382
614	382
615	383
616	384
617	384
618	384
619	385
620	386
621	387
622	387
623	387
624	387
625	387
626	387
627	387
628	387
629	388
630	389
631	389
632	389
633	390
634	391
635	392
636	392
637	392
638	392
639	392
640	393
641	394
642	395
643	395
644	395
645	395
646	395
647	396
648	397
649	397
650	398
651	399
652	399
653	399
654	400
655	401
656	401
657	402
658	402
659	403
660	403
661	403
662	403
663	403
664	403
665	403
666	403
667	403
668	403
669	403
670	404
671	404
672	405
673	405
674	406
675	407
676	408
677	408
678	408
679	409
680	409
681	409
682	410
683	410
684	410
685	410
686	411
687	412
688	413
689	414
690	415
691	415
692	416
693	416
694	416
695	416
696	417
697	417
698	417
699	418
700	418
701	419
702	420
703	420
704	421
705	421
706	421
707	421
708	421
709	422
710	422
711	422
712	423
713	424
714	424
715	424
716	424
717	424
718	424
719	425
720	426
721	426
722	427
723	428
724	429
725	429
726	429
727	429
728	430
729	430
730	431
731	431
732	431
733	431
734	431
735	432
736	432
737	433
738	434
739	434
740	435
741	436
742	437
743	437
744	437
745	437
746	438
747	438
748	439
749	440
750	441
751	441
752	441
753	441
754	442
755	443
756	443
757	444
758	445
759	445
760	445
761	445
762	445
763	446
764	447
765	448
766	449
767	449
768	450
769	450
770	451
771	452
772	452
773	453
774	454
775	455
776	455
777	455
778	455
779	456
780	456
781	456
782	457
783	457
784	457
785	457
786	457
787	458
788	459
789	459
790	459
791	460
792	461
793	462
794	463
795	464
796	465
797	465
798	466
799	466
800	466
801	467
802	467
803	467
804	467
805	468
806	468
807	468
808	468
809	468
810	469
811	469
812	470
813	471
814	472
815	473
816	473
817	474
818	475
819	475
820	476
821	477
822	478
823	479
824	480
825	481
826	481
827	482
828	482
829	482
830	483
831	484
832	485
833	485
834	485
835	486
836	487
837	488
838	489
839	489
840	489
841	490
842	490
843	490
844	490
845	491
846	492
847	492
848	492
849	493
850	493
851	493
852	493
853	494
854	495
855	495
856	496
857	496
858	496
859	496
860	496
861	497
862	498
863	499
864	499
865	499
866	499
867	500
868	501
869	501
870	501
871	501
872	502
873	502
874	502
875	502
876	502
877	502
878	503
879	504
880	505
881	505
882	506
883	506
884	506
885	506
886	506
887	506
888	507
889	507
890	508
891	509
892	510
893	510
894	511
895	512
896	513
897	513
898	514
899	514
900	514
901	514
902	514
903	514
904	514
905	515
906	516
907	517
908	518
909	519
910	520
911	520
912	520
913	521
914	522
915	522
916	522
917	522
918	522
919	523
920	523
921	523
922	524
923	524
924	524
925	525
926	525
927	525
928	525
929	525
930	525
931	525
932	526
933	526
934	527
935	527
936	528
937	528
938	528
939	529
940	529
941	529
942	530
943	531
944	532
945	533
946	533
947	534
948	534
949	535
950	535
951	536
952	536
953	537
954	537
955	538
956	538
957	538
958	538
959	539
960	540
961	541
962	541
963	542
